"","sample","eem_location","X250.3999939","X254.3999939","X280","X284.7999878","X364.7999878","X375.1999817","X400","X410.3999939","Station.Code","latitude","longitude","altitude","Region","lake_area_km2","basin_area_km2","lake_catchm_.","min_elev","mean_elev","max_elev","developed","agriculture","forest","natural_not_forest","peat","glacier","freshwater","Avrenning","ERA5.mean.annual.temperature.2019","ERA5.total.annual.precipitation.2019","ERA5.total.annual.runoff.2019","X2019_ALK","X2019_Al.Il","X2019_Al.R","X2019_Al","X2019_As","X2019_Ca","X2019_Cd","X2019_Cl","X2019_Co","X2019_Cr","X2019_Cu","X2019_DOC.C","X2019_FARGE","X2019_F","X2019_Fe","X2019_Hg","X2019_KOND","X2019_K","X2019_Mg","X2019_Mn","X2019_NH4.N","X2019_NO3.N","X2019_Na","X2019_Ni","X2019_PO4.P","X2019_Pb","X2019_SO4","X2019_SiO2","X2019_TOC","X2019_CNDOM","X2019_TOTN","X2019_TON","X2019_TOTP","X2019_Zn","X2019_pH","X2019_H","X2019_LAL","X2019_ALKE","X2019_ANC","X2019_ANCorg","TOC_TON","Prøvenr","Stasjonskode","Stasjonskode.1","Stasjonsnavn","sUVa","sVISa","SAR","E2_E3","HI","Comp.1","Comp.2","Comp.3","Comp1.R","Comp2.R","Comp3.R","bix","a","m","c","fi","Number","Sample_ID","Survey","dmax","tmax","tmax_h","auc","hauc","width","hwidth","ox_initial","incub_date","Comp1.C","Comp2.C","Comp3.C","dmax.C","a.C","m.C","c.C","Al.C","Cd.C","Co.C","Cr.C","Fe.C","Hg.C","Pb.C"
"1","DOM11186","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001",0.139102269923077,0.134095970923077,0.100704420923077,0.0936216459230769,0.0264162989230769,0.0216823039230769,0.0138992299230769,0.0117188449230769,"2012-1-62",69.835,23.76,359,9,0.044582956,2.9311,1.521031567,360.2626953,408.5561735,495.6622009,0,0,36.21604192,55.51852577,2.768930566,0,5.496501212,15.125,-0.805334449,693.7641602,369.5027466,0.205,8,14,42,0.1,3.09,0.004,2.56,0.042,0.23,0.4,3.7,22,11,46,0.89,2.84,0.59,0.62,1.6,10,3,2.16,0.28,1,0.018,0.91,2.68,4,23.95209581,180,167,3,1.3,7.09,0.081283052,6,181.9066206,223.5816044,209.27,0.0239520958083832,"DOM11186","2012-1-62","2012-1-62","HOH 359",3.62421543035343,3.16725538461538,11.4427634978779,5.07625883980032,0.698168970168255,79.06631387,34.93110317,24.42543117,57.1194097596151,25.2350703815936,17.6455198587912,0.448996995075254,103.47237218892,64.1872081846652,67.3230743910481,1.1481755425446,1,11186,"1000_lakes",4.493356407,14.19833333,23.12325,10.51826773,10.51826773,0.786,0.786,399.6091489,190927,21.3692740189189,9.44083869459459,6.60146788378378,1.21442065054054,27.9655059970054,17.3478941039636,18.1954255110941,11.3513513513514,0.00108108108108108,0.0113513513513514,0.0621621621621622,12.4324324324324,0.240540540540541,0.00486486486486486
"2","DOM11188","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930",0.224483648038462,0.219195658038462,0.167383784038462,0.154956275038462,0.0429403940384615,0.0361998390384615,0.0224351320384615,0.0187283670384615,"2012-1-54",69.929,23.99,460,9,0.044066882,0.5734,7.685190413,457.5202026,476.688917,503.5388489,0,0,0,91.87219075,0,0,8.127809556,20.109,-0.632971168,723.5539551,368.0846558,0.113,23,27,82,0.075,2.31,0.004,2,0.03,0.19,0.3,6.6,37,9,56,1.32,2.06,0.23,0.35,0.87,4,2,1.64,0.2,1,0.023,0.32,1.4,6.4,25.19685039,260,254,5,0.44,6.8,0.158489319,4,87.22833788,158.344675,136.302,0.0251968503937008,"DOM11188","2012-1-54","2012-1-54","HOH 459",3.32114633391608,2.83763136946387,11.7039386075844,5.10464943200402,0.706931316181783,67.9604931,40.16827605,23.84744325,51.4945018228148,30.4359970024416,18.0695011747435,0.462005705669991,93.4839780231491,63.6224450958316,60.6680982897378,1.11867062406493,2,11188,"1000_lakes",17.43691386,16.5825,23.39070833,99.77551209,99.77551209,3.270916667,2.839916667,381.7845771,190930,10.2970444090909,6.08610243181818,3.61324897727273,2.64195664545455,14.1642390944165,9.63976440845933,9.19213610450573,12.4242424242424,0.000606060606060606,0.00454545454545455,0.0287878787878788,8.48484848484848,0.2,0.00348484848484849
"3","DOM11190","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190926",0.00397408346153846,0.00386718546153846,0.00262559746153846,0.00212969946153846,-0.000616211538461538,0.000290499461538462,-0.000147478538461538,-0.000364918538461538,"2012-1-26",69.96758767,22.43455371,542,9,0.063574251,0.3179,19.9981917,540.0213623,548.9529726,582.3989258,0,0,0,79.90780784,0,0,20.09220804,39.978,-1.076849341,1057.191895,542.6003418,0.069,5,5,3.9,0.023,1.1,0.004,3.14,0.01,0.05,0.08,0.41,2,6,2.9,0.18,1.81,0.14,0.36,0.12,5,3,1.71,0.051,1,0.01,1.73,0.34,0.58,11.37254902,59,51,2,0.2,6.37,0.426579519,0,41.35064785,38.01653098,35.694,0.0113725490196078,"DOM11190","2012-1-26","2012-1-26","HOH 542",0.943215966228893,-0.89004521575985,-10.5973938124441,-6.27574334488032,0.550710454080786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11190,"1000_lakes",2.768886515,20.9425,18.76270833,4.391033626,4.391033626,1.242416667,1.242416667,288.105494,190925,NA,NA,NA,6.75338174390244,NA,NA,NA,9.51219512195122,0.00975609756097561,0.024390243902439,0.121951219512195,7.07317073170732,0.439024390243902,0.024390243902439
"4","DOM11193","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001",0.0920777157307692,0.0899479827307692,0.0677915357307692,0.0617473937307692,0.0167095087307692,0.0139087597307692,0.00873982973076923,0.00753879873076923,"2012-2-26",69.747,23.915,387,9,0.15556385,4.5706,3.403576125,386.4230347,424.0010939,478.7962646,0,0,16.87517077,71.35876603,3.177381291,0,8.588682778,14.798,-0.756292701,679.0040283,323.6115723,0.289,5,5,13,0.047,4.57,0.004,1.56,0.02,0.19,0.14,2.3,15,23,36,0.44,4.66,0.96,1.28,1.4,5,1,2.45,0.15,2,0.01,6.26,2.93,2.2,19.29824561,120,114,1,0.2,7.24,0.057543994,0,267.764224,290.4155346,282.576,0.0192982456140351,"DOM11193","2012-2-26","2012-2-26","Ninnasjuhanajavri",3.91078185785953,3.27773857859532,11.9313415761653,5.38304172672277,0.686478916548807,45.70734691,25.35198858,14.50385413,53.4194051355422,29.6295506193636,16.9510442450941,0.507658834283261,65.3427878803413,37.657109145548,39.6442531795728,1.11364018613807,4,11193,"1000_lakes",18.48257414,11.35866667,25.65866667,41.78019795,41.78019795,0.83675,0.83675,315.8378761,190927,19.872759526087,11.0226037304348,6.30602353478261,8.0359018,28.4099077740614,16.3726561502383,17.2366318172056,5.65217391304348,0.00173913043478261,0.00869565217391304,0.0826086956521739,15.6521739130435,0.191304347826087,0.00434782608695652
"5","DOM11194","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925",0.00469643803846154,0.00449483603846154,0.00376486103846154,0.00330280703846154,-0.000293918961538462,0.000513056038461538,0.000332787038461538,-0.000274622961538462,"2012-1-38",69.814,22.643,664,9,0.06880146,1.9652,3.500990238,662.583252,744.2548341,883.4698486,0,0,0,95.45282037,0,0,4.547179723,25.558,-1.540869117,856.0039673,478.1300659,0.096,5,5,5.4,0.16,1.3,0.004,1.36,0.01,0.05,0.1,0.63,2,5,3.2,0.32,1.35,0.18,0.18,0.23,7,4,1.13,0.05,1,0.01,0.87,0.96,0.39,8.863636364,55,44,3,0.2,6.67,0.213796209,0,69.58412484,77.17092687,75.348,0.00886363636363636,"DOM11194","2012-1-38","2012-1-38","Tørrelvvatna",0.713466037851038,-0.435909462759463,-16.3672986893779,-15.2927732696598,0.734800337587397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11194,"1000_lakes",5.343072292,18.61,23.935,21.5324791,21.5324791,1.825583333,1.825583333,257.3966479,190925,NA,NA,NA,8.48106713015873,NA,NA,NA,8.57142857142857,0.00634920634920635,0.0158730158730159,0.0793650793650794,5.07936507936508,0.507936507936508,0.0158730158730159
"6","DOM11195","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001",0.105710660730769,0.103150797730769,0.0785085907307692,0.0724614457307692,0.0207878327307692,0.0176172827307692,0.0109474537307692,0.00922504873076923,"2012-2-46",70.006,23.812,483,9,0.198966571,12.0437,1.652038585,481.7603149,568.1739,732.583252,0,0,0,94.37163192,3.832504779,0,1.795859189,29.026,-0.60257566,743.7338257,361.4645691,0.24,5,8,25,0.078,4.14,0.004,2.46,0.039,0.095,0.28,2.6,20,12,25,0.85,3.55,0.75,0.48,1.4,5,2,2.09,0.26,1,0.023,1.48,3.18,2.7,14.75409836,190,183,1,2.3,7.19,0.064565423,3,217.7256986,256.173971,246.64,0.0147540983606557,"DOM11195","2012-2-46","2012-2-46","Øvre Sørelvvatnet",3.96733837426036,3.54809566568047,11.1815992241559,4.96207560772269,0.702480711006217,66.38030694,29.52800687,22.74358117,55.9454250192878,24.8862497096884,19.1683252710238,0.4547849164241,87.0105179947368,53.1525782198914,57.7691541925888,1.17862521315246,6,11195,"1000_lakes",25.93212316,17.97716667,24.74733333,101.0967083,101.0967083,2.789166667,2.789166667,381.7845771,190930,25.5308872846154,11.3569257192308,8.74753121923077,9.97389352307692,33.4655838441295,20.4432993153428,22.218905458688,9.61538461538461,0.00153846153846154,0.015,0.0365384615384615,9.61538461538461,0.326923076923077,0.00884615384615385
"7","DOM11196","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925",0.00703944369230769,0.00828697669230769,0.00706808869230769,0.00592490169230769,0.000867477692307692,0.000469202692307692,-0.000996041307692308,-0.00142440330769231,"2028-2-17",70.645,29.876,311,9,0.115767292,0.9222,12.55338234,312.9212646,328.2146498,352.8466492,0,0,0,87.35897201,0,0,12.64102802,29.996,1.455743432,833.6707764,109.9999466,0.095,5,5,4.8,0.4,1.68,0.004,9.15,0.01,0.05,0.053,0.52,2,9,5.1,0.61,4.27,0.2,0.86,0.27,3,1,5,0.078,2,0.01,2.32,0.74,0.6,8,79,75,10,0.2,6.79,0.16218101,0,68.54371795,70.9156621,68.68,0.008,"DOM11196","2028-2-17","2028-2-17","Prestelvvatnet",1.59364936390533,-2.73923713017751,-5.81785836044815,9.55295653800896,0.714965410462349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11196,"1000_lakes",5.129189472,18.61,23.935,20.84222602,20.84222602,1.927083333,1.927083333,257.297243,190925,NA,NA,NA,9.86382590769231,NA,NA,NA,9.23076923076923,0.00769230769230769,0.0192307692307692,0.0961538461538462,9.80769230769231,1.17307692307692,0.0192307692307692
"8","DOM11311","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925",0.0454851844230769,0.0434125264230769,0.0318466434230769,0.0301963194230769,0.00791202742307692,0.00632638642307692,0.00207178542307692,0.000766646423076923,"2025-1-1",70.342,27.671,325,9,0.049350241,0.7621,6.475559706,324.3700562,346.7789988,378.860199,0,0,0,93.45021164,0,0,6.549789419,19.061,-0.207922369,590.2269897,267.6000061,0.298,5,24,29,0.063,6.3,0.004,3.02,0.01,0.05,0.34,1.4,7,10,4,0.52,6.19,0.095,2.2,0.65,6,1,2.5,0.091,1,0.01,6.38,1.4,1.5,14.5631068,110,103,3,0.2,7.47,0.033884416,19,276.9438599,388.8721651,383.339,0.0145631067961165,"DOM11311","2025-1-1","2025-1-1","Gistuladdut",3.10089474450549,0.547604587912088,56.6265296704072,5.48690292660716,0.695566969054014,13.57527668,11.24384928,4.561746876,46.2044703565321,38.2692826818373,15.5262469616306,0.583062595264643,21.5815022968382,14.086111050623,12.3206797396043,1.11860013822969,8,11311,"1000_lakes",12.09722652,20.58783333,23.935,44.50962142,44.50962142,1.36925,1.36925,299.75282,190925,9.6966262,8.03132091428571,3.25839062571429,8.64087608571429,15.4153587834559,10.0615078933021,8.80048552828879,20.7142857142857,0.00285714285714286,0.00714285714285714,0.0357142857142857,2.85714285714286,0.371428571428571,0.00714285714285714
"9","DOM11313","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925",0.0281776978461538,0.0259534648461538,0.0192309738461538,0.0170117248461538,0.00310449584615385,0.00245275184615385,0.000620208846153846,-4.67051538461538e-05,"2025-1-15",70.436,28.382,185,9,0.046332886,0.6194,7.480285185,185.0649719,234.9856918,368.2675781,0,0,57.37739909,35.13071499,0.019606104,0,7.472279718,12.801,-0.988561988,645.4414673,256.6171875,0.068,5,7,16,0.028,0.55,0.004,5.32,0.01,0.05,0.16,1.6,3,9,7.7,0.34,2.66,0.15,0.65,0.87,15,1,3.4,0.13,2,0.01,1.69,0.14,1.9,15.32258065,140,124,4,0.41,6.48,0.331131121,2,40.29747385,48.39017236,40.869,0.0153225806451613,"DOM11313","2025-1-15","2025-1-15","HOH 185",1.62209155288462,-0.0291907211538462,-555.687385842775,8.35996120861542,0.655470279093579,7.516261479,7.070861611,2.606157707,43.7162724656453,41.1257263490617,15.1580011852929,0.615598324189125,12.2571207693113,8.11296517334995,7.19593775696148,1.27194238672956,9,11313,"1000_lakes",18.03759571,20.9425,23.935,40.45341585,40.45341585,1.749583333,1.749583333,288.105494,190925,4.697663424375,4.419288506875,1.628848566875,11.27349731875,7.66070048081956,5.07060323334372,4.49746109810093,10,0.0025,0.00625,0.03125,4.8125,0.2125,0.00625
"10","DOM11314","C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003",0.0214589983076923,0.0223385953076923,0.0156715213076923,0.0160230523076923,0.0155464093076923,0.0150102303076923,0.0110597223076923,0.0101263043076923,"2025-1-52",69.996,27.061,296,9,0.023358206,1.8332,1.274176639,295.9009705,319.2704288,353.5175781,0,0,0,96.31514003,2.390651757,0,1.294232745,13.947,-0.818487525,666.0418701,318.3566895,0.15,5,5,18,0.02,3.28,0.022,1.94,0.019,0.11,0.091,0.92,4,30,22,0.37,4.07,0.53,1.07,0.64,3,1,2.21,0.81,1,0.014,9.95,7.6,1.3,10.31746032,130,126,2,1.6,7.09,0.081283052,0,125.42924,99.64161111,95.008,0.0103174603174603,"DOM11314","2025-1-52","2025-1-52","HOH 299",2.42810818561873,11.0068525083612,2.20599684039942,1.43689741248735,0.71728110416033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11314,"1000_lakes",8.767863293,11.35866667,25.65866667,30.93212409,30.93212409,3.118583333,3.118583333,315.8378761,190927,NA,NA,NA,9.53028618804348,NA,NA,NA,19.5652173913043,0.0239130434782609,0.0206521739130435,0.119565217391304,23.9130434782609,0.402173913043478,0.0152173913043478
