	sample	eem_location	X250.3999939	X254.3999939	X280	X284.7999878	X364.7999878	X375.1999817	X400	X410.3999939	Station.Code	latitude	longitude	altitude	Region	lake_area_km2	basin_area_km2	lake_catchm_.	min_elev	mean_elev	max_elev	developed	agriculture	forest	natural_not_forest	peat	glacier	freshwater	Avrenning	ERA5.mean.annual.temperature.2019	ERA5.total.annual.precipitation.2019	ERA5.total.annual.runoff.2019	X2019_ALK	X2019_Al.Il	X2019_Al.R	X2019_Al	X2019_As	X2019_Ca	X2019_Cd	X2019_Cl	X2019_Co	X2019_Cr	X2019_Cu	X2019_DOC.C	X2019_FARGE	X2019_F	X2019_Fe	X2019_Hg	X2019_KOND	X2019_K	X2019_Mg	X2019_Mn	X2019_NH4.N	X2019_NO3.N	X2019_Na	X2019_Ni	X2019_PO4.P	X2019_Pb	X2019_SO4	X2019_SiO2	X2019_TOC	X2019_CNDOM	X2019_TOTN	X2019_TON	X2019_TOTP	X2019_Zn	X2019_pH	X2019_H	X2019_LAL	X2019_ALKE	X2019_ANC	X2019_ANCorg	TOC_TON	Pr?venr	Stasjonskode	Stasjonskode.1	Stasjonsnavn	sUVa	sVISa	SAR	E2_E3	HI	Comp.1	Comp.2	Comp.3	Comp1.R	Comp2.R	Comp3.R	bix	a	m	c	fi	Number	Sample_ID	Survey	dmax	tmax	tmax_h	auc	hauc	width	hwidth	ox_initial	incub_date	Comp1.C	Comp2.C	Comp3.C	dmax.C	a.C	m.C	c.C	Al.C	Cd.C	Co.C	Cr.C	Fe.C	Hg.C	Pb.C
1	DOM11186	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	0.13910227	0.134095971	0.100704421	0.093621646	0.026416299	0.021682304	0.01389923	0.011718845	2012-1-62	69.835	23.76	359	9	0.044582956	2.9311	1.521031567	360.2626953	408.5561735	495.6622009	0	0	36.21604192	55.51852577	2.768930566	0	5.496501212	15.125	-0.805334449	693.7641602	369.5027466	0.205	8	14	42	0.1	3.09	0.004	2.56	0.042	0.23	0.4	3.7	22	11	46	0.89	2.84	0.59	0.62	1.6	10	3	2.16	0.28	1	0.018	0.91	2.68	4	23.95209581	180	167	3	1.3	7.09	0.081283052	6	181.9066206	223.5816044	209.27	0.023952096	DOM11186	2012-1-62	2012-1-62	HOH 359	3.62421543	3.167255385	11.4427635	5.07625884	0.69816897	79.06631387	34.93110317	24.42543117	57.11940976	25.23507038	17.64551986	0.448996995	103.4723722	64.18720818	67.32307439	1.148175543	1	11186	1000_lakes	4.493356407	14.19833333	23.12325	10.51826773	10.51826773	0.786	0.786	399.6091489	190927	21.36927402	9.440838695	6.601467884	1.214420651	27.965506	17.3478941	18.19542551	11.35135135	0.001081081	0.011351351	0.062162162	12.43243243	0.240540541	0.004864865
2	DOM11188	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	0.224483648	0.219195658	0.167383784	0.154956275	0.042940394	0.036199839	0.022435132	0.018728367	2012-1-54	69.929	23.99	460	9	0.044066882	0.5734	7.685190413	457.5202026	476.688917	503.5388489	0	0	0	91.87219075	0	0	8.127809556	20.109	-0.632971168	723.5539551	368.0846558	0.113	23	27	82	0.075	2.31	0.004	2	0.03	0.19	0.3	6.6	37	9	56	1.32	2.06	0.23	0.35	0.87	4	2	1.64	0.2	1	0.023	0.32	1.4	6.4	25.19685039	260	254	5	0.44	6.8	0.158489319	4	87.22833788	158.344675	136.302	0.02519685	DOM11188	2012-1-54	2012-1-54	HOH 459	3.321146334	2.837631369	11.70393861	5.104649432	0.706931316	67.9604931	40.16827605	23.84744325	51.49450182	30.435997	18.06950117	0.462005706	93.48397802	63.6224451	60.66809829	1.118670624	2	11188	1000_lakes	17.43691386	16.5825	23.39070833	99.77551209	99.77551209	3.270916667	2.839916667	381.7845771	190930	10.29704441	6.086102432	3.613248977	2.641956645	14.16423909	9.639764408	9.192136105	12.42424242	0.000606061	0.004545455	0.028787879	8.484848485	0.2	0.003484848
3	DOM11190	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190926	0.003974083	0.003867185	0.002625597	0.002129699	-0.000616212	0.000290499	-0.000147479	-0.000364919	26.01.2012	69.96758767	22.43455371	542	9	0.063574251	0.3179	19.9981917	540.0213623	548.9529726	582.3989258	0	0	0	79.90780784	0	0	20.09220804	39.978	-1.076849341	1057.191895	542.6003418	0.069	5	5	3.9	0.023	1.1	0.004	3.14	0.01	0.05	0.08	0.41	2	6	2.9	0.18	1.81	0.14	0.36	0.12	5	3	1.71	0.051	1	0.01	1.73	0.34	0.58	11.37254902	59	51	2	0.2	6.37	0.426579519	0	41.35064785	38.01653098	35.694	0.011372549	DOM11190	26.01.2012	26.01.2012	HOH 542	0.943215966	-0.890045216	-10.59739381	-6.275743345	0.550710454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	11190	1000_lakes	2.768886515	20.9425	18.76270833	4.391033626	4.391033626	1.242416667	1.242416667	288.105494	190925	NA	NA	NA	6.753381744	NA	NA	NA	9.512195122	0.009756098	0.024390244	0.12195122	7.073170732	0.43902439	0.024390244
4	DOM11193	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	0.092077716	0.089947983	0.067791536	0.061747394	0.016709509	0.01390876	0.00873983	0.007538799	26.02.2012	69.747	23.915	387	9	0.15556385	4.5706	3.403576125	386.4230347	424.0010939	478.7962646	0	0	16.87517077	71.35876603	3.177381291	0	8.588682778	14.798	-0.756292701	679.0040283	323.6115723	0.289	5	5	13	0.047	4.57	0.004	1.56	0.02	0.19	0.14	2.3	15	23	36	0.44	4.66	0.96	1.28	1.4	5	1	2.45	0.15	2	0.01	6.26	2.93	2.2	19.29824561	120	114	1	0.2	7.24	0.057543994	0	267.764224	290.4155346	282.576	0.019298246	DOM11193	26.02.2012	26.02.2012	Ninnasjuhanajavri	3.910781858	3.277738579	11.93134158	5.383041727	0.686478917	45.70734691	25.35198858	14.50385413	53.41940514	29.62955062	16.95104425	0.507658834	65.34278788	37.65710915	39.64425318	1.113640186	4	11193	1000_lakes	18.48257414	11.35866667	25.65866667	41.78019795	41.78019795	0.83675	0.83675	315.8378761	190927	19.87275953	11.02260373	6.306023535	8.0359018	28.40990777	16.37265615	17.23663182	5.652173913	0.00173913	0.008695652	0.082608696	15.65217391	0.191304348	0.004347826
5	DOM11194	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	0.004696438	0.004494836	0.003764861	0.003302807	-0.000293919	0.000513056	0.000332787	-0.000274623	2012-1-38	69.814	22.643	664	9	0.06880146	1.9652	3.500990238	662.583252	744.2548341	883.4698486	0	0	0	95.45282037	0	0	4.547179723	25.558	-1.540869117	856.0039673	478.1300659	0.096	5	5	5.4	0.16	1.3	0.004	1.36	0.01	0.05	0.1	0.63	2	5	3.2	0.32	1.35	0.18	0.18	0.23	7	4	1.13	0.05	1	0.01	0.87	0.96	0.39	8.863636364	55	44	3	0.2	6.67	0.213796209	0	69.58412484	77.17092687	75.348	0.008863636	DOM11194	2012-1-38	2012-1-38	T?rrelvvatna	0.713466038	-0.435909463	-16.36729869	-15.29277327	0.734800338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	11194	1000_lakes	5.343072292	18.61	23.935	21.5324791	21.5324791	1.825583333	1.825583333	257.3966479	190925	NA	NA	NA	8.48106713	NA	NA	NA	8.571428571	0.006349206	0.015873016	0.079365079	5.079365079	0.507936508	0.015873016
6	DOM11195	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	0.105710661	0.103150798	0.078508591	0.072461446	0.020787833	0.017617283	0.010947454	0.009225049	2012-2-46	70.006	23.812	483	9	0.198966571	12.0437	1.652038585	481.7603149	568.1739	732.583252	0	0	0	94.37163192	3.832504779	0	1.795859189	29.026	-0.60257566	743.7338257	361.4645691	0.24	5	8	25	0.078	4.14	0.004	2.46	0.039	0.095	0.28	2.6	20	12	25	0.85	3.55	0.75	0.48	1.4	5	2	2.09	0.26	1	0.023	1.48	3.18	2.7	14.75409836	190	183	1	2.3	7.19	0.064565423	3	217.7256986	256.173971	246.64	0.014754098	DOM11195	2012-2-46	2012-2-46	?vre S?relvvatnet	3.967338374	3.548095666	11.18159922	4.962075608	0.702480711	66.38030694	29.52800687	22.74358117	55.94542502	24.88624971	19.16832527	0.454784916	87.01051799	53.15257822	57.76915419	1.178625213	6	11195	1000_lakes	25.93212316	17.97716667	24.74733333	101.0967083	101.0967083	2.789166667	2.789166667	381.7845771	190930	25.53088728	11.35692572	8.747531219	9.973893523	33.46558384	20.44329932	22.21890546	9.615384615	0.001538462	0.015	0.036538462	9.615384615	0.326923077	0.008846154
7	DOM11196	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	0.007039444	0.008286977	0.007068089	0.005924902	0.000867478	0.000469203	-0.000996041	-0.001424403	17.02.2028	70.645	29.876	311	9	0.115767292	0.9222	12.55338234	312.9212646	328.2146498	352.8466492	0	0	0	87.35897201	0	0	12.64102802	29.996	1.455743432	833.6707764	109.9999466	0.095	5	5	4.8	0.4	1.68	0.004	9.15	0.01	0.05	0.053	0.52	2	9	5.1	0.61	4.27	0.2	0.86	0.27	3	1	5	0.078	2	0.01	2.32	0.74	0.6	8	79	75	10	0.2	6.79	0.16218101	0	68.54371795	70.9156621	68.68	0.008	DOM11196	17.02.2028	17.02.2028	Prestelvvatnet	1.593649364	-2.73923713	-5.81785836	9.552956538	0.71496541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	11196	1000_lakes	5.129189472	18.61	23.935	20.84222602	20.84222602	1.927083333	1.927083333	257.297243	190925	NA	NA	NA	9.863825908	NA	NA	NA	9.230769231	0.007692308	0.019230769	0.096153846	9.807692308	1.173076923	0.019230769
8	DOM11311	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	0.045485184	0.043412526	0.031846643	0.030196319	0.007912027	0.006326386	0.002071785	0.000766646	01.01.2025	70.342	27.671	325	9	0.049350241	0.7621	6.475559706	324.3700562	346.7789988	378.860199	0	0	0	93.45021164	0	0	6.549789419	19.061	-0.207922369	590.2269897	267.6000061	0.298	5	24	29	0.063	6.3	0.004	3.02	0.01	0.05	0.34	1.4	7	10	4	0.52	6.19	0.095	2.2	0.65	6	1	2.5	0.091	1	0.01	6.38	1.4	1.5	14.5631068	110	103	3	0.2	7.47	0.033884416	19	276.9438599	388.8721651	383.339	0.014563107	DOM11311	01.01.2025	01.01.2025	Gistuladdut	3.100894745	0.547604588	56.62652967	5.486902927	0.695566969	13.57527668	11.24384928	4.561746876	46.20447036	38.26928268	15.52624696	0.583062595	21.5815023	14.08611105	12.32067974	1.118600138	8	11311	1000_lakes	12.09722652	20.58783333	23.935	44.50962142	44.50962142	1.36925	1.36925	299.75282	190925	9.6966262	8.031320914	3.258390626	8.640876086	15.41535878	10.06150789	8.800485528	20.71428571	0.002857143	0.007142857	0.035714286	2.857142857	0.371428571	0.007142857
9	DOM11313	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	0.028177698	0.025953465	0.019230974	0.017011725	0.003104496	0.002452752	0.000620209	-4.67E-05	15.01.2025	70.436	28.382	185	9	0.046332886	0.6194	7.480285185	185.0649719	234.9856918	368.2675781	0	0	57.37739909	35.13071499	0.019606104	0	7.472279718	12.801	-0.988561988	645.4414673	256.6171875	0.068	5	7	16	0.028	0.55	0.004	5.32	0.01	0.05	0.16	1.6	3	9	7.7	0.34	2.66	0.15	0.65	0.87	15	1	3.4	0.13	2	0.01	1.69	0.14	1.9	15.32258065	140	124	4	0.41	6.48	0.331131121	2	40.29747385	48.39017236	40.869	0.015322581	DOM11313	15.01.2025	15.01.2025	HOH 185	1.622091553	-0.029190721	-555.6873858	8.359961209	0.655470279	7.516261479	7.070861611	2.606157707	43.71627247	41.12572635	15.15800119	0.615598324	12.25712077	8.112965173	7.195937757	1.271942387	9	11313	1000_lakes	18.03759571	20.9425	23.935	40.45341585	40.45341585	1.749583333	1.749583333	288.105494	190925	4.697663424	4.419288507	1.628848567	11.27349732	7.660700481	5.070603233	4.497461098	10	0.0025	0.00625	0.03125	4.8125	0.2125	0.00625
10	DOM11314	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	0.021458998	0.022338595	0.015671521	0.016023052	0.015546409	0.01501023	0.011059722	0.010126304	2025-1-52	69.996	27.061	296	9	0.023358206	1.8332	1.274176639	295.9009705	319.2704288	353.5175781	0	0	0	96.31514003	2.390651757	0	1.294232745	13.947	-0.818487525	666.0418701	318.3566895	0.15	5	5	18	0.02	3.28	0.022	1.94	0.019	0.11	0.091	0.92	4	30	22	0.37	4.07	0.53	1.07	0.64	3	1	2.21	0.81	1	0.014	9.95	7.6	1.3	10.31746032	130	126	2	1.6	7.09	0.081283052	0	125.42924	99.64161111	95.008	0.01031746	DOM11314	2025-1-52	2025-1-52	HOH 299	2.428108186	11.00685251	2.20599684	1.436897412	0.717281104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	11314	1000_lakes	8.767863293	11.35866667	25.65866667	30.93212409	30.93212409	3.118583333	3.118583333	315.8378761	190927	NA	NA	NA	9.530286188	NA	NA	NA	19.56521739	0.023913043	0.020652174	0.119565217	23.91304348	0.402173913	0.015217391
