sample	eem_location	abs_location	dilution
DOM11194	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11196	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11311	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11313	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11317	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11449	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11528	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11533	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11534	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11536	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11537	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11549	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11552	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11590	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11631	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOMBlank1	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925		1
DOMBlank2	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190925		1
DOM11190	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190926	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11575	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190926	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOMBlank3	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190926		1
DOM11188	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11339	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11372	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11381	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11382	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11385	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11389	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11392	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11393	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11394	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOMBlank6	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930		1
DOMBlank7	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/190930		1
DOM11186	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11193	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11195	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11376	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11378	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11379	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11395	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11414	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11429	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11431	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOMBlank8	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001		1
DOMBlank9	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191001		1
DOM11314	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11334	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11397	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11399	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11819	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11852	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM11981	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM12205	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOM13284	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
DOMBlank85	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191003		1
DOM11401	C:/Users/CBG/R/Projects/100 lakes StarDOM/FluorescenceEEM/191004	//niva-of5/osl-userdata$/CBG/Documents/R/Projects/100 lakes StarDOM/Absorbency spectra	1
