sample	Raman
DOM11194	276.1056637
DOM11196	276.1056637
DOM11311	276.1056637
DOM11313	276.1056637
DOM11317	276.1056637
DOM11449	276.1056637
DOM11528	276.1056637
DOM11533	276.1056637
DOM11534	276.1056637
DOM11536	276.1056637
DOM11537	276.1056637
DOM11549	276.1056637
DOM11552	276.1056637
DOM11590	276.1056637
DOM11631	276.1056637
DOM11190	755.4759186
DOM11575	755.4759186
DOM11188	318.6431708
DOM11339	318.6431708
DOM11372	318.6431708
DOM11381	318.6431708
DOM11382	318.6431708
DOM11385	318.6431708
DOM11389	318.6431708
DOM11392	318.6431708
DOM11393	318.6431708
DOM11394	318.6431708
DOM11186	180.6741714
DOM11193	180.6741714
DOM11195	180.6741714
DOM11376	180.6741714
DOM11378	180.6741714
DOM11379	180.6741714
DOM11395	180.6741714
DOM11414	180.6741714
DOM11429	180.6741714
DOM11431	180.6741714
DOM11314	431.8497
DOM11334	431.8497
DOM11397	431.8497
DOM11399	431.8497
DOM11819	431.8497
DOM11852	431.8497
DOM11981	431.8497
DOM12205	431.8497
DOM13284	431.8497
DOM11401	513.7611225
DOM11404	513.7611225
DOM11506	513.7611225
DOM11559	513.7611225
DOM11571	513.7611225
DOM11763	513.7611225
DOM11824	513.7611225
DOM11856	513.7611225
DOM11888	513.7611225
DOM12662	513.7611225
DOM11336	294.8491282
DOM11405	294.8491282
DOM11480	294.8491282
DOM11757	294.8491282
DOM11766	294.8491282
DOM11776	294.8491282
DOM11861	294.8491282
DOM12641	294.8491282
DOM12899	294.8491282
DOM12901	294.8491282
DOM11413	264.5359922
DOM11445	264.5359922
DOM11446	264.5359922
DOM11484	264.5359922
DOM11498	264.5359922
DOM11748	264.5359922
DOM11775	264.5359922
DOM11816	264.5359922
DOM11825	264.5359922
DOM11976	264.5359922
DOM11481	210.3684563
DOM12183	210.3684563
DOM11871	210.3684563
DOM11892	210.3684563
DOM11920	210.3684563
DOM12185	210.3684563
DOM12280	210.3684563
DOM12309	210.3684563
DOM12437	210.3684563
DOM12782	210.3684563
DOM11565	290.295488
DOM11773	290.295488
DOM11783	290.295488
DOM11846	290.295488
DOM11985	290.295488
DOM12192	290.295488
DOM12234	290.295488
DOM12543	290.295488
DOM12761	290.295488
DOM12813	290.295488
DOM12818	290.295488
DOM12820	290.295488
DOM12821	290.295488
DOM12849	290.295488
DOM11409	248.3469143
DOM11502	248.3469143
DOM11558	248.3469143
DOM11605	248.3469143
DOM11608	248.3469143
DOM11613	248.3469143
DOM11614	248.3469143
DOM11621	248.3469143
DOM11786	248.3469143
DOM11827	248.3469143
DOM11831	248.3469143
DOM11870	248.3469143
DOM12743	248.3469143
DOM12781	248.3469143
DOM11447	444.1833689
DOM11485	444.1833689
DOM11496	444.1833689
DOM11499	444.1833689
DOM11603	444.1833689
DOM11743	444.1833689
DOM11840	444.1833689
DOM11850	444.1833689
DOM11895	444.1833689
DOM12157	444.1833689
DOM12258	444.1833689
DOM12660	444.1833689
DOM12758	444.1833689
DOM12823	444.1833689
DOM11828	310.2555644
DOM12017	310.2555644
DOM12080	310.2555644
DOM12173	310.2555644
DOM12249	310.2555644
DOM12538	310.2555644
DOM12544	310.2555644
DOM12561	310.2555644
DOM12572	310.2555644
DOM12575	310.2555644
DOM12587	310.2555644
DOM12646	310.2555644
DOM12650	310.2555644
DOM12664	310.2555644
DOM12079	271.2192841
DOM12256	271.2192841
DOM12504	271.2192841
DOM12571	271.2192841
DOM12582	271.2192841
DOM12613	271.2192841
DOM12616	271.2192841
DOM12666	271.2192841
DOM12757	271.2192841
DOM12932	271.2192841
DOM12935	271.2192841
DOM12937	271.2192841
DOM13233	271.2192841
DOM13235	271.2192841
