wavelength (nm),DOMBlank1,DOMSTD8,DOM12503,DOM12508,DOM12809,DOM12810,DOM12816,DOM12438,DOM12539,DOMBlank2,DOM12540,DOM13194,DOM13234,DOM11565,DOM11773,DOM11783,DOM11846,DOM11985,DOM12192,DOMBlank3,DOM12234,DOM12543,DOM12761,DOM12813,DOM12818,DOM12820,DOM12821,DOM12849,DOMBlank4
900,-0.008762251,0.042419024,0.01029834,-0.006620202,0.005497782,0.000963041,0.021579564,0.016912572,0.007335377,-0.003217225,0.016399708,0.013769206,0.005794934,-6.12E-05,0.012178525,-0.014684252,0.006181739,-0.011242023,0.0027943,0.000191728,-0.012107772,0.011332368,-0.003110321,0.005709736,0.001893591,-0.002003553,0.015504487,-0.000267372,-0.006220471
899.2000122,-0.021765094,0.045281,0.008312229,-0.012656376,0.003866429,0.016751334,0.004095122,0.002522496,0.005363814,-0.003852966,-0.001479088,-0.013873626,0.004388832,-0.015882662,-0.018489504,0.005046267,-0.002693813,-0.002071314,0.012065503,-0.006536522,0.007883059,0.001174765,-0.00968551,-0.012326884,-0.006104094,-0.022111664,-0.004003035,-0.002311151,-0.004476709
898.4000244,-0.020956688,0.049627796,-0.028967779,0.005769462,-0.023148391,-0.008900337,-0.009824163,-0.006485418,-0.02662003,-0.017290017,-0.004537374,0.001398461,-0.00047842,-0.001261298,0.001471675,-0.015800199,-0.018802952,-0.019885581,-0.008188686,-0.01241333,0.001803487,-0.008635997,-0.006102052,-0.012499257,-0.013087154,-0.00924298,-0.017674573,0.001026244,-0.030626819
897.5999756,-0.001283444,0.030732494,-0.001076711,-1.91E-05,-0.022540396,-0.002487082,-0.018683799,-0.005852041,-0.016544003,-0.01030291,-0.002498921,0.008478414,0.004097421,-0.018303908,-0.007609785,-0.019685391,-0.013401311,0.007335035,-0.008648228,-0.01918632,0.004158521,-0.012043069,-0.013099813,-0.007061591,-0.008620263,-0.000874996,-0.015591473,-0.000767565,-0.001814126
896.7999878,-0.000292206,0.035243589,0.007642299,-0.008519706,-0.008850222,0.01156593,0.005496288,0.001189145,-0.023239434,-0.004825981,-0.014999007,0.009088386,0.004608355,-0.012120308,-0.00082751,-0.010062742,-0.019537181,-0.013473541,-0.011376197,-0.009950832,-0.0132532,0.001572595,-0.020323826,-0.008760729,-0.022924753,-0.001399468,-0.012845305,0.004096664,-0.018687271
896,0.005375346,0.015578562,-0.020850755,-0.019084614,-0.007692293,-0.011312545,-0.010683143,-0.033406466,-0.015474483,-0.019787056,-0.023856498,-0.021716047,-0.01694346,-0.027460938,-0.03134717,-0.016511258,-0.012711383,-0.015489871,-0.022737309,-0.030042207,-0.008037516,-0.015597916,-0.022553863,-0.020066399,9.48E-05,-0.017071951,-0.013055304,-0.005853369,-0.0181587
895.2000122,0.004597759,0.038064931,-0.004895044,-0.020082811,-0.00718255,-0.0094219,0.006426681,-0.011406607,-0.012631081,-0.012304238,-0.010760978,-0.004109771,-0.009149411,0.000133256,-0.011348861,-0.003732565,-0.025181279,-0.009928669,-0.00514668,-0.009876444,-0.00924749,-0.007461771,-0.010003957,-0.00602639,0.008180318,-0.004036531,-0.010582305,-0.023806021,-0.006610361
894.4000244,0.020171613,0.02522691,0.000227079,0.009617905,-0.014031751,0.004560245,-0.006536114,0.003780903,-0.006317173,-0.008295414,-0.012643804,-0.005766016,0.000621112,-0.012525212,-0.01266613,-0.005449096,-0.014824571,-0.011429753,-0.02599323,-0.005220399,-0.019904274,-0.004093001,-0.015167872,-0.009762967,-0.008317865,-0.003153189,-0.005403796,-0.013995709,0.001199554
893.5999756,0.001852982,0.016699923,-0.012510625,-0.001340944,-0.013812245,0.000785702,-0.003856506,-0.008309636,-0.003342393,0.000736692,-0.004118028,0.005247992,-0.009123151,-0.021702603,-0.010202742,-0.002096819,-0.010483264,-0.012637217,-0.006177752,-0.005366622,0.004510781,-0.010505145,-0.013494119,-0.009316107,-0.001623016,-0.012341175,-0.011827291,-0.004134694,0.004341714
892.7999878,0.006295447,0.029615814,0.007531083,0.000868073,0.000486126,0.006263459,0.004963912,0.009857379,-0.005369843,-0.003583788,-0.004200996,0.005148284,-0.009518348,0.00167346,-0.015107974,-0.00699603,0.002731882,-0.007456784,0.003452274,-0.009641915,0.002447126,0.009832674,-0.001342956,-0.00732231,0.005872357,-0.006266094,0.00073607,-0.015233262,0.001514482
