Baseline 100%T,,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3,,Sample 4 Rack 1 Tube 4,,Sample 5 Rack 1 Tube 5,,Sample 6 Rack 1 Tube 6,,Sample 7 Rack 1 Tube 7,,Sample 8 Rack 1 Tube 8,,Sample 9 Rack 1 Tube 9,,Sample 10 Rack 1 Tube 10,,Sample 11 Rack 1 Tube 11,,Sample 12 Rack 1 Tube 12,,Sample 13 Rack 1 Tube 13,,Sample 14 Rack 1 Tube 14,,Sample 15 Rack 1 Tube 15,,Sample 16 Rack 1 Tube 16,,Sample 17 Rack 1 Tube 17,,Sample 18 Rack 1 Tube 18,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.6606556773,900,0.01195200346,900,0.03191590309,900,0.05567293987,900,0.01423100941,900,0.06069282442,900,0.01663402095,900,-0.003749348922,900,0.01241307706,900,0.009958465584,900,-0.007521664724,900,0.008627473377,900,0.01126297098,900,0.008912718855,900,0.009975019842,900,0.00552040711,900,0.01796772145,900,-0.001647979952,900,0.006511468906,
899.2000122,0.6509904861,899.2000122,0.03598608822,899.2000122,0.05444471166,899.2000122,0.05568750575,899.2000122,0.05376893282,899.2000122,0.09540704638,899.2000122,0.01750923321,899.2000122,0.03137789667,899.2000122,0.04210500792,899.2000122,0.02768608741,899.2000122,0.02120269835,899.2000122,0.01776795834,899.2000122,0.01307963394,899.2000122,0.004731516819,899.2000122,0.02222945355,899.2000122,0.01275402494,899.2000122,0.01143305376,899.2000122,0.0218889378,899.2000122,0.02952043712,
898.4000244,0.6439826488,898.4000244,0.05047000572,898.4000244,0.07671607286,898.4000244,0.09676542878,898.4000244,0.04543442279,898.4000244,0.1018792465,898.4000244,0.03248481452,898.4000244,0.01634535566,898.4000244,0.03858359158,898.4000244,0.0411827229,898.4000244,0.0275822226,898.4000244,0.03916091472,898.4000244,0.04518827051,898.4000244,0.02200389281,898.4000244,0.03649703041,898.4000244,0.04050986096,898.4000244,0.02540727146,898.4000244,0.03904886171,898.4000244,0.0291053392,
897.5999756,0.6563292146,897.5999756,0.03796912357,897.5999756,0.05088756233,897.5999756,0.05920308456,897.5999756,0.01862884127,897.5999756,0.05917781219,897.5999756,0.03640215844,897.5999756,0.02488463931,897.5999756,0.04164169729,897.5999756,0.03386416659,897.5999756,0.02932030149,897.5999756,0.02621937543,897.5999756,0.03967614844,897.5999756,0.03331200406,897.5999756,0.03043422289,897.5999756,0.02104673348,897.5999756,0.05187542737,897.5999756,0.01535079628,897.5999756,0.02026731707,
896.7999878,0.661082983,896.7999878,0.03731881827,896.7999878,0.04967121035,896.7999878,0.06565731019,896.7999878,0.03766982257,896.7999878,0.08702180535,896.7999878,0.02917432413,896.7999878,0.03044716083,896.7999878,0.03489426523,896.7999878,0.0368311964,896.7999878,0.03929152712,896.7999878,0.04013426974,896.7999878,0.03116569854,896.7999878,0.0340680033,896.7999878,0.03205029294,896.7999878,0.03277137503,896.7999878,0.02663755789,896.7999878,0.03167979792,896.7999878,0.0286159236,
896,0.6745826006,896,0.03522831947,896,0.03912176564,896,0.06236561015,896,0.03950873017,896,0.08146751672,896,0.02065949701,896,0.02481614053,896,0.01971528865,896,0.02683681808,896,0.02497417852,896,0.03540836275,896,0.01227195282,896,0.01931635477,896,0.01634436101,896,0.0318797715,896,0.01984405704,896,0.01206997409,896,0.02843281627,
895.2000122,0.6624394059,895.2000122,0.05366883427,895.2000122,0.07523209602,895.2000122,0.07487680018,895.2000122,0.04032837227,895.2000122,0.08319161087,895.2000122,0.03373433277,895.2000122,0.04319623113,895.2000122,0.03274675831,895.2000122,0.04677748308,895.2000122,0.03357411176,895.2000122,0.04857064784,895.2000122,0.05050210655,895.2000122,0.04004603624,895.2000122,0.04361051321,895.2000122,0.04145073518,895.2000122,0.03707443178,895.2000122,0.02502155863,895.2000122,0.03803068399,
894.4000244,0.6800757051,894.4000244,0.02011523955,894.4000244,0.04203644767,894.4000244,0.0582370013,894.4000244,0.04171432555,894.4000244,0.05954869092,894.4000244,0.01819672808,894.4000244,0.02569694631,894.4000244,0.01534605026,894.4000244,0.03914247081,894.4000244,0.03375982121,894.4000244,0.02965594456,894.4000244,0.0306994319,894.4000244,0.0212542098,894.4000244,0.02822019719,894.4000244,0.04383970797,894.4000244,0.02722952142,894.4000244,0.02294348925,894.4000244,0.03145097569,
893.5999756,0.6860587001,893.5999756,0.03754734248,893.5999756,0.03791655228,893.5999756,0.05158006027,893.5999756,0.03725007921,893.5999756,0.05477694795,893.5999756,0.01899723336,893.5999756,0.02126266435,893.5999756,0.04159209505,893.5999756,0.03062206507,893.5999756,0.0385145098,893.5999756,0.03379037604,893.5999756,0.02971952781,893.5999756,0.03736364469,893.5999756,0.03234786168,893.5999756,0.01751076989,893.5999756,0.03032309376,893.5999756,0.02440781333,893.5999756,0.0257861577,
892.7999878,0.696598649,892.7999878,0.03812512383,892.7999878,0.04103731364,892.7999878,0.04973201454,892.7999878,0.02674215846,892.7999878,0.05104891583,892.7999878,0.02243681438,892.7999878,0.02730463073,892.7999878,0.00317009585,892.7999878,0.0142195886,892.7999878,0.02709264681,892.7999878,0.0179854203,892.7999878,0.02064234018,892.7999878,0.02075655945,892.7999878,0.02851816826,892.7999878,0.02862668037,892.7999878,0.02594322897,892.7999878,0.01783942617,892.7999878,0.03003583848,
892,0.6945227981,892,0.04101785272,892,0.03506746143,892,0.04875842482,892,0.01674151421,892,0.04981265962,892,0.02620719559,892,0.02463533916,892,0.02446214296,892,0.02672131918,892,0.0215620175,892,0.02392650582,892,0.01966796815,892,0.02101912908,892,0.02248746343,892,0.03578457981,892,0.0348764509,892,0.02226223052,892,0.02567906864,
891.2000122,0.7121204138,891.2000122,0.02434111573,891.2000122,0.02762470394,891.2000122,0.02392658778,891.2000122,0.01148317941,891.2000122,0.04239630699,891.2000122,0.004744654521,891.2000122,0.01422378793,891.2000122,0.009550025687,891.2000122,0.0226505734,891.2000122,0.02420947328,891.2000122,0.01197600458,891.2000122,0.003412171034,891.2000122,0.003991602454,891.2000122,0.02066853642,891.2000122,0.02423440851,891.2000122,0.00718786614,891.2000122,0.01368841249,891.2000122,0.0102618672,
890.4000244,0.7080543041,890.4000244,0.03242843971,890.4000244,0.024552444,890.4000244,0.036666926,890.4000244,0.01766142435,890.4000244,0.04114885628,890.4000244,0.01457885001,890.4000244,0.01132615004,890.4000244,0.02033643052,890.4000244,0.01796550862,890.4000244,0.02382268943,890.4000244,0.01292002574,890.4000244,0.02889239229,890.4000244,0.007225265726,890.4000244,0.01787214354,890.4000244,0.02043152042,890.4000244,0.01334977429,890.4000244,0.01904572546,890.4000244,0.02226285823,
889.5999756,0.7202515006,889.5999756,0.02441616543,889.5999756,0.02131298557,889.5999756,0.0247723721,889.5999756,0.01525464002,889.5999756,0.02788403444,889.5999756,0.01339787897,889.5999756,0.01360322721,889.5999756,-0.0003569243418,889.5999756,0.01242136117,889.5999756,0.01028076559,889.5999756,0.02405529842,889.5999756,0.007846788503,889.5999756,0.0001815762516,889.5999756,0.004305790644,889.5999756,0.007301601116,889.5999756,0.005593899637,889.5999756,0.01480586268,889.5999756,0.008748822846,
888.7999878,0.7185455561,888.7999878,0.01684203558,888.7999878,0.03390208632,888.7999878,0.04150248319,888.7999878,0.02508649789,888.7999878,0.02864885516,888.7999878,0.01506804675,888.7999878,0.01753135957,888.7999878,0.02354401723,888.7999878,0.01162777003,888.7999878,0.02164317295,888.7999878,0.01191435475,888.7999878,0.01659007557,888.7999878,0.013900714,888.7999878,0.009476468898,888.7999878,0.01290079858,888.7999878,0.02588948235,888.7999878,0.0251065176,888.7999878,0.01806653105,
888,0.7267405391,888,0.01613276824,888,0.02027838305,888,0.02207938395,888,0.003244887106,888,0.02026639506,888,0.01358517259,888,0.01830460876,888,0.00803212449,888,0.004899479449,888,0.002852949779,888,-0.008816587739,888,0.0134362448,888,0.01101664081,888,0.01363004465,888,0.006033516489,888,0.01061465871,888,0.00620101206,888,0.002800058108,
887.2000122,0.7444416285,887.2000122,-0.006867631339,887.2000122,0.004454182461,887.2000122,0.001600861782,887.2000122,-0.00294539053,887.2000122,0.01252864115,887.2000122,-0.01252138987,887.2000122,-0.0122206388,887.2000122,0.007210684475,887.2000122,-0.00543718366,887.2000122,-0.009041878395,887.2000122,-0.007242278196,887.2000122,-0.01037737541,887.2000122,-0.009210136719,887.2000122,-0.02050772123,887.2000122,-0.0229519587,887.2000122,-0.003240195569,887.2000122,-0.004174537957,887.2000122,-0.006474758033,
