Wavelength (nm),DOMBlank1,DOMSTD6,DOM11409,DOM11502,DOM11558,DOM11605,DOM11608,DOM11613,DOM11614,DOMBlank2,DOM11621,DOM11786,DOM11827,DOM11831,DOM11870,DOM12743,DOM12781,DOMBlank3
900,0.011952003,0.031915903,0.05567294,0.014231009,0.060692824,0.016634021,-0.003749349,0.012413077,0.009958466,-0.007521665,0.008627473,0.011262971,0.008912719,0.00997502,0.005520407,0.017967721,-0.00164798,0.006511469
899.2000122,0.035986088,0.054444712,0.055687506,0.053768933,0.095407046,0.017509233,0.031377897,0.042105008,0.027686087,0.021202698,0.017767958,0.013079634,0.004731517,0.022229454,0.012754025,0.011433054,0.021888938,0.029520437
898.4000244,0.050470006,0.076716073,0.096765429,0.045434423,0.101879247,0.032484815,0.016345356,0.038583592,0.041182723,0.027582223,0.039160915,0.045188271,0.022003893,0.03649703,0.040509861,0.025407271,0.039048862,0.029105339
897.5999756,0.037969124,0.050887562,0.059203085,0.018628841,0.059177812,0.036402158,0.024884639,0.041641697,0.033864167,0.029320301,0.026219375,0.039676148,0.033312004,0.030434223,0.021046733,0.051875427,0.015350796,0.020267317
896.7999878,0.037318818,0.04967121,0.06565731,0.037669823,0.087021805,0.029174324,0.030447161,0.034894265,0.036831196,0.039291527,0.04013427,0.031165699,0.034068003,0.032050293,0.032771375,0.026637558,0.031679798,0.028615924
896,0.035228319,0.039121766,0.06236561,0.03950873,0.081467517,0.020659497,0.024816141,0.019715289,0.026836818,0.024974179,0.035408363,0.012271953,0.019316355,0.016344361,0.031879772,0.019844057,0.012069974,0.028432816
895.2000122,0.053668834,0.075232096,0.0748768,0.040328372,0.083191611,0.033734333,0.043196231,0.032746758,0.046777483,0.033574112,0.048570648,0.050502107,0.040046036,0.043610513,0.041450735,0.037074432,0.025021559,0.038030684
894.4000244,0.02011524,0.042036448,0.058237001,0.041714326,0.059548691,0.018196728,0.025696946,0.01534605,0.039142471,0.033759821,0.029655945,0.030699432,0.02125421,0.028220197,0.043839708,0.027229521,0.022943489,0.031450976
893.5999756,0.037547342,0.037916552,0.05158006,0.037250079,0.054776948,0.018997233,0.021262664,0.041592095,0.030622065,0.03851451,0.033790376,0.029719528,0.037363645,0.032347862,0.01751077,0.030323094,0.024407813,0.025786158
892.7999878,0.038125124,0.041037314,0.049732015,0.026742158,0.051048916,0.022436814,0.027304631,0.003170096,0.014219589,0.027092647,0.01798542,0.02064234,0.020756559,0.028518168,0.02862668,0.025943229,0.017839426,0.030035838
892,0.041017853,0.035067461,0.048758425,0.016741514,0.04981266,0.026207196,0.024635339,0.024462143,0.026721319,0.021562018,0.023926506,0.019667968,0.021019129,0.022487463,0.03578458,0.034876451,0.022262231,0.025679069
891.2000122,0.024341116,0.027624704,0.023926588,0.011483179,0.042396307,0.004744655,0.014223788,0.009550026,0.022650573,0.024209473,0.011976005,0.003412171,0.003991602,0.020668536,0.024234409,0.007187866,0.013688412,0.010261867
890.4000244,0.03242844,0.024552444,0.036666926,0.017661424,0.041148856,0.01457885,0.01132615,0.020336431,0.017965509,0.023822689,0.012920026,0.028892392,0.007225266,0.017872144,0.02043152,0.013349774,0.019045725,0.022262858
889.5999756,0.024416165,0.021312986,0.024772372,0.01525464,0.027884034,0.013397879,0.013603227,-0.000356924,0.012421361,0.010280766,0.024055298,0.007846789,0.000181576,0.004305791,0.007301601,0.0055939,0.014805863,0.008748823
888.7999878,0.016842036,0.033902086,0.041502483,0.025086498,0.028648855,0.015068047,0.01753136,0.023544017,0.01162777,0.021643173,0.011914355,0.016590076,0.013900714,0.009476469,0.012900799,0.025889482,0.025106518,0.018066531
888,0.016132768,0.020278383,0.022079384,0.003244887,0.020266395,0.013585173,0.018304609,0.008032124,0.004899479,0.00285295,-0.008816588,0.013436245,0.011016641,0.013630045,0.006033516,0.010614659,0.006201012,0.002800058
887.2000122,-0.006867631,0.004454182,0.001600862,-0.002945391,0.012528641,-0.01252139,-0.012220639,0.007210684,-0.005437184,-0.009041878,-0.007242278,-0.010377375,-0.009210137,-0.020507721,-0.022951959,-0.003240196,-0.004174538,-0.006474758
886.4000244,0.000805489,0.002990707,0.002785052,0.003711815,0.011777728,-4.93E-05,-0.01126084,0.003009474,-0.001398745,-0.013735606,0.001145332,-0.015665688,-0.008277687,-0.0118087,-0.004216019,-0.004245653,-0.003427461,-0.01254493
885.5999756,0.012655564,0.006281369,0.020283483,0.00491736,0.015598552,-0.00530551,-0.007968544,-0.00266397,-0.003681233,0.003774036,-0.014611522,-0.004123464,-0.013828644,-0.009270042,-0.003721683,-0.013590921,-0.006445378,0.008628187
884.7999878,0.006600347,0.012121052,0.014839424,0.003131923,0.007661558,-0.002274741,-0.007497495,-0.000163362,-0.001926503,-0.001238378,-0.002482552,-0.016778022,-0.00914059,-0.012635406,0.000579948,-0.000986738,-0.000267941,-0.008421209
884,-0.004163975,-0.001657418,0.00575813,-0.007095361,-0.00457631,-0.003565971,-0.000631779,-0.012993505,-0.01505587,-0.011400757,0.003590873,-0.008262499,-0.000585301,-0.008578236,-0.009412477,-0.012197282,-0.014051751,-0.013049979
883.2000122,0.009150297,0.016046915,0.020362554,0.013483345,0.02128811,0.004483657,0.007136312,0.003729857,-0.008059368,0.006339756,-0.003855275,-0.005655291,-0.008148498,-0.006204496,0.004362945,0.000464384,0.000981747,0.000481176
882.4000244,0.00666222,0.012012648,0.006474709,-0.001191707,0.012813795,0.004047487,-0.003886781,-0.004000521,-0.007708416,-0.010583316,-0.003501831,-0.002337414,-0.000964682,-0.007057466,-0.004103258,-0.00484303,-0.001732092,-0.007369091
881.5999756,0.004211291,0.00884067,0.008976243,-0.007445639,0.008956239,0.001330192,0.004508191,-0.005107387,0.003530637,-0.001849337,-0.005716405,0.000917202,0.001329517,-0.005430026,-0.00597589,-0.002027,0.005676846,-0.002260115
880.7999878,0.003745888,0.000202786,0.011443764,-0.003240196,0.014611724,-0.000696343,-0.00398626,-0.005191803,-0.005547401,0.001048222,-0.000229289,-0.006768707,-0.009970767,-0.005739449,0.001454013,-0.004324035,-0.001707494,-0.012537032
880,0.001104819,0.001285768,0.002470009,-0.00288296,-0.002139941,-0.006938765,-0.008169227,-0.004291485,-0.005872115,-0.005286433,-0.002011644,-0.014974749,-0.013236829,-0.007097908,-0.009810042,-0.003691192,-0.009633763,-0.005493881
879.2000122,-0.011152719,-0.003238705,-0.010730623,-0.011667503,-0.003357908,-0.014407483,-0.010406996,-0.013833709,-0.012719981,-0.018225377,-0.014531971,-0.017442577,-0.019278148,-0.024800919,-0.015251306,-0.013721813,-0.022447584,-0.021845203
878.4000244,0.001264453,0.006815022,0.000955907,-0.00218445,-0.000193843,-0.003644989,-0.005862512,-0.014267931,-0.010831881,-0.009868803,-0.008657059,-0.008897598,-0.015685761,-0.011347701,-0.008048442,-0.010697337,-0.005351741,-0.011044319
877.5999756,-0.000553607,0.000886593,0.005035844,-0.004015449,0.008279142,-0.010434492,-0.006489856,-0.009240952,-0.008297751,-0.004183204,-0.013500242,-0.007173129,-0.011050426,-0.006326867,-0.008576206,-0.005886876,-0.011386585,-0.010952046
876.7999878,0.005322854,0.003820413,0.000834692,-0.007804787,8.24E-05,-0.005968843,-0.009900432,-0.010435655,-0.014551998,-0.012832236,-0.008055506,-0.012079072,-0.009486234,-0.007638578,-0.008435071,-0.007873785,-0.013447391,-0.012925969
876,-0.007523242,0.000358772,-0.001226556,0.003163734,-0.002932021,-0.002830756,-0.018027997,-0.006814222,-0.01149364,-0.009233958,-0.009736845,-0.010634344,-0.0130545,-0.011262203,-0.009033208,-0.017989602,-0.005136039,-0.016860649
875.2000122,-0.001271365,0.002002983,0.004209252,-0.004630661,-0.00645002,-0.005401086,-0.004335312,-0.008478635,-0.007991366,-0.014017516,-0.011956398,-0.01277855,-0.017022321,-0.012776389,-0.008718157,-0.010745776,-0.010838597,-0.015287844
874.4000244,-0.003689703,-0.000146283,-0.002318979,-0.010751281,-0.006694538,-0.008221658,-0.013033952,-0.010610801,-0.017942661,-0.014829525,-0.015295891,-0.014500878,-0.015428918,-0.016367245,-0.014639604,-0.01790873,-0.020012563,-0.018274225
873.5999756,0.000995446,-0.003826846,0.001831717,-0.008459849,-0.000626971,-0.011757205,-0.014663881,-0.008059368,-0.009066571,-0.007642698,-0.018284896,-0.005979822,-0.011606515,-0.011712154,-0.013009634,-0.006617755,-0.012904662,-0.011255947
872.7999878,-0.004698014,0.002757541,-0.003181816,-0.002999432,-0.003327545,-0.012991395,-0.009461666,-0.011751007,-0.008755096,-0.007644276,-0.012826908,-0.010032693,-0.011744305,-0.011813637,-0.008039752,-0.010774564,-0.010373483,-0.010726128
872,-0.005207457,-0.005042656,-0.008420244,-0.00911286,-0.009701812,-0.018535146,-0.016565083,-0.015808336,-0.018253574,-0.010153788,-0.011508917,-0.015478481,-0.01931004,-0.020050827,-0.012540503,-0.019047255,-0.015792262,-0.015074772
871.2000122,0.001676241,-0.000406065,-0.0004477,-0.006346766,-0.002576795,-0.006074995,-0.009547369,-0.010732947,-0.006687808,-0.010638335,-0.012192903,-0.012648481,-0.01275256,-0.012438788,-0.010823953,-0.010506662,-0.011890313,-0.011052849
870.4000244,-0.003154679,-0.003023545,-0.00230765,-0.003541579,-0.010174776,-0.004720394,-0.006866205,-0.002491972,-0.012235689,-0.009384003,-0.008744238,-0.009142669,-0.009882112,-0.017926367,-0.013682885,-0.008448933,-0.013793889,-0.013474093
869.5999756,-0.001854286,-0.000512757,-0.004560685,-0.004218429,-0.004266775,-0.006825129,-0.013583845,-0.016757002,-0.015703788,-0.009998189,-0.013291011,-0.013247675,-0.010147365,-0.01372427,-0.015864044,-0.016152607,-0.010421705,-0.011754736
868.7999878,-0.001658965,-0.000991697,-0.00616147,-0.003859431,-9.15E-05,-0.011525655,-0.00688618,-0.0136137,-0.010024497,-0.008944412,-0.009030621,-0.010274899,-0.010547088,-0.01274894,-0.012401355,-0.013066959,-0.012224867,-0.015309435
868,-0.004797308,-0.004143771,-0.007527872,-0.009337642,-0.002293385,-0.014221286,-0.012470583,-0.012042364,-0.010734108,-0.01818998,-0.013082985,-0.012338509,-0.017300712,-0.011709332,-0.016522821,-0.012117288,-0.015474084,-0.016292801
867.2000122,-0.007401004,-0.00529523,-0.009925683,-0.01437603,-0.013176061,-0.013436098,-0.015802495,-0.011716539,-0.016366348,-0.018824121,-0.016829275,-0.014596955,-0.018810488,-0.016278291,-0.015860401,-0.021163393,-0.019264231,-0.015279497
866.4000244,-0.003455044,-0.003214244,-0.004471738,-0.010146303,-0.004203047,-0.013899098,-0.01229986,-0.008310804,-0.010014278,-0.012484065,-0.015413978,-0.010659602,-0.015644463,-0.015681017,-0.01736797,-0.017570572,-0.015200668,-0.016455483
865.5999756,0.000697203,0.002059445,-0.001512521,-0.005444955,-0.005606435,-0.005633879,-0.005294463,-0.005636128,-0.009785391,-0.010317875,-0.007675711,-0.01298431,-0.009235934,-0.00940888,-0.011605759,-0.012456095,-0.009107943,-0.009968237
864.7999878,-0.00442526,-0.004486547,-0.003472095,-0.005381042,-0.009217638,-0.014972598,-0.008348133,-0.009989437,-0.011418559,-0.01181797,-0.012811828,-0.017576838,-0.013480317,-0.013506264,-0.013965129,-0.013844691,-0.011682522,-0.016436093
864,-0.004113873,-0.004105822,-0.00758506,-0.006206078,-0.008671166,-0.009709811,-0.01346812,-0.012029675,-0.011593762,-0.012981396,-0.011029076,-0.017509712,-0.014373877,-0.014658025,-0.013279562,-0.016274052,-0.017181048,-0.016222734
863.2000122,-0.005242599,-0.005726777,-0.007401055,-0.006097917,-0.002620899,-0.011684588,-0.015384647,-0.015084673,-0.012121366,-0.014572324,-0.015388344,-0.013425556,-0.013751156,-0.017445561,-0.016479459,-0.017922094,-0.015534331,-0.018583413
862.4000244,-0.003729998,-0.004520159,-0.01017331,-0.010584983,-0.009383902,-0.016919112,-0.015227812,-0.012379066,-0.015263203,-0.014973698,-0.014685803,-0.016498249,-0.016625676,-0.016402792,-0.017425617,-0.021042814,-0.019753417,-0.014909672
861.5999756,-0.005573111,-0.007622045,-0.009030064,-0.009502797,-0.008459342,-0.01231858,-0.013842384,-0.010977186,-0.01145068,-0.016865978,-0.014811562,-0.015219765,-0.018665895,-0.015821615,-0.016796552,-0.015451152,-0.015415427,-0.018494464
860.7999878,-0.004636962,-0.005206075,-0.008728204,-0.012008977,-0.010063249,-0.013524883,-0.015760809,-0.014506736,-0.01635159,-0.015324779,-0.015616545,-0.015472585,-0.015217015,-0.017925074,-0.017972317,-0.013118801,-0.019329155,-0.01785537
860,-0.006944981,-0.004362427,-0.007093833,-0.010827134,-0.007085175,-0.009415465,-0.011282784,-0.013144016,-0.008765701,-0.014705673,-0.013843939,-0.012785387,-0.014281457,-0.018517634,-0.015905272,-0.013867457,-0.015326927,-0.015099525
859.2000122,-0.001992679,-0.00412972,-0.009380913,-0.007539168,-0.008127259,-0.008104901,-0.009697761,-0.013284683,-0.015765501,-0.011496061,-0.01440533,-0.015107575,-0.013227036,-0.009068092,-0.014778237,-0.014173886,-0.015747927,-0.017086286
858.4000244,-0.003681387,-0.001612804,-0.005724938,-0.009521335,-0.006492814,-0.01135219,-0.010110796,-0.01180477,-0.011316026,-0.011250246,-0.012693685,-0.015474384,-0.010362009,-0.017604182,-0.013720408,-0.014983802,-0.014374127,-0.01756759
857.5999756,-0.006037214,-0.006278903,-0.010009928,-0.008923415,-0.010795724,-0.011736344,-0.01269816,-0.012210773,-0.012143518,-0.013690209,-0.012756732,-0.017491512,-0.016979158,-0.01475687,-0.013641045,-0.016445514,-0.01506042,-0.019515501
856.7999878,-0.007954159,-0.007435053,-0.01260493,-0.013211116,-0.009355376,-0.014893713,-0.014470983,-0.015274948,-0.016786689,-0.014412492,-0.014720037,-0.015400337,-0.01518702,-0.019057561,-0.020209735,-0.015276099,-0.020543376,-0.019111615
856,-0.006950942,-0.00772754,-0.008218152,-0.010010282,-0.01152737,-0.013213979,-0.011488295,-0.016340919,-0.015487723,-0.014787444,-0.014362858,-0.017175026,-0.019680839,-0.016651437,-0.018916173,-0.016897351,-0.017341407,-0.020778757
855.2000122,-0.005060004,-0.006695863,-0.007095616,-0.008330561,-0.0093118,-0.011499438,-0.014084982,-0.011907137,-0.010287085,-0.014918376,-0.014807959,-0.014507286,-0.011065214,-0.015541474,-0.016589003,-0.015097074,-0.01618034,-0.016164029
854.4000244,-0.009758158,-0.007160296,-0.010645003,-0.012946724,-0.009687433,-0.01323954,-0.017302504,-0.015835293,-0.015649706,-0.016061962,-0.014642407,-0.015573543,-0.015803844,-0.019435011,-0.017678997,-0.019014699,-0.017615616,-0.02096463
853.5999756,-0.006331459,-0.007589588,-0.009898964,-0.009339365,-0.011713918,-0.015073822,-0.014072603,-0.01738896,-0.016462412,-0.016887391,-0.016109157,-0.015978284,-0.017264245,-0.015098474,-0.016139837,-0.017940525,-0.020536808,-0.020302335
852.7999878,-0.010221806,-0.006535859,-0.01002303,-0.010047668,-0.010208305,-0.014698016,-0.014665182,-0.017127398,-0.014024584,-0.016180888,-0.015749974,-0.017438648,-0.018203087,-0.020364881,-0.016832113,-0.01690731,-0.017883541,-0.019839585
852,-0.006386918,-0.003860611,-0.010429286,-0.008498385,-0.011414221,-0.012939588,-0.014141062,-0.014251949,-0.016017007,-0.013776184,-0.01410944,-0.014721488,-0.016206225,-0.017859247,-0.015648758,-0.01751389,-0.017445063,-0.0172629
851.2000122,-0.006793428,-0.007808805,-0.01410533,-0.010945989,-0.011938619,-0.014720737,-0.01402318,-0.015868686,-0.017044125,-0.0178106,-0.017910171,-0.018135414,-0.019584939,-0.018070808,-0.018923609,-0.020240966,-0.020262312,-0.021178432
850.4000244,-0.007582771,-0.009385625,-0.011979112,-0.012314202,-0.013901505,-0.012776489,-0.015225463,-0.015251706,-0.018725554,-0.018657118,-0.017810203,-0.018778756,-0.019284932,-0.019656939,-0.019975234,-0.019104036,-0.018735074,-0.019357132
849.5999756,-0.005072438,-0.004925553,-0.009153567,-0.009246021,-0.010436413,-0.00923335,-0.013632114,-0.013437252,-0.012121215,-0.015121874,-0.014224594,-0.017589765,-0.014482701,-0.014009996,-0.01506052,-0.015799699,-0.018486725,-0.017248273
