wavelength (nm),DOMBlank1,DOMSTD9,DOM12030,DOM12040,DOM12051,DOM12054,DOM12087,DOM12118,DOM12292,DOMBlank2,DOM12578,DOM12612,DOM12631,DOM12687,DOM12691,DOM12692,DOM11828,DOM12017,DOM12080,DOMBlank3,DOM12173,DOM12249,DOM12538,DOM12544,DOM12561,DOM12572,DOM12575,DOM12587,DOM12646,DOM12650,DOM12664,DOMBlank4
900,-0.014501528,0.001961454,-0.01735026,-0.002129895,-0.003870771,-0.015901629,0.000981669,-0.014476442,-0.003162697,-0.009894359,0.002743005,-0.014532922,0.002092217,-0.007321139,0.007015255,0.009137052,-0.017114209,-0.010981073,-0.008179693,-0.014383143,0.006250065,0.000632751,-0.004725823,-0.01560411,-0.005211191,-0.000644806,0.019180031,-0.007088893,0.028016327,0.005637613,0.00613973,0.010936968
899.2000122,0.012014139,0.002401806,0.002608374,-0.000209367,0.002571604,0.024206489,0.020703586,0.019836742,0.009450463,0.026946645,0.020115078,-0.01122154,0.004933828,0.012221656,0.032266717,0.002067351,0.005873249,0.00844228,0.015657507,0.023441849,0.012196735,0.016083285,0.004807154,0.011774722,0.001881163,0.012764075,-0.00145494,0.007075924,0.018485224,0.014777392,0.015431927,0.0123707
898.4000244,-0.002391274,0.006283155,-0.008620568,0.018912623,0.013347318,-0.008361135,0.027414631,0.01973341,0.006809158,0.001620582,0.010476769,0.00807946,-0.00334527,0.012109207,0.018463211,0.022935139,-0.006416506,0.001480947,0.00248503,0.009811226,-0.005506661,0.012205548,0.007659398,-0.012563389,0.002724093,0.006072838,0.001524171,-0.000716657,0.017378487,0.022840044,0.017274797,-0.003660544
897.5999756,-0.010838294,-0.006203527,-0.014583989,0.002067065,0.003335343,0.006118805,-0.003983234,-0.017578578,0.010678274,-0.003999803,-7.68E-05,-0.006464608,0.008144181,0.007801956,0.007266669,0.005794121,0.010862964,0.010890595,-0.008306132,-0.010623886,0.005096185,-0.004255599,0.000939563,-0.000578425,-0.005009443,0.005206701,0.005380325,0.014348933,0.004709797,-0.003678769,0.012130555,-0.001001305
896.7999878,0.00320882,0.020285001,0.009139801,0.007174102,0.013868188,0.008351441,0.006836584,0.004532099,0.014589263,0.00807023,0.02438443,0.009741305,0.009068165,0.002757072,0.015255203,0.00591539,0.017221412,0.001949284,0.012783162,0.00283643,-0.002414546,-0.001578708,0.013878798,-0.009939548,0.025855772,0.004239965,0.014966032,0.033556465,0.019634195,0.013965588,0.010285511,0.016418042
896,0.001572361,-0.003999803,-0.00781033,-0.008422834,-0.004012063,-0.009346459,0.008885504,-0.011772069,0.010206767,0.003938311,0.005616792,-0.012045184,0.000739078,0.011182961,0.004091359,0.005202667,0.008371865,0.00105201,0.003029675,-0.002691137,0.001077701,-0.015582833,0.009215232,-0.003403114,-0.012012301,-0.008277586,0.002755587,-0.004213814,0.0153143,-0.005320238,-0.003729331,0.000470629
895.2000122,0.013619468,0.011656327,0.023840629,0.026274152,0.027007245,0.00848797,0.021341968,0.012876187,0.014650705,0.024193954,0.017977083,0.010611926,0.01433716,0.011161607,0.036496893,0.018201454,0.009907297,0.020420207,0.023051709,0.029974122,0.015633034,0.031417608,0.017386651,0.025893331,0.013079127,0.010877323,0.017093794,0.021733107,0.027927069,0.024912244,0.020020247,0.018284952
894.4000244,0.013115997,-0.011116387,0.00407312,0.003297598,0.008312519,-0.001406951,0.013173362,0.003302111,-0.00818259,0.00408237,0.000252669,-0.003403216,-0.008186553,0.006941337,0.000999675,0.009045936,0.01625395,-0.000463112,0.002803784,0.00562555,-0.005930083,-0.002660882,-0.007934893,-0.006288547,0.014711808,-0.006384826,0.00758184,0.000428365,0.023959985,0.005002299,0.007466189,-0.000604534
893.5999756,-0.015419775,-0.007869108,-0.007280514,0.00119239,0.005886395,-0.015706085,-0.006757136,-0.012406035,-0.013234619,0.002025114,-0.001866297,-0.003769366,0.005437438,-0.009339365,0.003041693,-0.00664075,-0.006023071,-0.008823537,-0.015711727,-0.000693346,0.006702729,-0.010140436,-0.00096587,0.006047953,-0.008830133,-0.010462037,-0.005083849,-0.009953007,-0.000587369,-0.006625964,0.003123866,-0.009717658
892.7999878,-0.000657472,-0.002007727,0.00238343,-0.001852843,-0.003168145,-0.009474432,0.012968403,0.009633997,-0.004701138,-0.003888884,0.009660305,-0.008042394,0.010145182,0.020595325,0.001085641,0.009618355,-0.004524463,0.014627011,0.013741819,0.009830344,0.010812459,0.007793496,0.005505621,0.004166204,0.002215631,0.006184968,0.009746202,0.017869122,0.015052369,-0.001527791,0.013803703,0.006583158
