wavelength (nm),DOMBlank1,DOMSTD10,DOM12028,DOM12052,DOM12060,DOM12085,DOM12079,DOM12125,DOM12127,DOM12256,DOMBlank2,DOM12345,DOM12346,DOM12347,DOM12504,DOM12571,DOM12582,DOM12586,DOM12599,DOM12600,DOMBlank3,DOM12601,DOM12613,DOM12616,DOM12620,DOM12621,DOM12630,DOM12666,DOM12683,DOM12684,DOMBlank4,DOM12694,DOM12698,DOM12757,DOM12932,DOM12935,DOM12937,DOM13122,DOM13164,DOM13197,DOMBlank5,DOM13233,DOM13235,DOMBlank6
900,0.002268477,0.004344119,0.024706906,0.03496005,0.030348215,0.020600673,0.0056293,0.001541654,-0.003176111,0.00246337,0.022120513,0.020471001,-0.002760335,0.011239753,0.010026991,0.016381025,0.015414976,0.003944919,0.008447136,0.022060484,0.012679897,0.010104828,0.014368143,0.034172226,0.000901586,0.011959241,0.016564095,0.001000869,0.023836471,0.018242486,0.01014293,0.011753738,0.001441001,0.016378229,0.018486736,0.023772513,0.009039566,0.000850643,0.009025453,0.024362225,0.017562248,0.010416339,-0.004999769,0.00848174
899.2000122,0.020035669,0.008164545,0.033815026,0.017765881,-0.015986269,0.012315092,0.017438088,0.001333957,-0.011151458,0.026844719,0.018820459,0.018455729,0.015868787,0.015545373,0.008190105,0.025290204,0.025647679,0.024956275,-0.005745835,-0.003140185,0.018030696,0.028126204,0.016425084,0.020319423,0.016932731,0.032675724,0.023160828,0.007722871,0.024058582,0.02219796,0.028735328,0.016639939,0.006516829,0.038325515,0.013385518,0.025159646,0.008910129,0.025388883,0.004099146,0.012401303,0.014403624,0.025638644,0.023428135,0.028839359
898.4000244,-0.006836443,-0.004318756,-0.004087974,0.003528444,-0.011803812,-0.004027965,-0.001997472,-0.02238347,-0.026345992,-0.023537409,-0.017443422,-0.011325004,-0.030904101,-0.001875421,-0.015172622,-0.003446209,-0.013090771,-0.021609513,-0.015708681,-0.007453018,-0.02322368,-0.012155752,-0.014486857,-0.018385302,-0.011012016,-0.012254816,-0.025036739,-0.005545561,-0.013959815,-0.029079931,-0.012425808,-0.019381987,-0.00503672,-0.004879123,-0.018818717,-0.016397357,-0.014186664,-0.009589555,0.002873822,-0.010037094,-0.018056951,-0.005476448,-0.005812351,-0.012889886
897.5999756,0.026104592,0.005693474,0.014687789,0.022543134,0.000984782,0.005314494,0.009229139,0.007209711,0.005999553,0.017265422,0.012345105,0.018375382,0.010673445,0.018143311,0.010876553,0.00314702,-0.005831251,0.002563766,0.002716174,0.010826258,0.025831485,0.014993764,0.013088971,0.020049712,0.021252686,0.015374691,0.018220672,0.017520795,0.022880618,7.58E-05,0.017099099,0.002888492,-0.005848261,0.0123601,0.004637108,0.002252917,0.009120134,0.003125613,0.002821448,0.0010134,0.007883243,0.013834782,0.024834642,0.00721658
896.7999878,-0.006058709,0.002062722,0.020309549,0.003160526,-0.006710341,-0.002429527,-0.002693349,-0.000501432,0.001055721,-0.005452777,-0.012755979,-0.010433886,0.004392675,0.009529836,0.004759258,-0.007553771,-0.000991129,-0.013750754,0.022746526,0.003748995,0.00269643,-0.003413336,-0.005574082,-0.010093346,0.013871983,-0.017895117,-0.012178506,0.001344915,0.005166332,0.001321338,-0.011933028,-0.002226379,-0.004173205,0.005068947,0.002020355,0.003037782,0.005488188,0.016566623,0.009850282,-0.000965663,0.0007585,0.014460999,-0.005798507,0.00894876
896,0.015129316,0.000574116,0.010888471,0.007838723,0.003083351,0.000979464,-0.00160878,0.009366633,-0.003419037,0.004384831,-0.003473687,-0.018104129,0.008124505,0.010848021,0.008315897,0.002084986,-0.007637307,-0.008955468,0.011932633,0.015407224,0.007628705,0.008353552,-0.006665682,0.011686268,0.010436703,-0.000229496,-0.017311359,0.011417613,0.002660434,0.000691447,0.005636538,0.004528751,0.006283628,0.003069065,0.017144363,0.018417187,0.001357405,0.007106815,0.018401416,0.011498463,-5.45E-05,-0.005586707,0.009258888,0.00321294
895.2000122,-0.014362407,-0.007233521,0.001962936,-0.018537924,-0.011430964,0.002230826,-0.026792422,0.008075187,-0.021200275,-0.013384193,-0.012344597,-0.008173241,-0.009468708,0.00167081,-0.023185743,-0.013251944,-0.013163705,-0.014145122,0.004501156,-0.002534592,-0.008316035,-0.00729818,-0.010192679,-0.009178862,-0.009107132,0.006337077,-0.009771116,-0.001211894,-0.009130807,-0.009300144,-0.007999346,-0.007367716,-0.007051047,-0.007154083,-0.00973153,0.005082775,-0.008090673,-0.002876068,-0.01169119,-0.007753222,-0.014091648,-0.002853696,0.006320057,-0.014896415
894.4000244,-0.012144878,-0.005490251,0.030074952,0.004649143,-0.00665467,0.004524487,-0.000711333,-0.012027157,-0.003191683,-0.016367046,-0.01274542,-0.022596525,0.009566379,-0.013421189,-0.004721879,-0.008492698,-0.002074715,0.00671753,0.01003229,0.010716479,-0.012097299,-0.006031394,-0.004336286,0.001574855,-0.000848748,-0.003615108,0.001565944,0.02137748,0.001191378,0.002177203,-0.009936006,-0.003538293,0.005993149,0.001685674,-0.002006645,-0.001912741,-0.000205693,-0.001907071,-0.009909743,-0.003734669,-0.018558461,-0.004927908,-0.002952692,0.005113053
893.5999756,0.010872625,-0.002760849,0.021540772,0.010125601,0.008157502,0.003012836,0.005559184,0.00197716,-0.011036798,0.010101357,0.005666382,-0.006537542,-0.008103631,0.012687679,0.002221459,0.014347862,0.013543296,0.009061742,0.010794385,0.004249742,0.006202981,0.015204613,-0.006777831,0.008335212,-0.008576967,-0.002167708,0.01556359,0.001855322,0.005707401,-0.004562785,-0.001417426,-0.005890553,0.008095046,0.019558638,0.009543411,0.008771723,0.006649734,0.006486244,0.010036211,0.004804458,0.005632919,0.004661336,0.00655743,0.003769597
892.7999878,-0.017972665,0.00298492,0.004304614,-0.015313733,0.004096611,-0.004998439,-0.01407556,-0.00971533,0.003791609,-0.012592458,-0.003510459,-0.012777344,-0.022920921,-0.001106973,-0.008260874,-0.013802966,-0.005799988,-0.004595572,0.002082307,-0.007543442,-0.010345225,-0.002342975,0.005188599,-0.002816251,-0.013807581,0.001932461,-0.009869511,-0.012405129,-0.014547242,-0.005925384,-0.009484968,-0.010701428,-0.006766057,-0.000508775,-0.016555265,-0.007383496,-0.011403076,-0.015268451,-0.002707859,-0.005582874,-0.0094334,-0.011722536,-0.017420296,-0.010729866
