wavelength (nm),DOMBlank1,DOM11501,DOM12016,DOM12156,DOM12506,DOM12579,DOM12584,DOM12619,DOMBlank2,DOM12784,DOM12811,DOM12864,DOM12897,DOM13187,DOM13195,DOM13239,DOMSTD11,DOMBlank3
900,0.006350368,0.010630999,0.012695915,0.003480924,0.015442844,-0.000267578,0.023949973,-0.002879977,-0.00190336,-0.00587426,-0.004459235,-0.004810621,-0.004527179,0.001876588,-0.002387721,-0.003630768,0.002873717,-0.009014801
899.2000122,-0.030509854,-0.01275256,-0.033761453,-0.016880121,-0.032762699,-0.018391455,-0.00609031,-0.019403029,-0.024843555,-0.017430242,-0.029886566,-0.024349647,-0.019182606,-0.003612695,-0.024138428,-0.017017044,-0.021591533,-0.015224763
898.4000244,-0.008366822,-0.013492312,-0.020045983,-0.014028193,-0.021339983,-0.001717705,-0.001715487,-0.007446097,0.004930948,-0.007547258,-0.013324349,-0.019015145,3.27E-05,-0.012640837,0.020449944,-0.019278346,-0.019138269,-0.008678982
897.5999756,-0.010777947,-0.012290801,0.003748395,-0.021716885,-0.00756298,0.007834638,0.00723403,-0.005420465,-0.001530216,-0.004200945,0.002047325,0.004648096,-0.000475937,-0.001292116,-0.020145735,-0.014788195,0.007982606,0.004414171
896.7999878,-0.014466577,-0.023014762,-0.024631942,-0.030088246,-0.013790378,-0.018897934,-0.007139162,0.001658285,-0.019100618,-0.009776684,-0.037699014,-0.02444631,-0.014740756,0.004099616,-0.017338173,-0.006198831,-0.017648278,-0.01889962
896,-0.000662383,0.013134593,-0.014461469,0.013938216,-0.008611889,-0.006665886,-0.005392547,-0.003905355,-0.005384417,-0.007285605,-0.007116702,-0.018748015,0.000411627,-0.008252949,-0.001916092,-0.007174707,0.001283016,-0.005827676
895.2000122,0.000819442,-0.00279871,-0.014656924,-0.010588571,-0.010979912,0.00222505,0.00864572,0.007482754,0.001315159,-0.009914753,-0.001289173,0.007351252,-0.009465567,0.020934232,-0.007905915,-0.016625727,0.001304903,-0.002404815
894.4000244,0.007282858,-0.014420905,0.00051173,-0.00404961,-0.013955503,-0.006973818,0.018404359,0.004179455,-0.006938307,-0.004306863,-0.008658073,-0.004399994,-0.008872541,0.013611535,0.003761424,0.002329736,0.003113985,0.004543006
893.5999756,0.008937319,0.004805007,0.009290754,0.003418224,-0.003150876,0.004862437,0.002555069,0.007565377,-0.007603528,0.004696948,-0.003185979,0.003386317,0.019897304,0.021423111,-0.001625492,0.002752253,0.004133772,0.008468305
892.7999878,-0.004048738,0.000685743,-0.019689992,-0.015732449,-0.007631304,0.004131237,0.0061919,-0.006441297,-0.00739393,0.000547393,-0.009273996,-0.005303361,0.008075056,0.006086016,0.003715627,-0.014165066,0.006249723,-0.017298225
892,0.004953492,-0.008483458,-0.007733134,-0.007562369,0.006012834,0.007899112,0.008627473,0.009743343,-0.009956397,-0.013463001,-0.012114972,-0.014447697,-0.005350105,-0.004326342,-0.011698598,-0.011348356,-0.000178266,-0.003409432
891.2000122,-0.006237261,-0.015602911,-0.012347164,0.00552662,-0.003739751,0.009722589,-0.005510239,-0.007324245,-0.001071392,-0.006452417,-0.017863519,-0.00700194,-0.008920372,-0.01215258,-0.002847781,-0.006476799,-0.012526521,-0.025278343
890.4000244,-0.01745889,-0.010112769,-0.006707843,-0.015945448,-0.013599049,0.002486072,0.000814229,-0.006363194,-0.008188686,-0.009563271,-0.007446148,-0.011011966,0.001085823,-0.006197606,-0.004189305,0.001438248,-0.004281642,-0.012618157
889.5999756,-0.000626144,-0.010861117,-0.000485401,-0.006783336,-0.000297069,-0.004956419,0.011566727,-0.002322944,0.001891173,-0.002637572,-0.008310855,-0.007001583,0.000747816,0.000819857,-0.001926143,0.004785508,-0.002080692,0.003676571
888.7999878,-0.019950312,-0.01441134,-0.020362014,-0.014420054,-0.01941199,0.001649788,-0.005125601,-0.01568676,-0.008905765,-0.004197304,-0.015642615,-0.016206326,-0.01868861,-0.005755235,-0.016216749,-0.016839633,-0.013961921,-0.003725943
888,0.000679572,0.00313453,0.015197563,0.003781243,-0.013893933,0.008780334,0.007908154,0.009198071,0.004860002,0.006123163,0.006083286,0.013815861,0.00781603,0.015114279,0.015139206,0.007674073,0.007594695,0.008091406
887.2000122,-0.008892018,-0.004748048,-0.011733773,0.000687272,-0.013360296,0.000809795,-0.007669811,0.002323048,-0.003782248,-0.007635119,-0.009793996,0.004603724,-0.007201748,-0.001265325,-0.003631384,-0.005725245,-0.010590289,-0.003686264
886.4000244,-0.005281625,-0.004083,-0.005761928,-0.005449454,0.00120703,0.008673421,-0.001545693,0.000599,-0.004084641,-0.007257552,-0.006098274,-0.007349493,-0.001348582,0.004042209,-0.011079093,-0.001332892,-0.002682442,-0.001624822
885.5999756,0.00053363,-0.003438607,-0.000738571,-0.014453857,-0.004072229,-0.007407621,0.006860515,-0.010681678,-0.007757698,-0.013102124,-0.005270066,0.002919425,-0.003774088,-0.004685005,-0.009374377,-0.008551942,-0.007511895,-0.001958098
884.7999878,-0.00394091,-0.000387547,-0.004383953,-0.003598473,0.000903972,-0.006473126,-0.001660152,0.006394815,-0.003757972,-0.003290963,0.003647672,-0.001827272,-0.003244821,-0.008246245,-9.06E-05,-0.00963037,-0.002134326,0.001402927
884,0.005944282,-0.006064784,0.006049266,-0.002873291,0.000947942,-0.001730442,0.002052474,0.006160786,-0.00204349,0.001226473,0.004140619,0.000716778,-0.007639748,-0.002985292,-0.000153373,0.002988439,0.005740215,0.006379053
883.2000122,-0.00333222,-0.002657023,0.002953071,-0.001748644,-0.00128427,-0.001228672,-1.85E-05,-0.006476543,-0.002357496,-0.009822442,-0.000125788,-0.006804538,-0.002922096,0.001068359,0.000743641,-0.003727483,-0.006099244,0.00247519
882.4000244,0.002719118,0.002289191,-0.003770649,0.001859091,0.002113625,0.002088316,0.00376145,0.007099368,0.004110278,0.00435931,0.001910464,-0.001021294,0.004967918,0.000782798,0.0026739,-0.001454889,0.000860188,0.007033565
881.5999756,0.001057252,-0.000169313,0.006907828,-0.0010434,-0.001438325,0.008466722,-0.001551832,-0.003765927,-0.000247865,0.003856113,0.006084782,-0.003595033,-0.006565947,0.000593401,-0.006520151,0.006201983,-0.007257247,0.000139211
880.7999878,-0.001044019,-0.003934805,-0.002112533,-0.006323602,-0.005500833,-0.003818994,0.002898968,0.00020952,-0.003256845,0.002655199,-0.004175205,-0.003139311,-0.007069843,-0.001085387,-0.001378825,-0.005504923,0.001208639,-0.008938935
880,-0.001614919,-0.007556518,-0.008976464,-0.002244354,-0.004038428,-0.001780303,-0.007961987,0.001051907,-0.005935139,-0.010039624,-0.00655687,-0.004248114,-0.007767157,-0.001785305,-0.00392911,-0.008296278,0.002560329,0.000933337
879.2000122,0.00334622,-0.000775265,-0.005057957,0.001433287,0.003171035,-0.000819759,0.00676551,0.002401858,-0.000921907,0.007660557,-0.001691508,7.11E-05,0.006638721,0.000460186,-0.003973384,0.000692613,0.005408501,0.008071073
878.4000244,-0.00035858,-0.001434713,-0.005363144,-0.002331183,-0.00359683,-0.006366816,-0.002287411,0.000201284,-0.003767621,-0.006705192,-0.005233647,-0.00830283,-0.00342705,-0.003152726,-0.002321554,-0.001817786,0.003907436,0.00297035
877.5999756,-0.004442222,-0.00946734,-0.007476071,-0.005822721,-0.009105053,-0.008212716,-0.002686661,-0.008031975,-0.001155822,-0.006951656,-0.007915778,-0.00620812,-0.002682287,-0.006677051,-0.007297213,-0.005949591,-0.006625607,-0.004421673
876.7999878,-0.002310534,-0.002130719,-0.006305131,-0.006382122,-0.005899133,-0.003556625,-0.003521706,-0.00364925,-0.005631835,-0.002363984,-0.006346511,-0.002596969,-0.002583074,-0.005072899,-0.004588246,-0.000415375,-0.003518779,-0.003265323
