wavelength (nm),DOMBlank1,DOMSTD12,DOM12158,DOM12236,DOM12251,DOM12307,DOM12335,DOM12444,DOM12501,DOM12558,DOMBlank2,DOM12640,DOM12749,DOM12748,DOM12850,DOM12905,DOM13193,DOM13186,DOM13286,DOM13327,DOMBlank3,DOM13372,DOM13375,DOM13414,DOM13429,DOM13431,DOM13436,DOMBlank4
900,0.023222212,-0.01047442,-0.002525687,-0.000606602,-0.008998067,0.011414424,-0.000110364,-0.013083638,0.006805135,-0.001189177,-0.004964966,-0.010680112,-0.009790959,0.01564645,-0.001842274,0.006286438,0.001841856,-0.010841778,-0.002142414,-0.01506182,-0.003357086,0.018147603,0.002142057,0.018185904,-0.000218578,0.007220686,0.006482118,-0.010083937
899.2000122,-0.029783081,0.0175633,-0.009604696,-0.011659439,-0.006800054,-0.009626217,-0.001310646,0.001878798,0.012092492,0.013469299,-0.00126326,0.006158948,0.003360568,-0.006163052,-0.00214195,0.011419526,-0.016352486,-0.001905937,-0.00629911,-0.006647531,0.013606566,0.009633387,-0.003555701,0.008240385,-0.002204694,0.02081429,0.000459356,0.000886515
898.4000244,-0.017521199,-0.02084755,0.00307493,-0.00046668,-0.022671418,-0.01480851,0.004447278,-0.019486099,-0.011382198,-0.015122775,-0.020558782,-0.004939272,-0.01989468,-0.004370371,-0.016085012,-0.021515271,0.0079284,-0.012928884,-0.020530537,-0.034508765,-0.016227871,-0.001237035,-0.007222777,-0.022745416,-0.015970102,-0.014679948,-0.003007864,-0.013657601
897.5999756,0.010518909,0.009404195,0.033023577,0.016894594,0.010664505,0.008075266,0.022496378,0.007426004,0.009640401,0.000325275,-0.00287972,0.007888331,-0.006014646,0.004525664,0.021070046,0.005463021,0.014934738,-0.00154332,0.003319378,0.009703079,0.004276928,-0.006629125,0.015927188,-0.005714208,0.000149595,0.015013566,0.012513109,-0.008030807
896.7999878,-0.0043961,0.000863715,0.006223594,-0.003995546,0.011068843,-0.005186738,0.000806086,0.00071123,-0.002135562,-0.003048994,0.007452074,-0.009327964,-0.001702338,0.003081135,0.007213027,0.015354927,0.00779679,0.006499014,-0.00382546,-0.000277254,0.006895072,1.38E-05,0.008212237,-0.003946399,0.006412547,0.012556565,0.023319302,-0.006875887
896,0.00232068,-0.0025314,-0.010084089,-0.004986616,-0.015579286,-0.009804119,-0.028948067,-0.020791292,-0.011026653,-0.005710376,-0.023539715,-0.016209967,-0.020337462,-0.00558732,-0.006235271,-0.010129713,-0.025167109,-0.014602161,-0.014113349,-0.0212232,-0.022177294,-0.0187677,0.004293791,-0.012104852,-0.006577421,-0.003118854,-0.011676071,-0.017281808
895.2000122,-0.007967324,-0.016842224,-0.00878356,-0.003955121,-0.019909319,-0.002812599,-0.024559392,-0.002994907,0.006548442,0.004352355,-0.004689717,-0.007137277,-0.002793618,-0.007212084,-0.010169214,-0.011527319,-0.0069246,0.006092054,-0.012826305,-0.003223083,-0.005863483,-0.002680178,0.00272352,-0.002643078,-0.000140642,0.004613665,-0.008540622,-0.010177609
894.4000244,-0.012367191,-0.011933128,-0.016469639,-0.008886592,-0.01429328,-0.019535448,-0.020755658,-0.011894292,-0.01687305,-0.010153383,-0.030221455,-0.016650639,-0.021066537,-0.022904864,-0.025298955,-0.014251198,-0.004108848,-0.017230907,-0.024364723,-0.016754761,-0.022559466,-0.009440999,-0.018052433,-0.017335586,-0.020032536,-0.011048205,-0.016666533,-0.030928545
893.5999756,-0.011132031,-0.019414615,-0.007044272,-0.015149274,-0.009360444,-0.007947397,-0.029344751,-0.006312019,-0.003969434,-0.010071999,-0.012991495,-0.001923772,0.001163241,-0.024448022,-0.015568098,-0.019837212,-0.016521426,-0.00834468,-0.010300938,-0.018485187,-0.016199494,-0.010982941,-0.021075711,-0.020366708,-0.002675238,-0.001150865,-0.027635863,-0.02150581
892.7999878,0.015568098,0.019511795,0.017530229,0.0076472,0.013430985,0.013414485,0.017238595,0.00723682,-0.00948436,0.002719118,0.010039151,0.008834673,0.017136985,0.009032642,0.014379621,0.009329631,0.023827776,0.006992525,0.018250423,0.005253939,0.010913768,0.015592166,0.003872828,-0.001352453,0.008397359,0.006270077,0.009369543,0.017180286
892,0.003467486,0.009021462,0.013172749,0.009192969,-0.005281625,0.016045168,0.001150679,0.014019456,0.006857938,0.010577523,0.004295098,0.023966387,0.013177338,0.000973938,0.006721368,0.016065583,-0.0010481,0.018820837,0.004362291,0.012193727,0.012085279,0.028112147,0.009940005,0.011270144,0.010178199,0.01134063,0.017167145,0.000295278
891.2000122,-0.003254276,-0.002080692,0.002389859,-0.003129237,-0.008497776,-0.004831817,-0.009295584,-0.012539648,-0.003138283,-0.007428946,-0.017784312,0.000826834,-0.013940512,-0.009359785,0.002244954,-0.000961117,0.000671665,0.004033875,0.005945358,-0.007466148,0.008456242,-0.020018298,0.003520093,-0.002757402,0.002916767,-0.008125633,-0.006397579,0.003590769
890.4000244,-4.97E-06,-0.01342129,-0.004987128,0.00932376,-0.005323205,0.001343201,-0.000983794,-0.009669865,0.006137629,0.006937996,0.001925909,0.001856206,-0.002714804,0.007651125,-0.002403167,-0.001085646,-0.003379998,0.002950204,-0.002111039,-0.000692053,0.00741605,0.016115172,0.006620322,-0.004453138,0.002245319,0.001809648,-0.011487892,-0.000644238
889.5999756,-0.001119728,-0.007688987,0.002906812,-0.002380101,-0.00130662,0.004318863,0.000959824,0.003138806,0.006403142,-0.004969368,0.000725205,0.00490016,0.006344458,0.001475597,-0.002909599,0.000333824,-0.006583336,-0.007801736,0.001937297,-0.004820707,-0.010327531,0.006150967,-0.00151541,0.009006132,0.006410393,0.007141497,-0.000500501,-0.002906411
888.7999878,-0.003280327,0.004069357,0.002367605,0.007224555,-0.001850883,-0.008318778,0.007788937,-0.002546378,-0.002550959,-0.005777868,-0.00935563,-0.006913288,0.003682836,0.002912545,-0.003475331,0.001670758,0.004817623,0.007201131,-0.005344991,-0.003331141,0.000909497,0.003692574,0.000546227,-0.005280142,-0.001103927,-0.007943077,-0.001355601,-0.011519707
888,-0.006476288,0.008899825,-0.011546477,-0.007761715,0.00123613,-0.00205158,-0.003517905,-0.006023633,-0.005774394,0.001184836,-0.002089039,-0.009140844,0.000551981,-0.012337351,-0.016033573,-0.008576764,-0.004444016,0.006284941,-0.00032811,-0.007522784,-0.014655622,-0.004836631,-0.005488769,-0.015013561,-0.003007658,-0.006934027,-0.011962341,-0.002115624
887.2000122,0.004236881,0.00568815,-0.005325148,-0.003270976,0.001968735,-0.003977335,-0.007754748,-0.00649108,-0.002222567,-0.005590847,0.000871938,0.007579101,-0.006928065,-0.002926415,-0.00377301,-0.008731249,-0.002324644,-0.006044311,0.001315756,0.003047819,-0.001896659,-0.0028898,0.001126905,-0.008956431,0.00676225,-0.006649061,-0.00691711,0.00826653
886.4000244,-0.007364662,-0.007443298,-0.013672249,-0.010631919,-0.00915737,-0.008453858,-0.00716712,-0.013892028,-0.01092115,-0.007345065,-0.022122636,-0.011016559,-0.016516492,-0.009547419,-0.00588187,-0.005800346,-0.012617101,-0.012295632,-0.008415421,-0.011317085,-0.006784916,-0.006265788,-0.004943469,-0.005438718,0.000926981,-0.002752412,-0.005862053,-0.019892555
885.5999756,0.005425144,0.0085263,0.000218481,-0.004538501,0.001348057,-0.005226742,0.000964079,-0.003011926,0.001798782,-0.007906475,0.002770098,0.006315408,0.001800888,0.002769499,-0.002990228,0.001940938,-0.004237706,-0.004229811,0.005940425,-0.001576541,0.000498928,-1.29E-05,-0.010205625,0.002779034,0.009478823,-0.00059135,0.004472673,0.006853336
884.7999878,0.007997582,0.005150274,0.001489649,0.002239777,0.007331981,-0.004532404,0.011089476,0.0002873,0.006437768,0.006406426,0.003872175,0.007972877,-0.003094232,0.004386765,0.00492257,0.006031312,0.002398474,0.007129312,0.008101138,0.006266268,0.004127839,0.00612718,0.006157635,0.004040903,0.014431267,0.00622068,0.006154485,0.006801348
884,-0.002539173,-0.000499157,0.005286849,0.002124784,-0.004452881,0.000404398,-0.007640562,-0.000273942,-0.009089539,0.00223949,-0.002419076,0.000719034,-0.003324051,0.005736805,-0.002175693,-0.004212481,0.003717142,-0.003130316,-0.000287964,0.002206082,-0.000974703,-0.005860162,-0.000743171,0.003197815,0.001297893,0.000702544,0.005488292,0.005467426
883.2000122,0.009188236,0.00327162,0.002115524,0.005399405,0.003379899,-0.002889131,0.005233817,-0.009074988,0.001038362,0.001914885,0.001628767,-0.000330748,-0.003203144,0.004345426,0.012043253,0.011273917,0.000289165,-0.003038609,0.00155163,0.012944347,0.002657413,0.00401616,0.004293085,0.004430593,0.004499089,0.003836317,0.004953439,-0.002303633
882.4000244,0.003657879,0.005278307,0.000569036,0.004262891,-0.003429619,-0.0052872,-0.001165942,-0.002840014,-0.004030375,-0.000767772,-0.000123873,0.007160997,-0.006814273,-0.008977072,-0.001968973,-0.003493717,0.006202692,-0.001516132,-0.002698238,-0.002748554,-0.010165926,-0.004548287,-0.013484081,0.005404988,-0.006810808,-0.003537728,0.006574118,0.002326015
881.5999756,0.004280484,0.00507065,-0.006890614,-0.000931413,-8.89E-05,0.002083504,-0.000385271,0.000533164,-0.000855671,-0.003800827,0.006794959,0.002945591,-0.000390599,0.002542753,-0.008086505,0.003869694,0.000660283,-0.005128773,-0.00474984,-0.000554693,-0.005852961,-0.004360837,-0.000259559,-0.006705498,-0.001257633,0.0027751,0.005115699,0.001505546
880.7999878,0.005595683,0.000104385,0.006672156,0.008451676,0.006244655,0.006735433,0.00586076,0.00254356,0.002764392,0.004187035,0.002940196,-0.000693346,0.005579452,0.002688356,0.00920283,0.009365708,0.009657182,0.000198798,0.007781584,0.005926936,0.000533345,-0.00011673,0.005369187,0.012829338,0.005334489,0.005674224,0.003847599,0.007208
880,-0.000319005,0.002078484,-0.003304116,-6.17E-05,-0.003402549,-0.002454187,-0.001181897,-0.004785634,0.004065176,0.004169027,-0.007712485,-0.004848201,0.005964201,0.000493045,0.00022322,0.000823722,0.00147622,-0.001141726,-0.00866594,-0.001010292,-0.001148697,-0.000729165,0.001364624,0.002693695,0.005990997,0.004519543,0.000968048,0.000198539
879.2000122,-0.005614817,-0.005942033,-0.004710459,0.002852611,-0.007069996,-0.005401393,0.000610535,-0.006701063,-0.004408963,-0.006912728,-0.001856709,-0.004681829,-0.00700408,0.001647865,-0.002781941,-0.005573878,-0.003266351,-0.006279158,-0.001835779,-0.005598258,0.003100714,-0.00905207,0.001449753,-0.001125873,-0.000560018,0.001647943,-0.003972204,-0.002344263
878.4000244,0.005720306,0.008283257,0.008324102,0.008203663,0.006782916,0.011293735,0.004817911,0.010097065,0.004088328,0.005041396,0.007041037,0.012102447,0.000896683,0.005500089,0.007459658,0.009273803,0.00704764,0.010024634,0.008396382,0.004065882,0.004682635,0.005536871,0.006382363,0.003991759,0.00782196,0.01009529,0.006032099,0.00764035
877.5999756,-0.005739499,-0.004845181,0.001049753,-0.00471348,-0.004197356,-0.003052386,-0.004367244,-0.006801226,-0.008687304,-0.004974538,-0.003831618,-0.006467924,-0.003753199,0.000258963,-0.004414037,-0.001338053,0.002752826,-0.008926407,-0.002836259,-0.005520514,-0.000270321,-0.001908051,-0.001169092,-0.005052123,-0.006014034,-0.002895148,-0.003159151,0.000170596
876.7999878,0.001357457,0.001059614,0.003623735,0.001570386,0.005007772,0.003815242,-0.001970776,0.002013593,0.00547584,-0.001241785,0.002263143,0.002625613,-0.000409892,0.006454819,0.001482506,0.001861509,0.005002142,0.005010941,0.006271285,-0.002454959,0.006983424,0.003217765,0.001553994,0.00053954,0.003363829,0.00140581,0.001609436,0.008898768
876,0.002639208,0.004652335,0.005855328,0.000861562,0.004048454,0.000796542,-0.004379853,-0.003173387,0.002250705,0.002774474,0.004695562,-0.000755007,0.006879319,0.000807227,-0.001426147,-0.00052977,0.004196262,0.005312372,0.002643245,0.002368047,0.006602108,0.004488522,0.003399857,0.008195064,0.003536743,0.007207605,0.002082151,0.008273443
875.2000122,-0.000830714,0.004608825,0.000126886,0.000972952,-0.001734155,0.002218935,0.000779582,-0.001201981,0.001042669,0.004807729,-0.000181888,-0.001994792,-0.002143496,-0.000174488,-0.001006625,0.000904724,0.000906981,-0.004295688,-0.000290033,0.000981332,-0.005136857,0.002792659,0.001390254,0.002839244,0.000428521,0.002114821,0.003943875,0.001519261
874.4000244,-0.004532558,-0.002354716,-0.002990999,-0.001315756,0.000767109,-0.000801363,-0.005828544,-0.00328413,-0.000232549,0.002473966,-0.002738008,-0.000405185,-0.003556728,-0.001997936,-0.002385713,-0.001049236,-0.003989031,0.001934437,-0.000283255,0.000286626,-0.002480029,0.000992229,-0.002848552,-0.000657989,-0.000110778,-0.003016347,-0.007397136,-0.001223251
873.5999756,0.002895789,0.004984912,0.00220616,0.008962872,0.002344519,0.006179166,0.003050191,0.007534902,0.000672131,0.006819045,0.008611684,0.002638505,0.003163134,0.005355795,0.003061948,0.005594398,0.001834681,0.008699276,0.005393141,0.005501374,0.00621317,0.001287352,0.008646196,0.007209421,0.005160595,0.007457999,0.002525464,0.005237328
872.7999878,0.001050376,0.001961844,0.000521423,0.003829266,-0.002647967,-0.002023084,0.001160801,0.003952991,-0.005920124,0.002539342,0.00091191,0.002637645,-9.94E-05,0.001228056,0.001384308,0.001559449,-0.00152516,-0.000279272,-0.000544455,0.002183395,0.000596097,-0.003002105,0.001190313,0.000406522,-0.001826396,0.003323082,-0.004065254,0.002424895
872,0.001241374,0.004774935,-0.002723036,-0.000920357,-0.003724711,0.002455847,-0.000225253,-0.000258783,-4.58E-05,0.001069812,-0.000301777,0.001457467,0.002715289,0.005963834,0.005112765,-0.000630332,-0.001228311,0.002470217,0.003377786,-0.002932483,-0.000722239,-0.001445291,0.00078508,0.000541017,0.0037544,-0.002983647,0.002411463,-0.001973869
871.2000122,0.002041655,0.001303579,0.003750875,0.002326015,-0.002067759,0.000836196,0.000619608,0.004035312,-0.000319626,0.0006313,-0.002378144,0.003904249,0.004792261,0.005726654,0.005100821,0.004454627,0.004698702,0.005899908,-0.00273667,0.001063532,0.002931153,0.00309842,-0.003863896,0.003866795,0.004750543,0.001236675,0.000265982,0.002092659
870.4000244,0.005712437,0.006813365,0.002638922,0.002569495,0.001977602,0.001910959,0.003368655,-0.000320712,0.002532676,0.004625596,0.003839137,0.004462264,0.007823621,0.004132204,0.000223453,-0.000546523,0.006899464,0.002084154,0.00029748,0.005053522,0.000250907,0.001772842,0.001871674,0.002932899,0.002646683,0.005926726,0.002070941,0.002950047
869.5999756,-0.002961794,0.000262304,-0.00123306,-0.004898781,-0.003864973,-0.001345176,-0.003267019,0.000661994,-0.003581786,0.000866698,0.00062697,0.00036069,0.000201206,-0.000364942,-0.004082589,-0.00200077,-0.00065132,0.000180489,0.001173597,0.000507014,0.000513,-0.003909254,-0.00058313,-0.000918343,-0.003048736,-0.003336793,0.004697577,0.002744542
868.7999878,-0.002129277,0.000956011,0.002118203,0.003362759,0.003362003,-0.000958844,0.004590538,0.000257072,0.000253342,0.000932507,0.000661917,0.003169548,0.001914105,0.001671953,-0.000838775,0.00187196,0.001902899,0.00211209,0.001301424,0.003364403,3.48E-05,-0.000128945,0.00397551,0.001125607,0.005267512,0.002384835,0.000681491,0.001357353
868,0.003283305,-0.00085407,0.002149393,0.005824999,0.00264986,0.00256762,-0.002468859,-0.001889649,0.001073574,0.000699406,-0.003128312,0.001888105,0.001287507,-5.72E-05,0.001790855,0.000120568,0.001286391,0.000188776,-0.004017603,0.005027333,-6.27E-05,0.006775081,0.000693287,0.000939044,-0.001534859,0.00166291,0.001190443,0.003672812
867.2000122,-0.00411854,-0.007919692,-0.002038337,-0.00433562,-0.002307289,-0.00112954,-0.000512964,-0.004660932,-0.001656799,-0.004417778,-0.004021143,-0.003868822,-0.00258714,-0.002205466,-0.00318084,-0.006942535,-0.000610686,-0.003137923,-0.003771676,-0.000664295,-0.002747731,-0.004630098,-0.003588871,-0.005892902,-0.000933893,-0.004103052,-0.003385443,-0.000830559
866.4000244,0.000343306,0.002393685,-0.002838728,-0.000120974,0.00138075,0.001142451,1.53E-05,0.001274033,-0.003141162,0.001878278,-0.001986289,0.000372115,0.001808426,-0.002130668,0.001112787,0.004097944,0.002413415,0.000605766,0.002981297,-0.000222148,-0.00060107,0.00122232,-0.003114022,0.001518144,0.000606984,0.002055699,-0.001318182,0.00187794
865.5999756,-0.002848346,-0.000964991,-0.001483525,-0.005488053,-0.002683779,-0.000458095,0.00056056,0.000548922,-0.002123198,0.000913726,-0.003755611,0.003438236,-0.002671945,-0.001123756,0.001119638,0.003358376,-0.002960251,-0.004482397,0.00133671,-0.003155245,-0.000268562,-0.000901552,0.000906722,0.002136022,-0.00072074,0.005485461,0.000753469,-0.004846307
864.7999878,0.003214192,-0.001301458,0.005091471,0.001598887,0.002420574,0.000848101,-0.001123653,7.73E-05,-0.001922741,0.003625537,0.002249482,6.72E-05,0.001839698,0.002333146,0.001624895,0.00194099,0.000892196,0.003060801,0.001628481,0.003852222,0.004221903,-0.000696757,0.001164409,0.002100203,-0.000562345,0.004278942,0.002876584,0.002572229
864,-0.000302036,-0.000900777,-0.002000049,0.000101588,-0.002364293,0.002333822,-0.000829474,0.001721901,0.002628244,-0.003416674,0.000132116,0.001148343,-0.001026459,-0.000188512,0.001566905,0.00347534,0.003202248,-0.000116471,0.00153451,-0.001492554,0.001122182,0.001704411,0.000196726,0.001804657,-0.00155632,0.004850735,0.000182612,0.002166667
863.2000122,-0.003251398,-0.000105861,-0.001988505,-0.002409757,-0.002986475,-0.000157927,-0.004363247,-0.002192589,-0.001637819,-0.000532665,-0.001769166,-0.002259497,-0.003740367,0.001076714,-0.000339077,-0.000605672,-0.003239785,-0.00272067,-0.002984367,-0.002497222,-0.00291973,-0.001809589,-0.001830417,-0.003351897,-0.002621723,-0.001787419,-0.002438125,-0.004790549
