wavelength (nm),DOMBlank1,DOMSTD13,DOM11196,DOM11311,DOM11312,DOM11313,DOM11315,DOM11316,DOM11317,DOMBlank2,DOM11528,DOM11529,DOM11530,DOM11531,DOM11532,DOM11533,DOM11534,DOM11535,DOM11536,DOMBlank3,DOM11537,DOM11548,DOM11549,DOM11550,DOM11551,DOM11552,DOM13663,DOM12011,DOM12068,DOMBlank4,DOM12094,DOM12098,DOM12099,DOM12211,DOM12389,DOM12415,DOM12417,DOM12985,DOM13062,DOMBlank5,DOM11441,DOM11593,DOM11739,DOM11752,DOM11756,DOM11787,DOM11859,DOM11894,DOM11917,DOMBlank6,DOM11918,DOM11927,DOM11959,DOM11979,DOM11984,DOMBlank7
900,-0.002363984,-0.011481993,-0.013047617,-0.01731723,-0.007242227,-0.020682754,-0.023119822,-0.01909814,-0.000264578,0.001934671,-0.010805218,-0.012441304,-0.012453881,-0.032436877,-0.011096706,-0.017967002,-0.003741342,-0.023990408,0.0019989,-0.005297582,0.006284758,-0.017633116,-0.018246774,-0.010060618,-0.020863092,-0.011869004,0.000602577,-0.011969745,-0.004752452,-0.022349687,-0.011427484,-0.018195789,0.017724194,-0.010008106,-0.005304896,0.006671552,-0.004000675,0.003252242,0.009389197,-0.004400148,-0.013036614,0.013259291,-0.009426965,-0.004827466,-0.004120797,0.015689444,-0.002368515,-0.012136672,-0.024155129,-0.008905105,-0.006248948,-0.007405025,-0.010090715,-0.00940508,-0.014278552,-0.010423576
899.2000122,0.010799321,0.010605719,-0.004102078,0.004525324,0.017575188,0.005058209,0.013777008,0.003581999,0.007272644,-0.009680548,-0.005301776,0.001377893,-0.00260685,0.005857139,-0.013890674,-0.005425629,0.010247078,-0.012079022,0.006746344,-0.010523894,0.021540608,-0.00300663,0.007786196,0.007857701,-0.016176749,0.017268386,0.009370442,0.013668377,-0.00793657,-0.000878716,0.005767023,0.008286398,0.010104059,-0.006213224,-0.002704206,0.002710157,0.011430024,0.002649522,0.019280335,-0.012002078,-0.026666094,0.009222106,0.011603602,0.007789411,0.012872746,0.021692125,0.008698932,0.008264736,0.009204311,0.003623448,-0.003379741,0.007244032,0.018308604,0.003475183,0.006327385,0.026522964
898.4000244,-0.002025042,0.017656894,-0.001702234,0.005539494,-0.013022547,0.011307976,0.00845772,-0.001193927,0.004815372,0.008628055,0.010950241,0.005994566,-0.001340944,0.008759811,-0.002108463,0.001582233,0.011473797,0.004432685,-0.012748487,0.008838768,0.015740225,0.005106479,-0.005153997,-0.015609453,-0.005419135,0.002735398,-0.001968148,0.008103802,0.016410595,0.007067268,-0.00820276,0.002362243,-0.00634146,0.008608198,0.015390059,-0.000312383,0.006864302,0.0113287,0.008302862,0.001797327,0.02311649,0.020831671,-0.013254907,0.014148232,-0.013394584,0.009199791,0.005557742,-0.005132815,0.018232983,-0.008610569,0.01111173,0.010261337,0.014168931,-0.002487545,-0.002347919,0.002569182
897.5999756,-0.01158489,-0.001004352,-0.011917363,-0.00825615,-0.018269807,-0.019534508,-0.019444566,-0.019003697,-0.004588759,-0.015260854,0.003995208,-5.69E-05,-0.000983278,-0.010296337,-0.01465317,-0.020792475,-0.008924023,-0.01114515,-0.003154987,-0.025282642,-0.010257557,-0.022698985,0.007430533,-0.007384463,-0.014633147,-0.022725664,-0.003648172,0.006168532,-0.005225156,-0.001650713,-0.004140745,-0.002088008,-0.025150841,-0.002003605,-0.017627398,-0.018086798,0.007745533,-0.008909416,-0.000891374,-0.002090739,-0.007670879,-0.017505983,-0.010997529,-0.01010321,-0.006050744,0.012263752,-0.00590562,0.007310762,-0.01091903,-0.011249591,-0.011897214,-0.021018989,-0.002184141,-0.001568236,-0.008710038,-0.011226232
896.7999878,0.003754557,0.007552602,0.005483442,-0.004027041,-0.005912821,0.008356085,-0.01303345,0.016463395,0.005007694,-0.005873187,0.003919947,-0.008496811,-0.006949872,0.000970798,-0.014916074,0.011369355,-0.000723996,-0.003876467,-0.003184437,0.00616118,-0.015646512,0.006362241,-0.014883108,0.005392932,-0.004230477,0.008439455,-0.008018965,0.014291625,-0.000948977,0.002353654,0.002490029,0.001317392,-0.004698014,-0.001703059,-0.005348928,-0.015399737,-0.004722238,0.008021655,0.001181358,-0.003417599,-0.013202378,0.003191426,0.014517337,-0.012127659,0.012313334,0.026412474,0.010514772,-0.002696694,-0.004838064,-0.006800461,-0.009129995,-0.00588948,-0.012558158,0.000897202,-0.001864957,0.006607338
896,-0.004447449,-0.015735494,-0.011709182,-0.000134586,-0.017755637,-0.011560088,0.000443057,-0.018428177,-0.026048671,-0.004561146,-0.01410533,-0.000910852,-0.021969004,-0.003427461,0.007389061,0.001308252,-0.013692416,0.006096438,0.006626393,-0.01707449,-0.003918182,-0.010123138,-0.005895354,-0.016983191,-0.005788801,-0.013542296,-0.015036916,-0.015755367,0.000974327,-0.008132289,-0.017223693,-0.014250046,-0.008761997,-0.002629647,-0.017682079,0.00265434,0.002401494,-0.006943045,-0.011274057,0.005362608,0.000576656,0.005368165,-0.005830894,-0.010528795,-0.008112727,0.003453865,-0.012094681,0.00393656,-0.016047442,-0.005655445,-0.005577303,-0.001946862,-0.010272169,-0.005982835,-0.022251276,0.001696121
895.2000122,0.002318441,0.021769768,0.004423872,-0.00043296,0.002605222,0.003828482,0.003589855,0.018569941,0.01452079,0.008346479,0.023138987,0.007250086,0.015737755,0.008818189,0.011850851,0.011341348,0.008025506,0.000891988,0.007094132,0.018603984,0.000758655,0.016207999,-0.003446312,0.009062138,0.007178813,0.007175997,0.003349168,0.02280545,0.023065904,0.006572094,0.000984653,-0.007175064,0.004923932,0.004386452,0.015403469,0.005432851,0.023434337,0.002212873,0.006906592,0.004211552,0.002966675,0.01517928,0.019642212,-0.00074069,0.018023869,0.024276124,0.006856097,0.003792993,0.008722807,0.004634674,0.005761278,0.002246464,0.01083207,0.013964171,0.015706781,0.004500501
894.4000244,0.009206612,0.007366365,-0.00984952,-0.002422474,-0.007081355,-0.009099375,-0.012607445,-0.014024483,-0.008873809,-0.011706914,-0.007818212,-0.003733181,0.009124574,-0.019861545,-0.012637267,-0.004364784,-0.00931408,-0.002956652,-0.002877148,0.00196551,-0.018552857,-0.003228531,0.010282091,-0.015204517,0.00716747,-0.012965769,-0.002391325,0.006258731,0.004441263,-0.009271665,-0.00408659,-0.003665986,-0.007045241,-0.019187113,0.005038332,-0.000120508,-0.006392529,-0.007501922,0.00738103,0.003231665,0.006396838,-0.024890149,-0.002407852,-0.006451397,-0.002299925,0.01175129,-0.005806374,-0.006797301,0.006842843,-0.012903053,-4.66E-05,0.007979758,0.001167368,-0.009053186,-0.00932462,0.005526935
893.5999756,0.011708527,0.017097456,0.007658318,0.012101302,0.001798757,0.009939396,0.002379656,0.012118017,0.014793837,0.007924103,0.00531321,0.021947501,0.019189419,0.010631556,0.008785697,0.019236742,0.010477883,0.006593645,0.003290321,0.008080778,0.004833852,-0.002578494,0.016088201,0.023024004,0.015315641,0.014167461,0.003757455,0.00418842,0.017152846,0.01114915,-0.005758761,0.003164177,0.004059402,0.015055933,0.01563832,0.013504173,0.022393448,0.010562272,0.016441001,0.018235926,0.020422405,0.009079213,0.009635849,0.012691331,-0.00061627,0.027325554,0.016169496,0.013742834,0.022706375,0.013989085,0.014447484,0.009410516,0.003795761,0.005451593,0.007429348,0.002948171
892.7999878,-0.009836259,-0.009163351,-0.002358887,0.000643069,-0.009297611,-0.001304762,-0.007554788,-0.002472977,-0.00381263,-0.003498955,0.009595198,-0.010295224,-0.001111105,-0.002359093,-0.008867772,-0.006108893,0.0055939,-0.005239836,0.012093715,0.017767822,-0.012193407,-0.008751342,0.001332399,0.004207292,-0.001743746,0.00082271,0.001902535,-0.017548746,0.008271464,0.0126509,-0.00342027,0.007033065,-0.000323454,-0.005767906,-0.001951398,0.001458065,-0.001992885,-0.000935856,0.02091242,-0.008164655,-0.004404095,-0.001578399,0.002174186,-0.008638534,-0.012572743,0.005344342,-0.000103221,-0.006254255,-0.000740535,0.000490091,-0.001273481,-0.000149906,0.008437977,-0.00228154,-0.010736028,0.007392142
892,-0.011144898,-0.009133037,-0.003284335,-0.008043461,-0.01794887,-0.008619349,-0.011547737,-0.001960572,-0.013103681,-0.015598316,-0.006581857,-0.008364944,-0.015330875,-0.015941655,0.003451439,-0.018396666,-0.006546619,-0.018322323,-0.024872011,-0.01537975,-0.010249365,-0.015134575,-0.014343574,-0.011429703,-0.017506778,-0.024409214,0.000173807,-0.025019731,-0.009353603,-0.01690726,-0.013059071,-0.006735472,-0.011780938,-0.01018039,-0.001313691,-0.006203884,-0.008956584,-0.005325353,-0.013623334,-0.01182855,-0.005822414,-0.000378805,-0.016619099,-0.008201947,-0.009760132,0.002609311,-0.010921201,-0.011100541,-0.014180299,-0.0045738,-0.003304887,-0.014623987,-0.022880355,-0.006481185,-0.006336306,-0.011725307
891.2000122,0.00367182,0.010024369,-5.98E-05,0.007951073,0.004158965,0.004134921,0.007989013,-0.002397658,-0.005128467,0.005984593,0.003305606,-0.002901217,0.003094066,0.003282888,-0.002391016,-0.000703528,0.002436947,0.000631792,-0.004730227,-0.005916549,0.001888911,0.007941951,0.000181162,-0.008623359,-0.006837156,-0.012717417,0.005429758,-0.012864656,0.005042941,-0.000599364,-0.001123653,-0.008266564,0.006133324,0.004222818,0.009456309,0.007796316,0.01017184,-0.012578527,0.008133368,0.001075287,0.004374659,0.009539177,0.011673638,-0.004968498,0.005501741,0.016344871,-0.003958302,-0.001217624,-4.38E-05,0.010448449,0.000660543,0.003136538,-0.0011915,-0.005810257,-0.005462031,0.003713565
890.4000244,-0.002027567,-0.000193015,-0.008103529,-0.003686726,-0.001992061,-0.000674789,-0.000172573,-0.003314701,-0.015337023,0.013923139,-0.007342367,0.007592193,-0.002684345,0.005103205,-0.003189011,0.00260991,-0.007161162,0.00621275,-0.00702191,0.00321886,-0.000259507,0.009283984,-0.001590624,0.001603096,0.004318627,0.00650892,0.001462376,0.001268113,0.008244132,-0.015512701,0.001124543,-0.005106363,-0.009319806,0.003957903,-0.002164926,-0.005744557,0.002324661,0.009761795,-0.002262896,0.005583018,0.002432418,-0.001338827,0.002718128,0.001007303,0.002274358,-0.001646175,-0.004024785,-0.001060701,-0.005746448,0.017651692,-0.000256506,-0.009486842,-0.007522784,0.006001784,-0.003952659,0.004215839
