wavelength (nm),DOMBlank1,DOMSTD14,DOM11604,DOM11978,DOM12027,DOM12029,DOM12036,DOM12039,DOM12042,DOMBlank2,DOM12049,DOM12050,DOM12059,DOM12067,DOM12089,DOM12095,DOM12097,DOM11907,DOM11980,DOMBlank3,DOM11991,DOM12056,DOM12066,DOM12082,DOM12091,DOM12092,DOM12093,DOM12294,DOM12296,DOMBlank4,DOM12302,DOM12303,DOM12319,DOM12330,DOM12387,DOM12986,DOM13015,DOMBlank5
900,-0.00755082,-0.007668437,-0.00530597,-0.007253887,0.006316668,0.01244608,-5.63E-05,-0.000830301,0.000100708,0.003451308,0.001813131,-0.008036449,-0.008242282,0.005387769,-0.012077713,-0.002245591,-0.008996292,0.011103604,0.000318799,0.013058693,-0.012203625,-0.005315943,0.004357114,-0.01202338,-0.007745747,-0.003056191,0.006769639,-0.007270586,0.001076403,2.35E-05,-0.002059979,0.012329979,-0.00292369,-0.008098245,-0.01745501,-0.002474006,0.005907282,-0.002293539
899.2000122,0.011362977,0.006451036,0.007550627,-0.005430077,0.00768585,0.055628095,0.013116557,0.016541291,0.012000035,0.004575339,0.008801995,-0.008476452,0.002084856,0.011075004,0.009669304,-0.002138808,0.010545668,0.031700987,-0.00676361,0.013063788,0.009542696,0.016985891,-0.006341766,0.007096947,-0.013520417,-0.004006113,0.019716859,0.01081498,0.016151629,0.004192602,0.012670755,0.004630305,0.02725281,0.005365282,0.015845133,0.002838853,0.023127411,0.015740063
898.4000244,0.011124159,-0.002239307,0.020855516,-0.003662136,0.002869314,0.042360347,-0.000205331,-0.003067604,0.02432321,-0.012519226,0.009206189,0.003236646,0.007614005,0.005790816,-0.003050279,0.003555638,-0.005572038,0.009614781,0.020988999,0.003607682,-0.0105866,0.003037209,-0.009263049,0.001955317,-0.010608982,0.007144602,0.006642479,0.004852882,0.001139441,0.003919895,0.000469204,-0.011845024,0.019359469,0.003264109,0.006463174,-0.018317308,-0.009533238,0.011157862
897.5999756,0.002825956,-0.001575252,-0.015294041,-0.006027922,-0.026268562,0.0279806,0.001756051,-0.007397034,0.02159548,0.006061472,0.003959548,0.002602227,0.019762859,0.002311805,-0.000340371,-0.019715918,0.005998976,-0.011960176,-0.024830746,-0.01981792,-0.013170787,0.001654075,-0.004105001,-0.001809279,-0.007809211,-0.00210228,0.001624246,0.011969113,0.006796116,-0.007408435,-0.022426147,-0.00427995,0.007163681,0.004642628,0.009591307,-0.00749317,0.011975898,0.007892918
896.7999878,-0.011304525,0.000751887,0.008004358,-0.006215418,-0.023698919,0.02949697,-0.010280259,0.000972692,0.00130119,-0.005313437,0.007281831,-0.008459037,-0.001097781,-0.000717691,-0.005947957,-0.006494803,-0.000424685,0.007794682,-0.006812693,-0.011794139,-0.003071716,-0.004893713,0.007432376,0.006957566,0.007135707,0.005532257,0.006545499,-6.70E-05,-0.005735872,-0.00208265,-0.001407467,0.004539737,-0.005469137,0.001279407,0.007194051,-0.007379169,-0.007899612,-0.018991556
896,-0.002967399,0.011457691,-0.004635117,0.002332651,-0.007885885,0.037755568,0.005783287,0.014054026,0.004264093,0.006911615,-0.001414433,0.007953762,-0.002876737,-0.003864563,0.010299718,0.008529441,0.014281674,0.0031605,0.0106575,0.005052526,0.011232448,0.003824408,0.013198338,-0.016261585,0.009866727,0.007392326,0.000344601,0.009375706,0.00966004,0.012411558,-0.00973234,0.020617774,0.009276129,0.006915666,-0.003002877,-0.00082534,0.001706386,0.011677254
895.2000122,-0.009007905,-0.013789124,-0.017879518,-0.001902329,0.003366307,0.016928855,-0.013791381,-0.001708062,-0.007557485,-0.000396082,-0.001937533,-0.007264324,0.000722612,-0.00281517,-0.013987238,-0.010748907,-0.002206342,-0.001632197,-0.012578779,-0.002111915,-0.014385447,-0.001987629,-0.000215991,-0.012333124,0.000982344,-0.007855024,-0.020208253,-0.014918827,-0.007041318,-0.006476849,0.000482601,0.007064505,0.007029382,-0.022318754,0.005203269,-0.010799209,-0.005384366,-0.010120812
894.4000244,0.002651605,-0.008976666,-0.01253497,-0.007116905,-0.009116003,0.014816147,-0.005718602,-0.01205455,-0.011342103,-0.001171983,-0.008144687,-0.027600057,-0.001873463,0.006614408,-0.008052914,-0.012739338,-0.005247714,0.003316848,-0.010359026,-0.005041479,-0.012144323,-0.01982717,-0.001811238,-0.018573791,-0.001432443,-0.01994334,-0.003468705,-0.008298005,-0.007646666,-0.015268401,0.00554943,0.008658791,0.006869799,-0.018751685,-0.009229245,-0.022670632,-0.011526714,0.006772162
893.5999756,0.002669785,0.007065926,0.000762156,-0.00243586,-0.001040869,0.016273567,0.006856781,0.018867092,0.004688392,-0.00333335,0.008464662,0.009299587,0.007405465,-0.002280304,0.002327056,0.002550747,0.013279574,-0.000360907,0.004055091,0.01106024,-0.003038866,0.003997559,0.006500905,0.010460912,0.009829708,-0.004402557,0.001708595,0.01835197,0.013672918,-0.00249192,0.00262616,0.005058288,0.009612691,-0.007745747,-0.002356621,0.006105521,-0.008787669,0.006683223
892.7999878,-0.008979405,-0.021881929,-6.43E-05,-0.011063195,-0.009796781,0.020612046,-0.006406966,-0.009539519,-0.011235566,-0.013347796,-0.000738623,-0.001758184,0.000169431,-0.004293689,-0.022151712,-0.007893308,-0.007766852,-0.003234851,-0.004896631,-0.02214325,-0.006939631,-0.003338694,-0.000207556,-0.008191227,-0.007623877,-0.001776488,-0.007366342,-0.002785387,0.000307013,-0.005021571,-0.006664764,-0.006302477,-0.001167698,-0.020099964,-0.012706306,-0.014228101,-0.008562704,-0.001457365
892,0.000611598,-0.004071819,0.007430375,0.00602727,-0.002393591,0.023693474,-0.006770338,-0.0133006,0.005156011,-0.015025914,0.003381542,-0.001772157,-0.005713033,-0.006937644,-0.010191617,-0.017652553,-0.007328368,0.004115008,-0.005069931,-0.00471471,-0.003127181,-0.009566917,-0.006169943,-0.002978094,-0.003219743,0.001745863,-0.011890615,-0.007839313,-0.001057551,-0.000591557,-0.010821782,-0.002175744,-0.001166665,-0.003825101,0.002514164,-0.000272597,-0.0119705,-0.005080677
891.2000122,-0.004705645,0.004282602,-0.004951198,-0.002232251,0.00207042,0.020529617,0.005380771,0.0034547,0.00751125,-0.004224787,0.01192803,-0.009275668,-0.004942752,0.00985632,0.008461548,0.003951659,-0.001162173,0.001583455,-0.001574736,-0.004980782,-0.00942038,-0.000228461,0.007400383,-0.001810104,0.003326656,0.003464459,0.007231819,-0.013718953,0.010062994,0.006027611,-0.000260594,0.00339263,0.006543029,0.009929596,-0.004179409,-0.000876339,0.000128879,-6.57E-05
890.4000244,0.000237465,0.003248851,-0.008242994,-0.004463233,-7.30E-05,0.010009826,-0.001972683,-0.003092124,-0.005797434,0.000841072,0.013743262,-0.003616854,-0.008868229,-0.000921391,0.000287326,-0.000324799,-0.008183606,0.000716182,0.008180398,-0.01299853,-0.010219733,-0.007472967,-0.006457671,0.005537894,-0.011362933,-0.008065416,-0.003026013,-0.002322584,-0.002816148,-0.006665682,-0.00558272,-0.005014714,0.006439134,-0.004489058,0.001292986,0.003018076,-0.002262638,-0.011164476
889.5999756,0.007990595,0.003551437,-0.000880576,0.000606129,0.013191854,0.019435395,0.002829056,0.007852218,-0.000379788,0.003245278,0.008536596,-0.004219557,-0.001529236,0.006798561,-0.000267992,0.006341543,-0.002991051,0.006749657,0.0089759,-0.007985013,0.003269038,0.006686115,0.014250911,0.009436177,0.001329647,0.008047551,-0.005392138,0.009295831,0.011269161,0.012549823,0.00504577,0.003625119,0.019268645,0.017551197,0.004189884,-0.002898645,0.014956627,0.002350817
888.7999878,-0.00761996,-0.008888215,0.008384718,0.006439266,0.001419393,0.02451418,0.002301812,-0.000697636,0.005665412,0.000377892,0.004520014,-0.001931245,-0.003283564,0.003538231,-0.002898491,-0.004030119,-0.008126852,0.002639026,-0.006447418,0.011059389,-0.00560342,0.004170334,-0.006175966,0.002624572,-0.004347921,-0.003603197,0.009024131,0.00447262,0.010996648,0.003536195,-0.001853873,-0.001524077,-0.000227996,0.0048916,-0.003958661,0.003052068,0.002196898,0.003725627
