wavelength (nm),DOMBlank1,DOMSTD15,DOM12053,DOM12081,DOM12086,DOM12096,DOM12114,DOM12147,DOM12201,DOMBlank2,DOM12267,DOM12310,DOM12316,DOM12336,DOM12343,DOM12979,DOM13057,DOM11873,DOM11903,DOMBlank3,DOM11908,DOM11914,DOM11916,DOM11946,DOM11992,DOM11997,DOM11999,DOM12006,DOM11962,DOM11928,DOMBlank4
900,-0.021843627,-0.021888426,-0.010549412,-0.030315371,-0.024091216,-0.022706699,-0.020105302,-0.045569789,-0.027741754,-0.034502737,-0.039435737,-0.027618665,-0.02999167,-0.042066947,-0.021700731,-0.037556775,-0.034207504,-0.031185012,-0.04508486,-0.030572731,-0.030660639,-0.032095425,-0.022451468,-0.032856114,-0.014967096,-0.043840151,-0.053457357,-0.02101317,-0.02700858,-0.041096222,-0.025226712
899.2000122,-0.016866276,-0.025057754,-0.021067623,-0.022022353,-0.022161847,-0.039000988,-0.033081703,-0.032095328,-0.05073474,-0.032661721,-0.02883932,-0.02673357,-0.030368092,-0.040406026,-0.032640208,-0.052846644,-0.048897844,-0.028594794,-0.0448559,-0.04396046,-0.038951766,-0.03857556,-0.038662195,-0.02711156,-0.027548652,-0.025327038,-0.033619072,-0.042109475,-0.050285064,-0.030906897,-0.036924034
898.4000244,-0.027903019,-0.020173362,-0.006968876,-0.029923584,-0.022889392,-0.034051295,-0.027806684,-0.031627603,-0.035591148,-0.04796806,-0.037789144,-0.027886609,-0.030571332,-0.042117648,-0.027065741,-0.044695485,-0.036824781,-0.022249507,-0.054589793,-0.033973981,-0.032535024,-0.041140445,-0.027151005,-0.021670738,-0.038599245,-0.036123231,-0.038503028,-0.028292364,-0.03599792,-0.024171827,-0.047547713
897.5999756,-0.0070675,-0.015853662,0.004664764,-0.008211903,0.008573769,-0.013105288,-0.018309169,-0.005646144,-0.012113965,-0.022055423,-0.020042917,-0.016178295,-0.01495124,-0.016974878,-0.032248974,-0.01740632,-0.01332455,-0.006761775,-0.026801184,-0.024998227,-0.010979458,-0.008772094,-0.018401381,3.16E-06,-0.028768584,-0.022609795,-0.019955209,-0.00325443,-0.022277296,-0.015455149,-0.009868853
896.7999878,-0.017587179,-0.014769429,-0.014016613,-0.022106253,-0.024325171,-0.007095208,-0.01154083,-0.031029733,-0.039678395,-0.026582291,-0.022213206,-0.036721081,-0.030409992,-0.050709818,-0.039512839,-0.039396588,-0.036317226,-0.046244711,-0.036787443,-0.032908287,-0.033281039,-0.017298821,-0.045119628,-0.029610084,-0.033163924,-0.036023222,-0.021392966,-0.032932475,-0.029689919,-0.025126167,-0.022287723
896,-0.013411652,-0.002324077,-0.016286867,-0.013429874,-0.011257208,-0.018848512,-0.02187735,-0.023983598,-0.01523841,-0.010210378,-0.031020334,-0.018726544,-0.017901327,-0.034696456,-0.025334023,-0.010243398,-0.033741381,-0.024371771,-0.031010838,-0.024001233,-0.014159855,-0.016894761,-0.018602658,-0.041804556,-0.023555946,-0.009392465,-0.020134762,-0.030397153,-0.009273489,-0.017340261,-0.028716881
895.2000122,-0.006045077,-0.000936941,0.011955064,-0.006676082,-0.009083049,-0.007187591,0.002155376,0.000418519,2.82E-05,-0.000354079,-0.008587372,-0.01916809,0.006572173,-0.006866408,-0.013391974,0.011003259,-0.007039383,-0.015997248,-0.012869481,-0.021899452,-0.018225377,-0.013463402,-0.005308731,-0.01505997,-0.003594314,-0.015323229,0.00275095,-0.008175223,0.000490065,-0.009917789,-0.013158783
894.4000244,-0.017874151,-0.009901241,-0.017992385,-0.025469577,-0.03052187,-0.020754917,-0.014639104,-0.02424459,-0.03221456,-0.029823782,-0.018336417,-0.029106416,-0.022971503,-0.029602008,-0.037250452,-0.028862089,-0.023967676,-0.024987914,-0.027027894,-0.019446943,-0.036268316,-0.042267185,-0.029392509,-0.03811055,-0.02989628,-0.007983488,-0.018972972,-0.023758624,-0.021670837,-0.030716693,-0.024245225
893.5999756,-0.00820789,-0.004948946,-0.012997224,-0.008026537,-0.003776141,-0.007841093,-0.007932097,-0.02389908,-0.023966255,-0.026550734,-0.013963023,-0.00740019,-0.016659509,-0.014740906,-0.0199065,-0.013052088,-0.023824595,-0.014439435,-0.002489552,-0.009568234,-0.020326197,-0.024880812,-0.016800486,-0.011400051,-0.023810774,-0.012482354,-0.014980801,-0.015544122,-0.029461836,-0.006626576,-0.01772373
892.7999878,-0.004677988,-0.006249815,-0.007619604,-0.00473796,-0.014846887,-0.010775978,-0.012465552,-0.018961772,-0.017927609,-0.023253469,-0.021173352,-0.01897773,-0.007939721,-0.024875775,-0.017277181,-0.024415918,-0.025818277,-0.026331766,-0.017557746,-0.016371932,-0.029361879,-0.005367184,-0.011557668,-0.016455632,-0.014668936,-0.015821315,-0.014204301,-0.010732038,-0.020033376,-0.008675379,-0.023854783
892,-0.002900754,0.002886747,-0.005734543,-0.012544426,0.006741664,-0.009552889,-0.017441532,-0.013927276,-0.003285825,-0.013415417,-0.00850737,-0.01045663,-0.007860414,-0.01479545,-0.004809545,-0.015426219,-0.013551128,-0.014796752,-0.016389031,-0.011852229,-0.010557093,-0.009495656,-0.007042897,0.002780336,-0.015914856,-0.019328808,-0.015893692,-0.015943052,-0.016640674,-0.015991509,-0.021328153
