wavelength (nm),DOMBlank1,DOMSTD16,DOM12101,DOM12117,DOM12126,DOM12146,DOM12172,DOM12206,DOM12210,DOMBlank2,DOM12253,DOM12259,DOM12260,DOM12262,DOM12290,DOM12291,DOM12306,DOM12207,DOM12470,DOMBlank3,DOM12534,DOM13288,DOM13296,DOM13315,DOM13432,DOMBlank4
900,-0.005247049,0.001502455,-0.000918033,-0.001638541,0.006103395,-0.019952487,-0.01428296,-0.007783125,0.007450915,-0.017107142,-0.001824179,-0.018371604,-0.004395741,-0.013349603,-0.011749747,-0.010249618,-0.012025394,-0.013725826,0.003775916,-0.013063141,-0.021788532,0.008612264,-0.014993505,-0.026659276,-0.009171512,-0.013426912
899.2000122,0.014792283,0.011991971,0.019566059,0.002312898,0.012348594,-0.000562707,-0.01201079,0.003274255,-0.00017542,-0.000795265,0.009153602,-0.002962308,0.001576933,0.00032569,-0.001683102,-0.006068409,0.001514404,-0.01159724,-0.007214935,0.001424119,-0.002102692,0.004571938,-0.002846186,-0.00413972,0.006179481,-0.01999783
898.4000244,0.00156797,-0.002315889,-0.011801546,-0.008639702,-0.008069583,-0.009700344,-0.019751785,-0.002632323,-0.024448758,-0.026781859,-0.02164744,-0.026792033,-0.026375372,-0.034450375,-0.020506784,-0.015313234,-0.020021461,-0.038718648,-0.011132636,-0.012893404,-0.01506107,0.001111048,-0.019996148,-0.034221765,-0.041497402,-0.026396031
897.5999756,-0.020458138,-0.017937098,-0.028797945,-0.023770388,-0.014881357,-0.039383065,-0.035935964,-0.042153031,-0.023477772,-0.02965554,-0.030388752,-0.044804629,-0.040532239,-0.036427543,-0.037646227,-0.030344918,-0.024175206,-0.040535826,-0.034316398,-0.050171014,-0.016187772,-0.033687968,-0.040964849,-0.031552315,-0.031893183,-0.045593932
896.7999878,-0.011348609,-0.009839752,-0.010673848,-0.024880566,-0.007791617,-0.031728871,-0.023900894,-0.035595488,-0.028217463,-0.027485091,-0.023197718,-0.021402873,-0.023877373,-0.039369069,-0.038630653,-0.028665898,-0.033635363,-0.023804942,-0.036787964,-0.022954365,-0.030699087,-0.031519476,-0.031963028,-0.042618476,-0.035199795,-0.047202662
896,-0.001742869,0.005475761,-0.010285265,-0.012227736,0.011595626,-0.019414119,-0.014111945,-0.023194185,-0.016299434,-0.01878069,-0.014020523,-0.0173034,-0.017853532,-0.01733076,-0.017495342,-0.026181029,-0.017829781,-0.027667487,-0.016941518,-0.019351635,-0.031256177,-0.011378416,-0.012615391,-0.019613741,-0.021185631,-0.020210082
895.2000122,0.006208706,0.001583221,-0.008554328,-0.024941577,0.008401371,0.001189535,-0.012765178,-0.025719088,-0.011942245,-0.008419483,-0.020082712,-0.028692069,-0.01934916,-0.017412387,-0.028198056,-0.007491897,-0.01924333,-0.034210425,-0.037450116,-0.019563708,-0.010297854,-0.008743933,-0.026410352,-0.006627901,-0.012805897,-0.004502431
894.4000244,0.012362044,-0.008503613,0.005632578,-0.008155001,-0.010816429,-0.003686315,-0.006871912,-0.012656376,-0.026571237,-0.004281949,-0.024457516,-0.017861532,-0.01304184,-0.021279205,-0.020055128,-0.011251104,-0.021415932,-0.019967964,-0.023125615,-0.013432132,-0.0165601,-0.002948579,-0.021181291,-0.029851526,-0.01209443,-0.013661113
893.5999756,0.008618734,-0.006078262,-0.011749496,-0.0137654,-0.003872567,-0.014983852,-0.019272601,-0.031280842,-0.022648716,-0.016190317,-0.009853721,-0.036394216,-0.025667997,-0.02176342,-0.027789446,-0.029153328,-0.016942414,-0.013911282,-0.015159673,-0.017487435,-0.020080637,-0.014050148,-0.016854374,-0.020952001,-0.020249959,-0.018217534
892.7999878,-0.002025815,0.007708273,-0.003821765,0.002132978,0.003558013,0.003460388,-0.00454552,-0.008984375,-0.011484363,-0.005596776,-0.033906661,-0.016967259,-0.016711222,-0.015323629,-0.011826081,-0.030173257,-0.015635025,-0.015877871,-0.005875894,-0.014396966,-0.01774371,-0.001980311,-0.007411896,-0.026366213,-0.016233757,-0.01753179
892,0.002913483,0.005580605,-0.005880951,-0.008573515,0.010799242,-0.006987828,-0.00799223,-0.022464791,-0.017112268,-0.01137423,-0.027443636,-0.022763938,-0.033713408,-0.024612864,-0.014850738,-0.017263748,-0.016579684,-0.017914295,-0.021186912,-0.022494679,-0.028602308,0.003890641,-0.029932719,-0.014784792,-0.01320303,-0.025606504
