wavelength (nm),DOMBlank1,DOMSTD17,DOM12005,DOM12055,DOM12100,DOM12209,DOM12305,DOM12329,DOM12344,DOMBlank2,DOM12439,DOM12440,DOM12445,DOM12505,DOM12509,DOM12541,DOM13042,DOM11951,DOM12452,DOMBlank4,DOM12472,DOM12481,DOM12482,DOM12484,DOMBlank5
900,0.002946242,0.005496733,0.017984152,0.004615575,0.01096617,-0.001269145,-0.017174279,-0.012285667,-0.010060416,-0.01391414,0.004312013,-0.015717968,-0.009270853,-0.016729554,-0.017912505,-0.022192545,-0.010947856,-0.015518297,-0.015438112,-0.016399052,-0.005590285,-0.012634953,-0.017196573,-0.011812277,-0.000303847
899.2000122,-0.000482919,-0.021541778,-0.003360373,-0.011628845,0.036348257,0.010813228,-0.000466577,-0.025435839,0.006304613,-0.01748281,-0.024264712,-0.001988608,-0.019137774,-0.014017666,-0.005894945,-0.019079262,-0.001014528,-0.018754164,-0.003263216,-0.013335947,-0.008142858,-0.013051234,-0.024750404,-0.015327128,-0.009759423
898.4000244,-0.013356883,-0.004047302,0.004027525,-0.011086916,0.031629458,-0.007817551,-0.012376499,-0.003492125,-0.007892138,0.002698332,-0.003126872,-0.011749445,-0.002014272,-0.010642123,0.001627364,-0.01317144,0.009055504,0.004178279,-0.008203826,-0.006381918,-0.008487063,-0.003593133,-0.025552079,1.79E-05,-0.007278987
897.5999756,-0.016694533,0.002270429,0.003062,-0.019274186,0.005256219,-0.016025489,-0.005686105,-0.029709889,-0.020388789,-0.032224171,-0.03837736,-0.020063037,-0.014196885,-0.016495807,-0.02998157,-0.015634375,-0.020943563,-0.014814764,-0.038046431,-0.025142094,-0.03757254,-0.034002706,-0.021384982,-0.015803643,-0.020430528
896.7999878,-0.015409481,-0.008564734,-0.016770253,-0.020758817,-0.008316848,-0.042635795,-0.024314843,-0.031944174,-0.031610854,-0.026903337,-0.020879079,-0.029182278,-0.039284609,-0.023718625,-0.02512211,-0.017914096,-0.022171538,-0.049204156,-0.01936629,-0.039433517,-0.027385991,-0.033109095,-0.038414184,-0.03052824,-0.021430617
896,0.028769542,0.021343302,0.012009082,0.003232917,0.043056805,0.020952947,0.019508762,0.006393895,0.018714964,0.004927466,0.013427754,0.010432964,0.011444109,0.000376986,-0.002329278,-0.002534592,0.008753947,0.00080689,0.006180085,-0.005912821,0.004608694,0.001225123,0.015828488,0.008259196,-0.002120467
895.2000122,-0.013330877,-0.01935317,-0.022770766,-0.041001122,-0.015244208,-0.033314701,-0.026329523,-0.029346008,-0.028469911,-0.040173024,-0.026273923,-0.036612358,-0.037960052,-0.024576809,-0.037984576,-0.021173107,-0.025711721,-0.031556405,-0.045656715,-0.030252697,-0.038566988,-0.022205139,-0.030334828,-0.02521533,-0.021524534
894.4000244,-0.004143309,-0.017947778,-0.013210715,-0.00587855,0.008596395,-0.016834155,-0.010057836,-0.012966121,-0.002952898,-0.03138734,-0.001187783,-0.018369621,-0.024651019,-0.022521913,-0.026464084,-0.02206861,-0.015325178,-0.026892241,-0.016284674,-0.022656824,-0.023241641,-0.009250784,-0.03121368,-0.018253922,-0.022414248
893.5999756,-0.002083732,0.003611911,0.000494056,-0.002700759,0.009998038,0.000674387,-0.017575096,-0.018142911,-0.01416667,-0.019350495,-0.017498722,-0.011238542,-0.008782342,-0.022118453,0.009640745,-0.00925418,0.003229709,-0.003361041,-0.004462976,-0.003958609,-0.011331561,0.002893834,-0.023614788,-0.009520323,-0.019407237
892.7999878,0.002996936,0.000892974,0.01457976,0.000797528,0.022852732,-0.005533855,-0.0003562,-0.003892938,-0.007704703,-0.016213758,-0.001111466,-0.003572286,-0.012294726,-0.012707763,-0.011319859,0.011220786,-0.005549446,-0.006537848,-0.021722006,-0.020810686,-0.018653547,-0.008006665,-0.024161886,-0.002900805,-0.001985619
