wavelength (nm),DOMBlank1,DOMSTD18,DOM11874,DOM11875,DOM11901,DOM11906,DOM11933,DOM11949,DOM11950,DOMBlank2,DOM11952,DOM11993,DOM12000,DOM12007,DOM12386,DOM12413,DOM12485,DOM11942,DOM11944,DOMBlank3,DOM11948,DOM12208,DOM12422,DOM12424,DOM12429,DOM12431,DOM12448,DOM12456,DOM12477,DOMBlank4,DOM12495,DOM12522,DOM12524,DOM12526,DOM12527,DOM12563,DOM12576,DOM13289,DOM13293,DOMBlank5,DOM13291,DOM13312,DOM13328,DOM13330,DOM13336,DOM12522 ,DOMBlank6
900,-0.011796003,-0.019255713,0.004520223,-0.024609244,-0.041985124,-0.024982734,0.002632359,-0.014621784,-0.02340233,-0.025604356,-0.01719722,-0.021533106,-0.020736359,-0.025138186,-0.01497725,-0.014223741,-0.028622763,-0.016952222,-0.000983019,-0.017954037,-0.004973975,-0.013366271,0.004973129,-0.005313897,-0.028028796,-0.012531651,-0.004513908,-0.011921845,-0.025523523,-0.013940613,-0.008738302,0.016968476,-0.01848479,-0.018464647,-0.028028116,-0.018522844,-0.013490405,-0.010370096,-0.01017857,-0.013908374,-0.007523954,-0.005882994,0.003861232,0.007775892,-0.024660802,-0.003086573,0.006538272
899.2000122,-0.003185927,0.000730936,0.015086378,0.002156599,-0.007905305,-0.003664497,0.002405502,0.018023113,-0.023224955,-0.011268558,-0.013106946,-0.000406944,0.008991413,-0.017550983,-0.003269845,0.003052641,0.015428386,-0.010800925,-0.002429424,-0.002839654,0.012811716,0.003761372,0.00386703,-0.003806677,-4.00E-05,-0.008187772,-0.009407765,-0.00131333,0.007717022,0.006340938,-0.005371889,0.015829992,0.009167746,0.004116262,0.003562764,-0.007504313,0.012576816,-0.011017921,-0.014611272,-0.007722861,-0.001119625,0.00738864,-0.000994797,-0.001496372,-0.010525056,0.017278001,0.003129863
898.4000244,-0.027471874,0.012761196,-0.021514433,0.000383126,-0.014508588,-0.011895804,-0.006800359,-0.003312389,-0.009967681,-0.019929593,-0.015281347,-0.003503321,-0.014458014,-0.023883009,0.003150592,-0.016963376,-0.006044771,0.004108501,-8.51E-05,-0.005223315,0.001809882,-0.017689833,-0.012696199,-0.002685272,-0.006520814,0.005381583,-0.009216726,-0.020088743,-0.003034342,-0.017938737,-0.000813145,0.011454369,-0.005958681,-0.016900487,-0.019203359,-0.010248506,-0.009706166,-0.00874363,-0.013245516,0.010396904,0.002360239,0.00185462,-0.007318594,-0.012462534,-0.002627126,0.000670057,-0.007901086
897.5999756,-0.010057836,-0.022247687,-0.017204337,-0.007273488,-0.007786379,-0.017853135,-0.005268071,-0.012777545,-0.023166012,-0.015543772,-0.029275838,-0.031417154,-0.035987243,-0.025796128,-0.029469239,-0.015457047,-0.01411816,-0.02122118,-0.022096854,-0.018503148,-0.023267994,-0.01093786,0.001880019,-0.02772563,-0.020505894,-0.010338249,-0.014586993,-0.021410363,-0.003507327,-0.005092753,-0.022208335,0.009843132,-0.022422558,-0.016708432,-0.005937692,-0.015837938,-0.01780737,-0.027151395,-0.012878779,-0.009728999,-0.009575527,-0.014880256,-0.019862831,-0.007426147,-0.028295176,0.001212974,-0.02831647
896.7999878,-0.020387555,-0.01309042,0.008090588,-0.005449199,0.012129623,-0.00326224,0.00550604,-0.012788504,-0.007234692,-0.022428114,-0.002213038,-0.01439351,-0.001604757,-0.022670977,-0.015494617,0.004318575,-0.017598564,0.00436135,-0.00199036,-0.008806238,-0.000456285,-0.001040043,-0.005806016,-0.012502375,-0.017980017,0.003658193,-0.010358166,-0.006371816,0.006294895,-0.018241711,-0.009681965,-0.003808833,-0.002844129,-0.010389912,-0.008553262,-0.01107339,-0.010419026,-0.015646661,-0.019644916,-0.016771896,-0.00304776,-0.016956406,-0.00178747,-0.005300906,-0.026215244,-0.015291193,0.004915921
896,-0.000987927,0.01014497,-0.003989338,-0.00294827,0.00333696,-0.003756124,0.004882096,-0.008127158,-0.006536471,-0.006772683,0.000678768,0.003820857,-0.020667598,-0.005122276,-0.008044326,-0.00346963,0.004448246,0.011848616,0.000395122,-0.007507621,0.015668107,-0.007410522,-0.00320854,-0.002642461,0.011243684,-0.008998067,-0.008876903,0.006957961,0.002490237,0.004915004,0.003301328,0.00636915,-0.001660203,-0.0197316,0.001388281,0.00958321,-0.005702609,-0.010512928,-0.001096594,-0.000260387,-0.002670556,0.006686798,0.002825643,-0.017609054,-0.012706908,0.009427289,0.007857437
895.2000122,0.002358573,-0.002978659,-0.0006996,-0.015341621,0.000683513,-0.00721132,0.010138876,-0.019905066,-0.026258523,-0.014230656,-0.005560384,0.002834502,-0.013521069,0.001735025,-0.009551724,-0.00426452,-0.016875291,-0.000454837,0.005969739,-0.017106544,-0.007445283,-0.004428181,-0.011600316,0.002893652,0.004943359,0.007231372,0.000135172,-0.001697232,-0.008617471,0.00300791,-0.00368344,0.003274359,-0.005641902,0.003929116,0.01018758,-0.004133361,-0.001935626,-0.014093853,-0.00013117,-0.002317434,0.002143904,0.010545642,-0.00392244,0.005437228,-0.004729971,-0.007786735,0.006666978
894.4000244,0.005796928,-0.00114658,0.009584454,-0.006361051,-0.001386721,-0.009065101,-0.000299242,-0.001048151,-0.001108006,0.003232995,-0.011037909,-0.012907174,0.001349251,0.004477773,-0.005125346,-0.005119564,0.000571342,-0.004058227,-0.001552038,-0.009363129,0.000983978,0.00531004,-0.001076505,0.002654991,0.003971434,0.000385017,-0.005614408,-0.012266543,0.002515414,-0.0099271,-0.000847611,0.007937232,0.005820565,-0.002788422,0.006718003,-0.00605539,-0.012204833,-0.00633748,-0.011459757,-0.002614981,-0.004888594,-0.012978833,-0.00385471,-0.004731661,-0.007607394,0.002676322,0.001697654
893.5999756,-0.003288805,0.002344389,0.007550864,-0.000565344,0.007483096,0.003211819,0.018848412,0.000628785,-0.008686442,0.004349348,0.004091307,0.010316471,-0.009327305,-0.001448542,-0.005031193,0.004036409,-0.010469922,-0.000251435,-0.006707996,0.009006292,-0.005183464,0.002999725,0.002766607,0.009264706,-0.026421996,-0.005610115,0.003938624,-0.008139047,0.00966589,-1.90E-05,0.006369859,-0.00486182,-0.001217831,0.001831795,0.01102588,-0.006094292,0.00457908,-0.004951658,-0.005548986,-0.001765815,-0.005514533,0.017833924,-0.008100581,-0.009400571,-0.006429769,0.012336104,0.000746701
892.7999878,0.014944651,0.005669057,0.000587802,0.006614303,0.000146384,0.008468014,0.008854671,-0.004536605,0.016878985,-0.002483736,-5.16E-05,-0.005648495,-0.003753866,-0.00174488,0.006478939,0.011866254,0.004585202,-0.006641107,0.003209707,-0.005834878,0.015893891,0.015142717,0.010871457,0.007672176,-0.000818261,0.008089191,0.007835613,-0.001025994,0.010958391,-0.005177939,0.015738292,0.01499982,0.009675603,0.004266184,0.017697742,0.010271463,0.009168539,0.002456003,-0.002805397,-0.002171366,0.004274576,0.015168933,0.010374767,-0.009158991,0.010029508,0.009472659,0.002717633
