Baseline 100%T,,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3,,Sample 4 Rack 1 Tube 4,,Sample 5 Rack 1 Tube 5,,Sample 6 Rack 1 Tube 6,,Sample 7 Rack 1 Tube 7,,Sample 8 Rack 1 Tube 8,,Sample 9 Rack 1 Tube 9,,Sample 10 Rack 1 Tube 10,,Sample 11 Rack 1 Tube 11,,Sample 12 Rack 1 Tube 12,,Sample 13 Rack 1 Tube 13,,Sample 14 Rack 1 Tube 14,,Sample 15 Rack 1 Tube 15,,Sample 16 Rack 1 Tube 16,,Sample 17 Rack 1 Tube 17,,Sample 18 Rack 1 Tube 18,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.662599504,900,-0.01400383003,900,-0.02629716694,900,-0.01869178377,900,-0.007864683867,900,-0.0254939869,900,-0.02758188732,900,-0.02358173952,900,-0.02082929015,900,-0.01261322852,900,-0.02492622659,900,-0.02952888049,900,-0.03795160726,900,-0.02380180545,900,-0.02864147164,900,-0.04227455705,900,-0.0121003706,900,-0.01947312988,900,-0.009859136306,
899.2000122,0.6568558216,899.2000122,-0.005166224204,899.2000122,0.009873982519,899.2000122,0.003368472215,899.2000122,0.007819667459,899.2000122,-0.00462927809,899.2000122,-0.004998080432,899.2000122,-0.009602772072,899.2000122,-0.001580771408,899.2000122,-0.003882778343,899.2000122,-0.009377417155,899.2000122,-0.003823715262,899.2000122,-0.008758191951,899.2000122,-0.0182806775,899.2000122,-0.0080033103,899.2000122,-0.001428882009,899.2000122,-0.009614773095,899.2000122,-0.007375657093,899.2000122,-0.007555653341,
898.4000244,0.660633862,898.4000244,0.0007490866701,898.4000244,0.006373404991,898.4000244,-0.01448400319,898.4000244,-0.008665939793,898.4000244,-0.0100076003,898.4000244,-0.01490992215,898.4000244,-0.01290591806,898.4000244,-0.02921306342,898.4000244,-1.056134624E-5,898.4000244,-0.02834901586,898.4000244,-0.005954595748,898.4000244,-0.01205253601,898.4000244,-0.01517407224,898.4000244,-0.0260575451,898.4000244,-0.001248960616,898.4000244,-0.002231271937,898.4000244,-0.007581397425,898.4000244,0.003219981445,
897.5999756,0.6804920435,897.5999756,-0.001047686441,897.5999756,-0.008941115811,897.5999756,-0.02442786098,897.5999756,-0.02261190861,897.5999756,-0.02421398647,897.5999756,-0.02116393484,897.5999756,-0.01877642609,897.5999756,-0.03409159556,897.5999756,-0.006520151161,897.5999756,-0.03240742162,897.5999756,-0.01723031141,897.5999756,-0.01189071592,897.5999756,-0.03773541749,897.5999756,-0.03279966488,897.5999756,-0.03387563303,897.5999756,-0.009651940316,897.5999756,-0.02122300304,897.5999756,-0.03265643865,
896.7999878,0.664845705,896.7999878,0.01614665799,896.7999878,-0.01510472409,896.7999878,-0.008773768321,896.7999878,-0.0005034490023,896.7999878,-0.002180740936,896.7999878,0.00178209506,896.7999878,-0.003101942362,896.7999878,0.005359778181,896.7999878,-0.003506196663,896.7999878,-0.01505901944,896.7999878,-0.003074183594,896.7999878,0.008556581102,896.7999878,-0.01122108661,896.7999878,-0.0103761116,896.7999878,-0.004870573524,896.7999878,0.002425259212,896.7999878,-0.005673176609,896.7999878,0.01746940054,
896,0.6736754775,896,-0.005465354305,896,0.003634176683,896,-0.009790401906,896,-0.02307652496,896,-0.01673931815,896,-0.005145708565,896,-0.003608228406,896,-0.008306639269,896,-0.01623884402,896,-0.01554991584,896,-0.008508487605,896,-0.0006451166701,896,-0.02213296853,896,-0.01102665346,896,-0.01472659223,896,-0.002761003561,896,0.001269359724,896,-0.01860265806,
895.2000122,0.6793650389,895.2000122,-0.005929827224,895.2000122,0.002334420802,895.2000122,-0.01458478998,895.2000122,-0.008017643355,895.2000122,-0.01168851927,895.2000122,-0.01097819582,895.2000122,-0.01910081506,895.2000122,-0.01754750311,895.2000122,0.002733861562,895.2000122,-0.02214925177,895.2000122,-0.008517371491,895.2000122,-0.02933739498,895.2000122,-0.01544011012,895.2000122,-0.01554207411,895.2000122,-0.01214890461,895.2000122,-0.01232859492,895.2000122,-0.02202471532,895.2000122,-0.009848001413,
894.4000244,0.6964885592,894.4000244,-0.02646803111,894.4000244,-0.02280220576,894.4000244,-0.01562843286,894.4000244,-0.03031334281,894.4000244,-0.02932916954,894.4000244,-0.02537758462,894.4000244,-0.01589828543,894.4000244,-0.03139707074,894.4000244,-0.01320483908,894.4000244,-0.03426525742,894.4000244,-0.03312852606,894.4000244,-0.03015982918,894.4000244,-0.03820642829,894.4000244,-0.03353300691,894.4000244,-0.02696610615,894.4000244,-0.01630506851,894.4000244,-0.04605188966,894.4000244,-0.01858465374,
893.5999756,0.6961599588,893.5999756,-0.005515197758,893.5999756,-0.02246075869,893.5999756,-0.01617744751,893.5999756,-0.02039926127,893.5999756,-0.01215514727,893.5999756,-0.01104876027,893.5999756,-0.02940808795,893.5999756,-0.02200965583,893.5999756,-0.02563925274,893.5999756,-0.04174648225,893.5999756,-0.01867690496,893.5999756,-0.02905301005,893.5999756,-0.02624804527,893.5999756,-0.03670286015,893.5999756,-0.01828440093,893.5999756,-0.006787923165,893.5999756,-0.02525577694,893.5999756,-0.03446491435,
892.7999878,0.6908349395,892.7999878,-0.006054726429,892.7999878,-0.0009593091672,892.7999878,-0.01108762156,892.7999878,-0.001167543116,892.7999878,-0.01600054093,892.7999878,-0.01133488957,892.7999878,-0.01146222744,892.7999878,-0.007312586997,892.7999878,-0.006404670421,892.7999878,-0.02537260205,892.7999878,-0.01754924282,892.7999878,-0.01274401322,892.7999878,-0.01571762003,892.7999878,-0.01864169352,892.7999878,-0.01475491747,892.7999878,-0.01973476633,892.7999878,-0.01624427922,892.7999878,-0.01091862563,
892,0.7011158466,892,-0.01823907904,892,0.0004244784068,892,-0.01950050332,892,-0.01641520485,892,-0.02282234654,892,-0.01774281636,892,-0.03200140968,892,-0.02018413506,892,-0.02182998881,892,-0.01988172345,892,-0.03076410666,892,-0.02163941227,892,-0.02599947155,892,-0.02030821331,892,-0.02224030904,892,-0.004049148411,892,-0.03484980762,892,-0.03349595889,
891.2000122,0.7102142572,891.2000122,-0.02330106683,891.2000122,-0.02488863282,891.2000122,-0.02955988422,891.2000122,-0.03807868063,891.2000122,-0.02898516506,891.2000122,-0.02150605805,891.2000122,-0.0262325462,891.2000122,-0.03090737946,891.2000122,-0.02863429859,891.2000122,-0.03674481809,891.2000122,-0.03022222593,891.2000122,-0.03587390482,891.2000122,-0.03204969317,891.2000122,-0.05106204003,891.2000122,-0.02651245333,891.2000122,-0.02635417879,891.2000122,-0.02503908612,891.2000122,-0.03698484972,
890.4000244,0.6910713315,890.4000244,-0.001974641578,890.4000244,-0.00315616955,890.4000244,-0.002837236505,890.4000244,-0.0053208014,890.4000244,-0.01791548729,890.4000244,-0.02687837183,890.4000244,-0.003428848227,890.4000244,-0.02309493534,890.4000244,-0.01042322163,890.4000244,-0.00811054185,890.4000244,-0.006052684039,890.4000244,-0.01724523865,890.4000244,-0.0078735305,890.4000244,-0.008356563747,890.4000244,-0.02026982233,890.4000244,-0.0008081324049,890.4000244,-0.01282178145,890.4000244,-0.01712202281,
889.5999756,0.689678669,889.5999756,0.00829133112,889.5999756,0.006985028274,889.5999756,0.0004511678417,889.5999756,-0.001881452627,889.5999756,0.006436506752,889.5999756,-0.009564284235,889.5999756,0.008298349567,889.5999756,-0.007219569292,889.5999756,-0.007681204472,889.5999756,-0.01561230049,889.5999756,-0.006483684294,889.5999756,-0.006731649395,889.5999756,-0.01278282329,889.5999756,-0.008757126518,889.5999756,-0.0125423139,889.5999756,-0.0005094475928,889.5999756,-0.008761794306,889.5999756,-0.007260607556,
888.7999878,0.7063647509,888.7999878,-0.007196196821,888.7999878,-0.01022650953,888.7999878,-0.02042934299,888.7999878,-0.01630696282,888.7999878,-0.009951792657,888.7999878,-0.01880414225,888.7999878,-0.02636840567,888.7999878,-0.02107462659,888.7999878,-0.01113349386,888.7999878,-0.02189157717,888.7999878,-0.01758379862,888.7999878,-0.02109672129,888.7999878,-0.0290634688,888.7999878,-0.0307402797,888.7999878,-0.02342126518,888.7999878,-0.03069300763,888.7999878,-0.02920880355,888.7999878,-0.009435628541,
888,0.7095389366,888,-0.02025292441,888,-0.01241393387,888,-0.01456711721,888,-0.01989596523,888,-0.02061087266,888,5.516650344E-5,888,-0.02152266167,888,-0.03791474551,888,-0.01431286708,888,-0.02624292858,888,-0.02766160853,888,-0.02084266394,888,-0.03410542756,888,-0.02976490557,888,-0.02441165969,888,-0.02926165797,888,-0.02354339138,888,-0.01869857684,
