wavelength (nm),DOMBlank1,DOMSTD19,DOM11943,DOM12001,DOM12473,DOM12598,DOM12603,DOM12614,DOM12693,DOMBlank2,DOM12695,DOM12763,DOM12851,DOM12903,DOM12909,DOM13428,DOM13430,DOMBlank3
900,-0.01400383,-0.026297167,-0.018691784,-0.007864684,-0.025493987,-0.027581887,-0.02358174,-0.02082929,-0.012613229,-0.024926227,-0.02952888,-0.037951607,-0.023801805,-0.028641472,-0.042274557,-0.012100371,-0.01947313,-0.009859136
899.2000122,-0.005166224,0.009873983,0.003368472,0.007819667,-0.004629278,-0.00499808,-0.009602772,-0.001580771,-0.003882778,-0.009377417,-0.003823715,-0.008758192,-0.018280678,-0.00800331,-0.001428882,-0.009614773,-0.007375657,-0.007555653
898.4000244,0.000749087,0.006373405,-0.014484003,-0.00866594,-0.0100076,-0.014909922,-0.012905918,-0.029213063,-1.06E-05,-0.028349016,-0.005954596,-0.012052536,-0.015174072,-0.026057545,-0.001248961,-0.002231272,-0.007581397,0.003219981
897.5999756,-0.001047686,-0.008941116,-0.024427861,-0.022611909,-0.024213986,-0.021163935,-0.018776426,-0.034091596,-0.006520151,-0.032407422,-0.017230311,-0.011890716,-0.037735417,-0.032799665,-0.033875633,-0.00965194,-0.021223003,-0.032656439
896.7999878,0.016146658,-0.015104724,-0.008773768,-0.000503449,-0.002180741,0.001782095,-0.003101942,0.005359778,-0.003506197,-0.015059019,-0.003074184,0.008556581,-0.011221087,-0.010376112,-0.004870574,0.002425259,-0.005673177,0.017469401
896,-0.005465354,0.003634177,-0.009790402,-0.023076525,-0.016739318,-0.005145709,-0.003608228,-0.008306639,-0.016238844,-0.015549916,-0.008508488,-0.000645117,-0.022132969,-0.011026653,-0.014726592,-0.002761004,0.00126936,-0.018602658
895.2000122,-0.005929827,0.002334421,-0.01458479,-0.008017643,-0.011688519,-0.010978196,-0.019100815,-0.017547503,0.002733862,-0.022149252,-0.008517371,-0.029337395,-0.01544011,-0.015542074,-0.012148905,-0.012328595,-0.022024715,-0.009848001
894.4000244,-0.026468031,-0.022802206,-0.015628433,-0.030313343,-0.02932917,-0.025377585,-0.015898285,-0.031397071,-0.013204839,-0.034265257,-0.033128526,-0.030159829,-0.038206428,-0.033533007,-0.026966106,-0.016305069,-0.04605189,-0.018584654
893.5999756,-0.005515198,-0.022460759,-0.016177448,-0.020399261,-0.012155147,-0.01104876,-0.029408088,-0.022009656,-0.025639253,-0.041746482,-0.018676905,-0.02905301,-0.026248045,-0.03670286,-0.018284401,-0.006787923,-0.025255777,-0.034464914
892.7999878,-0.006054726,-0.000959309,-0.011087622,-0.001167543,-0.016000541,-0.01133489,-0.011462227,-0.007312587,-0.00640467,-0.025372602,-0.017549243,-0.012744013,-0.01571762,-0.018641694,-0.014754917,-0.019734766,-0.016244279,-0.010918626
892,-0.018239079,0.000424478,-0.019500503,-0.016415205,-0.022822347,-0.017742816,-0.03200141,-0.020184135,-0.021829989,-0.019881723,-0.030764107,-0.021639412,-0.025999472,-0.020308213,-0.022240309,-0.004049148,-0.034849808,-0.033495959
891.2000122,-0.023301067,-0.024888633,-0.029559884,-0.038078681,-0.028985165,-0.021506058,-0.026232546,-0.030907379,-0.028634299,-0.036744818,-0.030222226,-0.035873905,-0.032049693,-0.05106204,-0.026512453,-0.026354179,-0.025039086,-0.03698485
890.4000244,-0.001974642,-0.00315617,-0.002837237,-0.005320801,-0.017915487,-0.026878372,-0.003428848,-0.023094935,-0.010423222,-0.008110542,-0.006052684,-0.017245239,-0.007873531,-0.008356564,-0.020269822,-0.000808132,-0.012821781,-0.017122023
889.5999756,0.008291331,0.006985028,0.000451168,-0.001881453,0.006436507,-0.009564284,0.00829835,-0.007219569,-0.007681204,-0.0156123,-0.006483684,-0.006731649,-0.012782823,-0.008757127,-0.012542314,-0.000509448,-0.008761794,-0.007260608
888.7999878,-0.007196197,-0.01022651,-0.020429343,-0.016306963,-0.009951793,-0.018804142,-0.026368406,-0.021074627,-0.011133494,-0.021891577,-0.017583799,-0.021096721,-0.029063469,-0.03074028,-0.023421265,-0.030693008,-0.029208804,-0.009435629
888,-0.020252924,-0.012413934,-0.014567117,-0.019895965,-0.020610873,5.52E-05,-0.021522662,-0.037914746,-0.014312867,-0.026242929,-0.027661609,-0.020842664,-0.034105428,-0.029764906,-0.02441166,-0.029261658,-0.023543391,-0.018698577
887.2000122,-0.008681417,-0.003105643,-0.007604393,-0.00901191,-0.016256299,-0.01131885,-0.013494821,-0.024452379,-0.021571632,-0.022432834,-0.014532772,-0.016495509,-0.020621933,-0.018258836,-0.01940199,-0.015143625,-0.008239082,-0.019525154
886.4000244,0.000389448,-0.005684521,-0.024278469,-0.012218223,-0.024342205,-0.021676403,-0.016743353,-0.027699934,-0.027414719,-0.023184026,-0.008164604,-0.018719951,-0.021106781,-0.018711817,-0.020111334,-0.02962024,-0.021767605,-0.018105073
885.5999756,-0.015101625,-0.003186904,-0.009206943,-0.008709785,-0.012807255,-0.025678098,-0.013591423,-0.025395457,-0.019791359,-0.03249789,-0.025708694,-0.012114418,-0.02685404,-0.019007513,-0.028133767,-0.022481505,-0.02536059,-0.02468252
884.7999878,-0.013229648,-0.01072724,-0.018696047,-0.015285545,-0.029135127,-0.02113918,-0.025699668,-0.02570728,-0.028406097,-0.03260779,-0.028359056,-0.030266797,-0.030194988,-0.029724441,-0.026384726,-0.022370733,-0.020677717,-0.033136055
884,-0.014418952,-0.013595587,-0.018906211,-0.030970056,-0.029603025,-0.018394087,-0.02735002,-0.024297757,-0.024293842,-0.028496383,-0.028635412,-0.020249169,-0.030533597,-0.022865277,-0.04151994,-0.018522844,-0.025127046,-0.021082468
