wavelength (nm),DOMBlank1,DOMSTD20,DOM11407,DOM11740,DOM11743,DOM11902,DOM11904,DOM11915,DOM11934,DOMBlank2,DOM11961,DOM12617,DOM12627,DOM13189,DOM13236,DOM13337,DOM13238,DOM11609,DOM11762,DOMBlank3,DOM12140,DOM12200,DOM12221,DOM12278,DOM12733,DOM12737,DOM12771,DOM12776,DOM12826,DOMBlank4,DOM12828,DOM12833,DOM12907,DOM13038,DOM13125,DOM13213,DOM13244,DOM13245,DOMBlank5
900,-0.030459322,-0.034673274,-0.023030179,-0.043213364,-0.026390769,-0.044842124,-0.026651436,-0.042459298,-0.037403807,-0.045949858,-0.048634507,-0.024996663,-0.048206832,-0.047560241,-0.016501589,-0.062774539,-0.046874117,-0.06186967,-0.048475571,-0.042966016,-0.058475144,-0.044428322,-0.027821982,-0.020884309,-0.023840964,-0.038171861,-0.02352608,-0.036012929,-0.036516368,-0.042193245,-0.0533375,-0.050488692,-0.039880302,-0.059124086,-0.034228846,-0.041883029,-0.041468181,-0.070771858,-0.03442565
899.2000122,0.0211388,-0.016210865,-0.044536691,-0.003504605,-0.017525872,-0.004006626,-0.017174976,-0.030905837,-0.026429353,-0.031211803,-0.040584818,-0.032640014,-0.004444784,-0.013528044,-0.004981293,-0.02633464,-0.040736955,-0.025089469,-0.029084725,-0.010647731,0.00707966,-0.032787472,-0.012148351,-0.050383225,-0.003690576,-0.05122716,-0.010582962,-0.040865008,-0.023758821,-0.034326304,-0.033406131,-0.012889132,-0.025024962,-0.011775244,-0.042920478,-0.020466385,-0.021618184,-0.029334057,0.000817782
898.4000244,-0.011258721,0.033298116,-0.007182601,0.026306907,-0.022182707,-0.000762604,-0.00813107,0.006401461,-0.023891144,-0.006302427,-0.003166295,-0.012897575,-0.005556551,-0.01651679,-0.001197799,0.009489618,0.004455438,-0.003906894,-0.001961448,-0.009872547,-0.020731967,-0.01603497,-0.01218646,-0.011827795,-0.006628513,-0.036275744,-0.02218679,-0.015561755,-0.011172499,-0.003275703,-0.012853296,0.00377213,-0.00669984,-0.001940677,-0.002003038,0.01391456,-0.015039567,-0.02032348,0.006292243
897.5999756,0.013765759,0.001750333,-0.026046721,0.005151034,-0.013292667,0.000987195,-0.00083459,-0.008699585,0.004602363,0.007286807,-0.012085366,-0.001750707,-0.024814267,-0.031850897,0.00349585,-0.004516726,0.006525054,-0.006271146,-0.015631977,0.002921693,-0.02579808,-0.005804791,-0.000607222,0.007890834,-0.004989534,-0.006323704,-0.008477314,-0.00097837,0.012324573,0.003161804,0.007789385,-0.014006087,0.014445798,-0.018024074,0.001269879,-0.003778861,-0.00942352,-0.02453894,-0.006430687
896.7999878,-0.002282724,0.005542404,-0.019770484,-0.006430891,-0.011348256,-0.01572476,-0.0229,-0.011459656,0.024479397,-0.010973198,-0.043420613,-0.006152843,0.004160167,-0.025307111,-0.00252754,-0.022421034,-0.000286308,0.007028408,-0.01874152,0.001914547,-0.035867374,-0.032252196,-0.041308109,-0.010190807,0.009133193,-0.037013613,-0.003599859,-0.009895573,-0.013161948,0.002638974,-0.014586642,-0.018220264,-0.022098232,0.002533822,-0.020875033,-0.022038987,0.003311292,-0.002516165,-0.015094824
896,0.011503939,-0.002477507,0.008161168,-0.014126579,0.009688732,-0.002506076,-0.001157371,-0.004330237,-0.011329291,-0.005676345,0.002055803,-0.024152631,-0.016297989,-0.034835711,-0.025619095,-0.011699607,-0.029136965,-0.020345563,-0.00931332,0.007638031,-0.031514712,-0.028192429,-0.024754707,0.001616529,-0.016073687,-0.009796122,-0.023875512,-0.009404979,-0.007260302,-0.009985187,-0.006939988,-0.015934419,-0.015948294,0.005711126,-0.013430124,0.005363841,-0.014106833,-0.003942347,-0.017620936
895.2000122,-0.011791015,0.005589599,0.019665016,-0.009209782,-0.004945516,-0.010003805,-0.009313523,-0.00760775,0.006052678,-0.020829637,0.005420925,0.006409894,-0.006866205,-0.000851538,-0.024904033,-0.021948725,-0.003537985,-0.001276165,-0.014732097,-0.010552444,0.018847195,-0.003190245,-0.009185554,0.003713904,0.000479388,-0.018574683,-0.008034923,-0.016137592,0.000582307,7.99E-05,0.002688329,-0.005675272,-0.006367939,0.002111466,-0.002256046,-0.01419438,-0.005581442,-0.010978347,-0.005016812
894.4000244,0.014489769,-0.0026509,0.011570556,-0.004365912,0.004015716,0.00057295,-0.00336248,-0.01692912,-0.012299507,-0.006086226,-0.007224457,0.005927566,-0.022893321,0.008248485,-0.025270527,-0.012730589,-0.005028685,-0.007577022,-0.016191663,-0.025776418,-0.008780516,-0.009581604,0.000760522,0.000324472,-0.026795635,-0.004396407,-0.012823943,0.003832269,0.005566814,-0.001476302,0.004836574,-0.008462134,-0.001246999,0.001282626,-0.019990165,-0.011441906,0.005552812,0.006792671,-0.007306173
893.5999756,-0.002004738,-0.029347751,-0.015891947,-0.017078621,-0.006415485,-0.030831482,-0.021019336,-0.019382631,-0.010421098,-0.027802072,-0.020326346,-0.002622546,-0.007177712,-0.006900244,-0.031360611,-0.014982302,-0.036867775,-0.026684448,-0.016782505,-0.012312089,-0.027765358,-0.010565884,-0.017403236,0.000513493,-0.021893891,-0.014165968,-0.005187608,-0.025556326,-0.013918,-0.014975999,-0.013191982,-0.02611132,-0.002096561,-0.003040459,-0.015914306,-0.018461719,-0.01768849,-0.011863412,-0.027607976
892.7999878,-0.013716496,0.014474273,-0.018140279,-0.014863647,-0.007974287,-0.011397882,0.009194291,0.000751758,-0.025995912,-0.0148707,-0.007807431,-0.012917326,-0.012167985,-0.014074106,-0.010649297,-0.015373603,-0.022356916,-0.010330716,-0.025464499,-0.011591091,-0.002344778,-0.0234168,-0.00959072,-0.01595518,-0.004033197,-0.006894639,-0.018285543,-0.002714856,-0.005602193,-0.000914985,-0.012415242,-0.007122711,-0.0212935,-0.014119012,-0.017447948,-0.017291559,-0.007390723,-0.013114983,0.000713563
