wavelength (nm),DOMBlank1,DOMSTD21,DOM12282,DOM12486,DOM12602,DOM12622,DOMBlank2,DOM12629,DOM12636,DOM12682,DOM12785,DOM12812,DOM12815,DOM12847,DOM12941,DOM13373,DOMBlank3,DOM13374,DOM12196,DOM12220,DOM12227,DOM12228,DOM12772,DOM12827,DOM12996,DOM13171,DOM13241,DOMBlank4
900,0.02485838,-0.013608432,0.008420004,-0.002391171,0.009665864,-0.019586226,-0.024835536,-0.006008621,-0.014780689,-0.006112925,-0.006628615,-0.018881625,-0.025914516,-0.048216101,-0.037684962,-0.018355723,-0.040688355,-0.014610521,-0.03133402,-0.010953056,-0.032614708,-0.001655819,-0.013629756,-0.018487619,-0.002119591,-0.000795162,-0.014569471,-0.034649707
899.2000122,0.017582007,0.010029905,0.006728203,0.01275741,-0.002655119,0.015255257,-0.003568641,-0.008272252,-0.008301967,-0.010903277,0.005482342,-0.015502959,0.000155706,-0.017557198,0.000920418,0.016666137,-0.015534231,-0.000627385,0.012726089,-0.014073203,-0.011025846,-0.008661676,0.007023226,-0.018902939,-0.012716009,0.010887648,0.015123204,0.005352702
898.4000244,0.002823324,0.00367584,-0.016531643,-0.019824747,-0.017824663,-0.029636538,-0.02137414,-0.011782298,-0.01136268,-0.019587958,-0.039269429,-0.020231824,-0.02447303,-0.019794526,-0.008652491,-0.022839881,-0.013375006,-0.017234042,-0.034162525,-0.039059196,-0.029470205,-0.014962745,-0.007872768,-0.036144428,-0.035204381,-0.017781729,-0.030004328,-0.029542666
897.5999756,0.011362791,0.003857315,-0.007118535,-0.01449562,0.01043824,-0.004576976,-0.007792583,-0.035615806,0.002566552,-0.030211361,-0.00457298,-0.010190757,-0.037784446,-0.017402938,-0.029610375,-0.024895428,-0.013636429,-0.016795207,-0.02049513,-0.010685164,-0.006567273,-0.030001285,-0.034534059,-0.012276508,-0.028404836,-0.005795697,-0.01485329,-0.007836313
896.7999878,-0.022876376,-0.031409014,-0.038860742,-0.043671448,-0.019928802,-0.0230562,-0.042479955,-0.017716475,-0.024983661,-0.016698269,-0.041606788,-0.033834349,-0.045364868,-0.045593094,-0.015727056,-0.02314898,-0.029429231,-0.054409869,-0.024656009,-0.030551692,-0.025198964,-0.020025268,-0.023589831,-0.032766346,-0.025139993,-0.020176822,-0.037562095,-0.031190746
896,-0.0168973,-0.025579317,-0.041751418,-0.01825824,-0.016074335,-0.042542674,-0.029849786,-0.045539066,-0.039098844,0.00031411,-0.029021826,-0.050730225,-0.03713635,-0.034585599,-0.034097243,-0.043540288,-0.030977335,-0.02461081,-0.025088882,-0.016105516,-0.042898294,-0.027250987,-0.04199617,-0.029852783,-0.012856664,-0.014835779,-0.05221276,-0.023084968
895.2000122,-0.033902545,-0.013179577,-0.034401353,-0.054494955,-0.03133614,-0.042366091,-0.058584634,-0.040225223,-0.043906182,-0.053207394,-0.045066755,-0.036077015,-0.043123648,-0.035055261,-0.047666442,-0.037381768,-0.026438901,-0.036302555,-0.049306951,-0.029158896,-0.055208914,-0.038832903,-0.039033923,-0.031118318,-0.039963651,-0.037941787,-0.045687288,-0.064015947
894.4000244,-0.016416052,-0.033077434,-0.037773054,-0.032892257,-0.02818583,-0.04300639,-0.008569099,-0.031079426,-0.025999764,-0.022329083,-0.047132533,-0.022415577,-0.030703621,-0.024535466,-0.040074039,-0.038251657,-0.014120114,-0.01105946,-0.028841162,-0.038369209,-0.034250617,-0.028121294,-0.024143424,-0.02457265,-0.023362741,-0.042135317,-0.037855722,-0.032843012
893.5999756,-0.010964162,-0.006481797,-0.033820029,-0.037046272,-0.032501973,-0.025541633,-0.032318909,-0.03956918,-0.011434594,-0.012107924,-0.023256805,-0.019444715,-0.027059903,-0.02962406,-0.031571813,-0.017205182,-0.029768821,-0.0209521,-0.001938873,-0.010823549,-0.002158487,-0.027310692,-0.035704799,-0.031222595,-0.042547133,-0.035651721,-0.026180541,-0.021918356
892.7999878,-0.0390944,-0.039099365,-0.030646503,-0.034523778,-0.033552177,-0.039205384,-0.047872506,-0.03435529,-0.041237541,-0.040852658,-0.017339913,-0.026595488,-0.049123671,-0.030047085,-0.050616894,-0.031702496,-0.033352483,-0.040746052,-0.046224792,-0.033447884,-0.02557175,-0.031842619,-0.028879965,-0.041623961,-0.031398561,-0.021049375,-0.039982256,-0.044176802
892,0.012158613,-0.016456231,-0.004277695,-0.018771715,-0.001176269,-0.016033823,-0.001288812,0.000449872,-0.034130365,0.004542274,-0.033315469,-0.01229981,-0.012238004,-0.03397695,-0.00967027,-0.019590234,-0.015753919,-0.024572944,-0.016541461,-0.033384606,-0.035661068,0.002007274,-0.009069309,-0.015370605,-0.017681532,-0.019795366,-0.01960226,-0.017784163
891.2000122,0.012533117,0.001798808,-0.011843261,-0.014359001,-0.01385457,-0.005859856,-0.00255801,-0.0239153,-0.016864933,-0.03795227,-0.026161579,-0.004931235,-0.01626353,-0.021507585,-0.024783608,-0.031978998,-0.00687818,-0.021193421,-0.023664309,-0.016855719,-0.016955011,-0.023021881,-0.025582684,-0.028649906,-0.027251374,-0.02238819,-0.02330612,-0.018938478
890.4000244,-0.022453042,-0.007963664,-0.032139611,-0.018590011,-0.033372715,-0.024084702,-0.045232818,-0.032471515,-0.048065726,-0.035661355,-0.02995282,-0.047604274,-0.035778847,-0.031624667,-0.035735361,-0.040336486,-0.043327987,-0.040225413,-0.026184147,-0.032874357,-0.034954958,-0.031019514,-0.017773081,-0.014649865,-0.049782157,-0.038357407,-0.040816136,-0.045631453
