wavelength (nm),DOMBlank1,DOMSTD22,DOM11960,DOM12423,DOM12425,DOM12449,DOM12455,DOM12469,DOM12483,DOMBlank2,DOM12497,DOM12535,DOM12577,DOM13165,DOM13287,DOM13311,DOM13435,DOM12152,DOM12717,DOMBlank3,DOM12718,DOM12838,DOM12840,DOM12982,DOM12995,DOM13009,DOM13016,DOM13020,DOM13021,DOMBlank4,DOM13022,DOM13043,DOM13052,DOM13056,DOM13060,DOM13061,DOM13067,DOM13145,DOM13146,DOM13452,DOMBlank5
900,0.014254388,-0.000174178,-0.002256715,-0.0322484,-0.03525126,-0.01928409,0.00572209,-0.034995083,-0.020341514,-0.032339428,-0.026054131,-0.020316564,-0.042273242,-0.017225534,-0.018806571,-0.027361395,-0.037045702,-0.029829679,-0.025864327,-0.032772012,-0.052080158,-0.032340005,-0.03138864,-0.025154945,-0.015932871,-0.032080419,-0.043351743,0.000385328,-0.025208442,-0.032279208,-0.024158312,-0.027351771,-0.039621357,-0.022298394,-0.000937302,-0.020264339,-0.024732651,-0.032250658,-0.015150824,-0.031243745,-0.050109528
899.2000122,-0.038877405,-0.027764678,-0.044076946,-0.058433015,-0.025982892,-0.058601689,-0.049193248,-0.039591253,-0.04250662,-0.059576266,-0.072738759,-0.033986621,-0.029323556,-0.033344623,-0.051181331,-0.042062107,-0.077310644,-0.054855984,-0.043027911,-0.044626724,-0.062786952,-0.05855066,-0.081228197,-0.071696445,-0.062652387,-0.04202785,-0.068704538,-0.066655435,-0.049729109,-0.066829205,-0.056321111,-0.063195005,-0.068392798,-0.032342553,-0.065961085,-0.061073713,-0.05755455,-0.067593165,-0.073219068,-0.087685339,-0.03247603
898.4000244,-0.014274945,0.019472944,-0.022484602,-0.021870654,-0.038882941,-0.030000366,-0.039811719,-0.039409071,-0.033273418,-0.026569728,-0.042392481,-0.02026839,-0.040937241,-0.040989347,-0.045317762,-0.049756672,-0.046059899,-0.043381963,-0.055370599,-0.043086845,-0.066526018,-0.039144453,-0.046055615,-0.054735918,-0.034055747,-0.030616397,-0.049801916,-0.051904291,-0.038422525,-0.041480888,-0.035783138,-0.02122749,-0.046156831,-0.062001113,-0.059021287,-0.04794414,-0.042582713,-0.04421683,-0.047048222,-0.05840043,-0.042848337
897.5999756,0.009483454,-0.022163372,-0.019052655,-0.029935086,0.005197166,-0.011918773,-0.0134498,-0.020787392,-0.018927177,-0.026991017,-0.026817245,-0.036314841,-0.031658892,-0.031427506,-0.034041911,-0.031667747,-0.025629638,-0.050361048,-0.052184846,-0.032660186,-0.019907637,-0.011704596,-0.050367825,-0.04105223,-0.034891993,-0.007791668,-0.029357186,-0.039829005,-0.041867513,-0.022644047,-0.0550339,-0.023094345,-0.046995446,-0.037677888,-0.042301565,-0.034269419,-0.012111599,-0.041878983,-0.021760613,-0.013620775,-0.033285309
896.7999878,-0.001668455,0.002728756,-0.000628419,-0.008414557,-0.010201073,-0.033137158,-0.040901572,-0.032638285,-0.032863557,-0.034122657,-0.026268659,-0.04546009,-0.037409887,-0.019565292,-0.027452044,-0.068855353,-0.040400553,-0.023739459,-0.038840953,-0.037417203,-0.050938204,-0.037679978,-0.031946242,-0.048895024,-0.040182747,-0.025617095,-0.037403569,-0.0387007,-0.043701082,-0.041747894,-0.03016297,-0.033106938,-0.041389354,-0.02500595,-0.061448462,-0.050401524,-0.03234034,-0.037949994,-0.05666972,-0.025901446,-0.035917472
896,-0.00615315,0.003354124,-0.011554745,-0.024669068,-0.012577974,-0.035752527,-0.007470219,-0.018080739,-0.000294689,-0.014382041,-0.019318953,-0.021117138,-0.029523464,-0.028977223,-0.0391111,-0.035389382,-0.020127397,-0.031644549,-0.014830875,-0.032880884,-0.028719449,-0.024428301,-0.027255217,-0.01454559,-0.026552828,0.003073001,-0.042357028,-0.038713012,-0.019922374,-0.021567395,-0.052069504,-0.023309015,-0.003190039,-0.042985804,-0.026374787,-0.019745156,-0.024383321,-0.037902124,-0.027495589,-0.040543795,-0.02039605
895.2000122,0.006781838,0.011448096,0.011201687,-0.020694649,-0.007142268,-0.024342157,-0.015384098,-0.019038484,0.001157427,-0.016511008,-0.014296386,-0.016280036,-0.027730681,-0.021069547,-0.028588105,-0.013600203,-0.007660757,-0.021612616,-0.052010078,-0.012538743,-0.030245116,-0.016424727,-0.013533866,-0.015749825,-0.014312766,-0.0086295,-0.016648896,-0.019453378,-0.014160806,-0.021852834,-0.017079268,-0.014068091,-0.011993214,-0.013280265,-0.019208115,-0.010262411,-0.038937662,-0.020292206,-0.005276817,-0.013815654,-0.018200852
894.4000244,0.024111664,0.001055384,0.016112406,0.013511383,-0.008052457,-0.011855352,-0.004708359,-0.013816006,0.002310166,-0.007840381,-0.002230139,-0.019361686,-0.008705116,-0.007647989,-0.019817822,-0.008426338,-0.009588137,-0.01537925,-0.020685961,-0.018829476,-0.027546175,0.002645276,-0.017222349,-0.023673182,-0.013027772,0.007966153,-0.019540446,-0.0166896,-0.026862361,-0.013873375,-0.01301702,-0.008819276,-0.021298775,-0.012601511,-0.009733453,-0.009494238,-0.010263422,-0.007824517,-0.018207705,-0.018980009,-0.031833574
893.5999756,-0.012991998,0.013736315,0.001994817,-0.013568341,0.005764531,-0.003963483,-0.023482185,-0.032315832,-0.023041274,-0.022362424,-0.037694834,-0.048567802,-0.035798062,-0.017227475,-0.009165176,-0.006473279,-0.041194081,-0.024214037,-0.040572558,-0.04611358,-0.031185446,-0.011317993,-0.025815936,-0.027148282,-0.02103073,-0.031764865,-0.028207419,-0.023189621,-0.033875823,-0.044157531,-0.022850884,-0.043195646,-0.038252555,-0.028257631,-0.009458931,-0.022210401,-0.031594437,-0.031821065,-0.032912031,-0.055235632,-0.041755654
892.7999878,-0.029184746,-0.035247441,-0.01774063,-0.035557136,-0.03529479,-0.046787802,-0.04265907,-0.027806539,-0.028979693,-0.031445324,-0.043795314,-0.043593112,-0.034305159,-0.068169653,-0.040577181,-0.052654393,-0.036651332,-0.06677936,-0.04317268,-0.049811147,-0.039736178,-0.03087189,-0.058111496,-0.050244253,-0.035195358,-0.044734672,-0.029084628,-0.059469055,-0.051413741,-0.039172698,-0.042597592,-0.050145186,-0.037567414,-0.047582097,-0.041181084,-0.04244446,-0.0742089,-0.041157067,-0.066535525,-0.053713396,-0.058444418
