wavelength (nm),DOMBlank1,DOMSTD23,DOM12446,DOM12471,DOM12478,DOM12479,DOM12523,DOM12528,DOM12529,DOMBlank2,DOM12628,DOM13290,DOM13292,DOM13294,DOM13314,DOM13317,DOM13398,DOM12274,DOM12703,DOMBlank3,DOM12705,DOM12722,DOM12723,DOM13001,DOM13008,DOM13049,DOM13053,DOM13064,DOM13068,DOMBlank4,DOM13072,DOM13450,DOM13457,DOM13618,DOM13619,DOMBlank5
900,-0.000846112,-0.025943926,0.00949655,0.002327394,-0.014447046,-0.006004842,-0.004264314,0.009590911,-0.004111104,-0.021679407,-0.041284714,-0.032922253,-0.020990873,-0.020727228,-0.036634058,-0.030885682,-0.027203236,-0.037027303,-0.007090574,-0.011989991,-0.038651966,-0.01635503,-0.036515843,-0.018955626,0.007102657,-0.031894721,-0.037165247,-0.007485486,-0.003010486,-0.015258254,-0.029628655,0.002099526,-0.005215948,-0.032133311,0.001764187,-0.003012851
899.2000122,-0.002505304,0.00319552,0.00501424,-0.022823082,-0.014765376,-0.007729218,-0.005350207,-0.012602315,-0.018021094,-0.012043573,-0.01702043,0.00044583,-0.022186985,-0.022620212,-0.019912582,-0.024079511,-0.044029839,-0.053910349,-0.029818514,-0.04532028,-0.016466049,-0.036529314,-0.027593741,-0.01546709,-0.008643051,-0.028911546,-0.007912474,-0.041354995,-0.038952902,-0.011012369,-0.02692645,-0.009390185,-0.016907409,-0.007839414,0.004891913,-0.030918758
898.4000244,0.009268355,0.010892293,-0.001459584,-0.000140538,-0.015741237,-0.007865905,0.012081339,-0.040379278,0.004757975,0.002600795,0.004735652,-0.025095332,-0.005215386,-0.016166624,-0.035261855,0.011981141,-0.004842723,-0.005881615,-0.015415377,0.027823534,-0.012006812,-0.005212777,0.014215469,0.020702364,-0.023427445,-0.019125141,0.011651115,0.001331932,0.015869189,-0.022994384,0.000208199,-0.017284494,-0.001725337,0.019935355,0.010954595,0.010448926
897.5999756,-0.015590374,-0.015824411,-0.017592648,-0.01926329,-0.049461514,-0.028191749,-0.028737186,-0.038687296,-0.025398923,-0.026823329,-0.029976545,-0.03794767,-0.004349305,-0.024985665,-0.011648855,-0.027438,-0.027890591,-0.039524987,-0.028234733,-0.021114623,-0.028099021,-0.019793486,-0.039311711,0.00901829,-0.020866744,-0.030467818,-0.028270341,-0.008748449,-0.0475027,-0.02553807,-0.038080625,-0.017787792,-0.025434617,-0.035561193,-0.061410978,-0.005737916
896.7999878,-0.030139254,-0.015856707,-0.029471222,-0.014182905,-0.010697843,-0.019061029,-0.003213576,-0.01747923,-0.03199612,-0.02091337,-0.01323025,-0.012689814,-0.028929468,-0.032367829,-0.039952841,-0.031862684,-0.015951686,-0.029712789,-0.021050509,-0.032531902,-0.035256032,-0.014489511,-0.036496993,-0.046882343,-0.036020409,-0.035579938,-0.009962368,-0.03901457,-0.028278297,-0.006200873,-0.029411329,-0.022289641,-0.008431669,-0.041892946,-0.019530945,-0.023384916
896,-0.015956877,-0.003185568,-0.011893386,-0.022741288,0.006352154,-0.029450323,-0.017211601,-0.021463288,-0.028978918,-0.01541148,-0.024261432,-0.027399553,-0.024655031,-0.035511673,-0.014828624,-0.024666574,-0.020775104,-0.010636466,-0.030089695,0.000443316,-0.019996593,-0.013698487,-0.034436364,-0.023328593,-0.014957793,-0.01308645,-0.004273952,-0.00294971,-0.023915544,-0.029102882,-0.038296927,-0.013362858,-0.020197332,-0.008721658,-0.032371771,-0.036891792
895.2000122,0.012172136,-0.010049185,-0.025341738,-0.009715684,-0.02009853,-0.013049928,-0.001801752,-0.026155632,-0.033355791,-0.019893246,-0.023209056,-0.002683934,-0.041176282,-0.009714418,-0.032580893,-0.008977935,-0.035201181,-0.017261906,0.000871652,-0.020785566,-0.018228604,-0.021146923,-0.0300481,-0.02757868,-0.020859934,-0.029340783,-0.021397747,-0.031171231,-0.013916847,-0.024358066,-0.020966357,-0.01711187,-0.010789461,-0.024423553,-0.03015814,-0.005581442
894.4000244,-0.017353494,-0.006812846,-0.021623503,-0.022327902,-0.027681816,-0.018391555,-0.020490585,-0.030376587,-0.023697693,-0.038431574,-0.031160679,-0.052084841,-0.019469813,-0.037397157,-0.035087876,-0.010789967,-0.025667217,-0.010382885,-0.023814891,-0.016203983,-0.030531183,-0.022523092,-0.023935683,-0.030784799,-0.026160263,-0.019342277,-0.010115045,-0.018880585,-0.016809102,-0.018210683,-0.012920994,-0.029991331,-0.021649066,-0.021943903,-0.031798787,-0.005101912
893.5999756,-0.032934733,-0.021390749,-0.032145139,-0.033653904,-0.03074332,-0.018949926,-0.020324962,-0.028135512,-0.040997118,-0.03570351,-0.041226052,-0.038860504,-0.029454436,-0.054045912,-0.039564077,-0.052984923,-0.049878493,-0.046873976,-0.033568613,-0.038431432,-0.042795986,-0.043124679,-0.040626783,-0.036013976,-0.031870283,-0.050299913,-0.054620612,-0.043935567,-0.040080223,-0.042931825,-0.034317214,-0.030329131,-0.041218847,-0.041097164,-0.059140038,-0.060106914
892.7999878,0.002453191,-0.022921609,-0.031428181,-0.032311603,-0.024211785,-0.025247423,-0.00349649,-0.029911503,-0.035578411,-0.034349885,-0.024230929,-0.031940468,-0.030593961,-0.02335077,-0.037516318,-0.042673524,-0.023598166,-0.017932676,-0.02299797,-0.037020076,-0.032827314,-0.019700728,-0.033931416,-0.026262909,-0.031152004,-0.022916798,-0.040847383,-0.030916106,-0.027493741,-0.033390936,-0.03111673,-0.031820972,-0.032833893,-0.02910845,-0.031287923,-0.037045892
