wavelength (nm),DOMBlank1,DOMSTD24,DOM12226,DOM12229,DOM12430,DOM12454,DOM12480,DOM12832,DOM13036,DOMBlank2,DOM13039,DOM13121,DOM13155,DOM13242,DOM13297,DOM13329,DOM13368,DOM12855,DOM12857,DOMBlank3,DOM12868,DOM12912,DOM12913,DOM12930,DOM12939,DOM12942,DOM12963,DOM12965,DOM13092,DOMBlank4,DOM13093,DOM13095,DOM13096,DOM13097,DOM13110,DOM13139,DOM13142,DOM13210,DOM13665,DOMBlank5
900,-0.016251711,-0.011926933,-0.038390774,-0.006346,-0.008414709,-0.038136203,-0.018365998,-0.057119012,-0.037112631,-0.051508382,-0.012977979,-0.007032556,-0.028208828,-0.042754136,-0.045946367,-0.05664609,-0.03807408,-0.033879846,-0.031344041,-0.021803254,-0.024463831,-0.044085458,-0.038664848,-0.023249887,-0.04743921,-0.052635361,-0.030351967,-0.04833914,-0.056499701,-0.035245672,-0.033323526,-0.022954119,-0.039593853,-0.049136568,-0.044332732,-0.033386476,-0.038585559,-0.031234687,-0.02944389,-0.024454337
899.2000122,-0.011516429,-0.015691105,-0.020658614,-0.021582371,-0.04152488,-0.012868376,-0.020443123,-0.021976732,-0.017768212,-0.059955191,-0.03929038,-0.045693394,-0.022630287,-0.054859769,-0.063555315,-0.06682881,-0.04010142,-0.030600861,-0.054399457,-0.040010352,-0.027363146,-0.047991842,-0.015451302,-0.041512694,-0.056260534,-0.041097354,-0.06871669,-0.037257388,-0.060607694,-0.050099518,-0.052119281,-0.046450287,-0.04310827,-0.039393138,-0.056452695,-0.030982926,-0.044028766,-0.063290559,-0.037378062,-0.032726787
898.4000244,-0.000200932,-0.005272674,0.00400976,-0.00358769,0.013540171,-0.006353552,-0.033872806,-0.001213546,-0.024119377,-0.014607868,0.008015327,-0.016503932,-0.017092709,-0.022611417,-0.030642113,-0.017329765,-0.007733795,-0.017987516,-0.004567755,-0.010074225,-0.035411622,-0.015495566,-0.021512905,-0.011064659,-0.023776466,-0.042593177,-0.000863474,-0.000513378,-0.029099977,0.001300723,-0.018243447,-0.01252144,-0.015669232,-0.012633294,-0.001727503,0.000523186,-0.035829812,-0.014944637,-0.063459553,-0.007992891
897.5999756,-0.023179805,-0.036522888,-0.050520398,-0.037932679,-0.031281997,-0.025754219,-0.045904353,-0.064931117,-0.048112907,-0.048954926,-0.030736422,-0.024018673,-0.024585713,-0.080667809,-0.047231361,-0.060739517,-0.072660193,-0.036338605,-0.04277328,-0.050377414,-0.050011814,-0.034245353,-0.043470643,-0.034919176,-0.033413466,-0.052665949,-0.055127937,-0.055501103,-0.057188638,-0.058153704,-0.0490532,-0.05823566,-0.059021648,-0.047965743,-0.055739459,-0.065729082,-0.036443871,-0.062770419,-0.046133649,-0.060667984
896.7999878,-0.003016758,-0.017125258,0.006659802,-0.011110533,-0.04993226,-0.0326222,-0.042283434,-0.03959617,-0.028698806,-0.03350449,-0.039278083,-0.027537039,-0.026911998,-0.032541942,-0.024619224,-0.046972446,-0.055073716,-0.03552236,-0.028041171,-0.026776845,-0.051523142,-0.033318587,-0.043296967,-0.032986656,-0.037596565,-0.02488658,-0.022805449,-0.025597328,-0.04199852,-0.019369163,-0.012625449,-0.053275038,-0.047845148,-0.053913593,-0.008799643,-0.044408269,-0.052881114,-0.027507495,-0.060361635,-0.026773244
896,-0.00967827,7.39E-05,-0.020240076,-0.012221646,0.004224307,-0.019630319,-0.004820861,0.001697446,-0.025553154,-0.01817007,-0.037424233,-0.033754267,-0.006506993,-0.007932147,-0.019889932,-0.022146152,-0.039578255,-0.007958835,-0.015911961,-0.025629101,-0.029221727,-0.01953426,-0.014787394,-0.016412213,-0.030100804,-0.012574454,-0.019781614,-0.02566136,0.000849943,-0.030880764,-0.027777936,-0.012585518,-0.012570027,-0.004324907,-0.034057278,-0.025000427,-0.040370267,-0.01587243,-0.021103378,-0.009553193
895.2000122,-0.025946999,-0.009280482,-0.035351396,-0.02280589,-0.036668174,-0.046507038,-0.026564371,-0.01019455,-0.009636953,-0.029476011,-0.043867763,-0.033243876,-0.013012448,-0.04475807,-0.042050783,-0.01715905,-0.033575181,-0.04257952,-0.033186994,-0.03732362,-0.045449875,-0.052132919,-0.049534783,-0.040924046,-0.050098039,-0.030584456,-0.037537072,-0.038562015,-0.036858264,-0.035788238,-0.038550548,-0.024701545,-0.037616365,-0.048670422,-0.045462046,-0.051783636,-0.033697024,-0.047293909,-0.049011305,-0.044246007
894.4000244,-0.014429919,0.002676504,-0.028539144,-0.011444024,-0.033383984,-0.027250111,-0.018126573,-0.020101694,-0.012407745,-0.013396692,-0.037277203,-0.026570262,-0.032160427,-0.014511743,-0.048086535,-0.028833603,-0.049836904,-0.025770759,-0.043213878,-0.035240851,-0.030703187,-0.021302916,-0.01549127,-0.045087989,-0.028014574,-0.029629525,-0.03071925,-0.015599315,-0.025447704,-0.023314903,-0.024360953,-0.039793957,-0.019359408,-0.033198457,-0.003579629,-0.040849596,-0.015783824,-0.035625249,-0.040479939,-0.029336959
893.5999756,0.001860261,-0.004906101,-0.026529597,-0.028890233,-0.019248184,-0.00686865,-0.018810092,-0.011633634,-0.007834991,-0.003210493,-0.018851884,-0.009007144,-0.024177557,-0.015586779,-0.044671942,-0.016616011,-0.032282572,-0.002318927,-0.010180997,-0.025344035,-0.03019755,-0.020390864,-0.016255651,-0.008133255,-0.019969745,-0.008077308,-0.030230582,-0.021840328,-0.031188095,-0.016682675,-0.019320637,-0.038775802,-0.031018695,-0.030885778,-0.000687298,-0.022630632,-0.031744655,-0.023572227,-0.02378916,-0.015985271
892.7999878,-0.012015071,-0.00020916,-0.006336868,-0.003601194,0.000980787,0.003905607,-0.026592858,-0.032123696,-0.024803413,-0.027105628,-0.029478285,-0.031442724,-0.033486709,-0.021009618,-0.015817571,-0.02022293,-0.024996761,-0.024957903,-0.001879133,-0.031536136,-0.025026819,-0.031884186,-0.017141433,-0.031459674,-0.034771297,-0.027334366,-0.024207279,-0.034226503,-0.031002643,-0.051821683,-0.028102709,-0.015246058,-0.038961422,-0.021327512,-0.043183085,-0.040554214,-0.030081965,-0.019847598,-0.000186132,-0.016193558
892,-0.021636998,-0.01696462,-0.02667773,-0.012936171,-0.032006603,-0.034311425,-0.035883009,-0.039465427,-0.042632274,-0.024779061,-0.02342573,-0.026322166,-0.025375728,-0.04287681,-0.032239363,-0.039770573,-0.042105246,-0.047934588,-0.044002239,-0.039609071,-0.048040513,-0.052917369,-0.038071614,-0.032493711,-0.041581009,-0.044623081,-0.046827175,-0.043661475,-0.037923429,-0.031796429,-0.027234405,-0.030554395,-0.056208637,-0.039234757,-0.042510424,-0.044813875,-0.053192783,-0.037184589,-0.028454589,-0.04227329
891.2000122,-0.017712647,-0.015024713,-0.033068176,-0.023781808,-0.041503143,-0.02300062,-0.03774529,-0.033138935,-0.033704162,-0.046427634,-0.033894595,-0.047768071,-0.047401473,-0.027260661,-0.033621658,-0.040494937,-0.03492276,-0.026059691,-0.026800258,-0.03596985,-0.037580851,-0.057560898,-0.047751192,-0.024593491,-0.053464223,-0.039342873,-0.026035458,-0.036478955,-0.033065822,-0.039575845,-0.05217135,-0.053052049,-0.053722732,-0.04510054,-0.038194668,-0.037839208,-0.048531089,-0.041651007,-0.044284906,-0.059715845
890.4000244,-0.007976931,-0.023902902,-0.029361203,-0.032639537,-0.039074145,-0.032056138,-0.034891993,-0.034224588,-0.03944505,-0.030025829,-0.033410016,-0.04211032,-0.034369402,-0.038536195,-0.054157119,-0.035790671,-0.051774446,-0.041069802,-0.039093595,-0.041800607,-0.039196964,-0.042448312,-0.019955108,-0.039014805,-0.050075714,-0.041261364,-0.052446868,-0.029710613,-0.047319397,-0.04622642,-0.057134081,-0.046143517,-0.037323762,-0.040710133,-0.044929434,-0.050630257,-0.046941962,-0.047718674,-0.038815431,-0.04741554
889.5999756,-0.001762257,-0.006670627,-0.018955626,-0.013229597,-0.017615069,-0.022987412,-0.016900091,-0.011818424,-0.030678874,-0.026918812,-0.013134171,-0.042529859,-0.01603901,-0.021350039,-0.031398129,-0.02042865,-0.034223728,-0.02249817,-0.027677396,-0.023859782,-0.032481078,-0.018623441,-0.04149599,-0.035807595,-0.023932792,-0.029068602,-0.02843878,-0.034554571,-0.032208212,-0.028181657,-0.037313882,-0.041417684,-0.026263494,-0.037411314,-0.028936541,-0.041230947,-0.021281719,-0.030908054,-0.030745827,-0.02951674
888.7999878,0.012711694,-0.016635941,-0.016084164,-0.013799907,-0.009068092,-0.03639755,-0.020773919,-0.012553531,-0.020956144,-0.014174687,-0.021488518,-0.023087669,-0.013524431,-0.026969414,-0.039481074,-0.014425112,-0.038978837,-0.025481001,-0.019200487,-0.034772255,-0.040264674,-0.01423767,-0.02703052,-0.025092449,-0.039260726,-0.03671499,-0.01675212,-0.020562781,-0.024555575,-0.033217546,-0.031189831,-0.045841981,-0.026979096,-0.030630775,-0.035218511,-0.034182813,-0.021605819,-0.03708316,-0.027253807,-0.024967972
888,-0.037386563,-0.034542188,-0.025141167,-0.028850559,-0.027697409,-0.035089642,-0.023676367,-0.03153763,-0.040729035,-0.027428424,-0.028883258,-0.033295091,-0.043467503,-0.041521307,-0.038188174,-0.039235659,-0.025286207,-0.043069359,-0.043017596,-0.031279732,-0.02823454,-0.048943639,-0.055917013,-0.058125809,-0.029869797,-0.033880517,-0.041037913,-0.040591232,-0.052403875,-0.052946791,-0.034970816,-0.038111452,-0.040372014,-0.03587443,-0.030757982,-0.041576117,-0.052279089,-0.045645297,-0.034662854,-0.054723229
887.2000122,-0.004030375,-0.009018046,-0.009145913,-0.00953653,-0.006157743,-0.017366776,-0.019969745,-0.018942988,-0.016084114,-0.01887409,-0.019171758,-0.029266691,-0.021401148,-0.019413179,-0.018769385,-0.019954169,-0.021669358,-0.031266004,-0.035879675,-0.024202628,-0.023712058,-0.017346282,-0.020122552,-0.016139239,-0.028078105,-0.033233996,-0.032603804,-0.039305042,-0.023456141,-0.013416471,-0.018052284,-0.013504608,-0.020463619,-0.018548639,-0.027801538,-0.024027981,-0.025915297,-0.019376986,-0.012683679,-0.026245121
886.4000244,0.004088145,0.00143952,-0.00327673,-0.016474374,-0.010287489,0.002929042,-0.014150083,-0.00513875,-0.010778957,-0.015861498,-0.016055226,-0.011717699,-0.010789058,-0.005806476,-0.004370729,-0.00683787,-0.023673672,-0.021519607,-0.013183645,-0.022441389,-0.018197972,-0.022628272,-0.008457412,-0.022175031,-0.024945144,-0.020993192,-0.014407434,-0.013335696,-0.014955842,-0.020273134,-0.004939578,-0.007957818,-0.020603813,-0.03140622,-0.015133325,-0.015141674,-0.022463907,-0.023208024,-0.021438945,-0.003779117
