wavelength (nm),DOMBlank1,DOMSTD26,DOM12168,DOM12277,DOM12700,DOM12719,DOM12727,DOM12735,DOM12765,DOMBlank2,DOM13017,DOM13156,DOM13157,DOM13196,DOM13458,DOM13466,DOM13129,DOM13257,DOMBlank3,DOM13258,DOM13259,DOM13309,DOM13369,DOM13395,DOM13473,DOM13475,DOM13514,DOM13515,DOMBlank4,DOM13521,DOM13525,DOM13529,DOM13594,DOM13595,DOM13601,DOMBlank5
900,-0.045729134,-0.021535372,-0.05865968,-0.03434338,-0.053637356,-0.05270502,-0.06411624,-0.035327248,-0.053292625,-0.075533755,-0.050287921,-0.047534395,-0.043204974,-0.073871084,-0.056692574,-0.037307706,-0.065918207,-0.036537834,-0.075776197,-0.056662221,-0.057229616,-0.053852316,-0.054578517,-0.054650787,-0.065202184,-0.072510958,-0.058251642,-0.064578421,-0.074024349,-0.057209149,-0.06754858,-0.06047358,-0.065918565,-0.051633574,-0.05649161,-0.057410825
899.2000122,-0.015580535,-0.024997054,-0.002306259,-0.027006634,0.005333676,-0.042102519,-0.033663295,-0.022930499,-0.055530764,-0.053203914,-0.026128041,-0.01691483,0.012898399,-0.036753763,-0.031495113,-0.033193663,-0.026510065,-0.038440056,-0.045657415,-0.023907412,-0.012283704,-0.025878325,-0.035164371,-0.031448118,-0.019907735,-0.01752995,0.000231508,-0.021748008,-0.030410476,-0.027540149,-0.045487132,-0.037649404,-0.052641965,-0.036716703,-0.035941828,-0.054956034
898.4000244,-0.02502374,-0.017540541,-0.015686611,-0.017658019,-0.023030277,-0.058787618,-0.019446943,-0.041227371,-0.034438707,-0.044547252,0.001308849,-0.030727981,-0.041545864,-0.028181463,-0.064396247,-0.043539491,-0.047695853,-0.049049456,-0.028669437,-0.064477392,-0.036940247,-0.050924022,-0.047158543,-0.020591667,-0.052073408,-0.059087262,-0.030013749,-0.018022781,-0.044376954,-0.052060597,-0.046436146,-0.032162301,-0.056908343,-0.050103717,-0.048861343,-0.045264632
897.5999756,-0.022197561,-0.040695097,-0.020564362,-0.027997972,-0.036447015,-0.051047906,-0.020659354,-0.044213649,-0.040911797,-0.036173057,-0.04422361,-0.015953084,-0.038643062,-0.049234018,-0.04246052,-0.04961741,-0.046601687,-0.051925056,-0.030975696,-0.033812512,-0.033636704,-0.026373619,-0.056462653,-0.027803043,-0.025229106,-0.028169915,-0.013245918,-0.041061886,-0.012971246,-0.032092392,-0.027395811,-0.035292357,-0.058033686,-0.025752315,-0.024372652,-0.038516723
896.7999878,-0.008136456,-0.002382727,0.00118995,0.019946655,-0.011597291,0.005255118,-0.016221488,0.004043516,-0.019811442,0.013746041,-0.012266895,-0.005682886,-0.007436275,-0.004910504,-0.002021177,-0.022825195,-0.021263381,-0.015388845,-0.021674432,-0.022722961,-0.006452774,-0.002699575,-0.013534518,-0.026811648,-0.028973397,-0.021179417,-0.021605868,-0.020389035,-0.022911934,-0.001081256,-0.010035577,-0.015683914,-0.024851428,-0.001533312,-0.003941731,-0.04069208
896,-0.021331999,-0.045821387,-0.016544301,-0.025381198,-0.01947313,-0.029298343,-0.025984842,-0.017525824,-0.044785295,-0.047610354,-0.030986639,-0.034325585,-0.042486154,-0.037071846,-0.041861307,-0.026841044,-0.06001237,-0.031709764,-0.034000792,-0.042640347,-0.041811235,-0.041960027,-0.044414021,-0.040769055,-0.044088546,-0.033311825,-0.040454894,-0.051656466,-0.064246103,-0.036466673,-0.036246169,-0.03724489,-0.017084794,-0.042091243,-0.039207846,-0.051727384
895.2000122,-0.013214783,0.007062821,-0.021820536,-0.043803599,-0.021689404,-0.039605431,-0.001685113,-0.057005744,-0.041174352,-0.025825789,-0.027825721,-0.031420812,-0.038521744,-0.0525061,-0.051251777,-0.038231838,-0.030629907,-0.028235365,-0.064329915,-0.035469309,-0.039612569,-0.030984035,-0.025735775,-0.047456522,-0.04736935,-0.042420279,-0.046070281,-0.032065034,-0.042196393,-0.052898668,-0.058684826,-0.025311703,-0.046473131,-0.039063927,-0.057773609,-0.042810529
894.4000244,0.009209811,-0.004488545,-0.004149412,-0.019803973,-0.042119578,-0.026044721,-0.013397898,-0.034011897,-0.009883023,-0.015147074,-0.026814228,-0.033168145,-0.022199137,-0.027206298,-0.020589445,-0.049021661,-0.021079756,-0.043142915,-0.03502756,-0.048003756,-0.032583345,-0.038249142,-0.037820891,-0.00611364,-0.038470764,-0.010079992,-0.039043672,-0.035773031,-0.037163533,-0.022850541,-0.038865853,-0.028675446,-0.024412787,-0.033166323,-0.020671053,-0.029987853
893.5999756,-0.050937191,-0.031941239,-0.045854744,-0.043499824,-0.035675518,-0.0329987,-0.036726505,-0.024385231,-0.05118731,-0.034757581,-0.043426845,-0.046981551,-0.044792723,-0.047584094,-0.051470261,-0.047819458,-0.055383634,-0.063383095,-0.033892583,-0.032254405,-0.036106888,-0.050683837,-0.034589808,-0.043183461,-0.031330459,-0.043301139,-0.041073475,-0.040297419,-0.030902848,-0.028109454,-0.049671438,-0.05778648,-0.047685742,-0.05657056,-0.039464623,-0.05421301
892.7999878,-0.007878971,-0.015742784,-0.018686576,-0.010797138,-0.013197606,-0.019388473,-0.026135305,-0.010914031,-0.029083466,-0.01286747,-0.021654977,-0.029561529,-0.03807351,-0.022982601,-0.022578292,-0.008656703,-0.03478267,-0.02827136,-0.024480615,-0.031313356,-0.032472573,-0.035409283,-0.019129897,-0.03169629,-0.034613758,-0.041994244,-0.030423507,-0.031944126,-0.028233375,-0.025967823,-0.019428823,-0.044559728,-0.044581641,-0.024757592,-0.026312565,-0.037003342
892,-0.015281996,-0.022839293,-0.015844228,-0.021529607,-0.035160743,-0.020744059,-0.03155626,-0.015249806,-0.038188316,-0.038240563,-0.030311413,-0.033827644,-0.01585461,-0.028550828,-0.042171165,-0.030427853,-0.034226023,-0.039390299,-0.037515748,-0.030559076,-0.04002716,-0.044356853,-0.026728507,-0.04046192,-0.025725089,-0.037196279,-0.047682263,-0.030719491,-0.042280052,-0.036354985,-0.030093221,-0.040910572,-0.04070707,-0.041142095,-0.042760283,-0.040537898
891.2000122,-0.013597946,-0.004741339,-0.018739635,-0.022954071,-0.026177324,-0.01505842,-0.02157449,-0.009696294,-0.041034754,-0.010596705,-0.02629205,-0.032614753,-0.031234253,-0.031469353,-0.027292119,-0.024827713,-0.028283196,-0.050167508,-0.018598096,-0.011406254,-0.020727919,-0.02973648,-0.028788304,-0.033219177,-0.042205412,-0.04217577,-0.035722204,-0.037079405,-0.017329467,-0.03386452,-0.020946229,-0.034593824,-0.027215246,-0.028755017,-0.039049637,-0.030064188
