wavelength (nm),DOMBlank1,DOMSTD27,DOM13465F,DOM12770,DOM12978,DOM12984,DOM13002,DOM13018,DOM13019,DOMBlank2,DOM13051,DOM13451,DOM13453,DOM13154,DOM13469,DOM13470,DOM13471,DOM13617,DOM13260,DOMBlank3,DOM13264,DOM13316,DOM13333,DOM13416,DOM13538,DOM13542,DOM13543,DOM13545,DOM13546,DOMBlank4,DOM13551,DOM13552,DOM13553,DOM13558,DOM13559,DOMBlank5
900,-0.023819694,-0.024867171,-0.007689394,-0.033777498,-0.027350992,-0.008831603,-0.025132224,-0.003195435,-0.028719934,-0.04410838,-0.049965762,-0.00874094,-0.013464456,-0.035031762,-0.021608233,-0.03897259,-0.04517949,-0.026014734,-0.029935086,-0.021281078,-0.011016862,-0.02747931,-0.028599981,-0.033610113,-0.037596565,-0.033812609,-0.043143008,-0.016274601,-0.021069102,-0.029337008,-0.036891982,-0.031937681,-0.049570486,-0.029499037,-0.034806993,-0.028828904
899.2000122,-0.013478008,-0.024936443,-0.058119196,-0.036875386,-0.048783571,-0.073712692,-0.052501831,-0.089902885,-0.03583644,-0.047034889,-0.064140402,-0.060306799,-0.0515345,-0.041359514,-0.077832669,-0.050026715,-0.044403642,-0.060460065,-0.062379412,-0.059204597,-0.06155698,-0.067407422,-0.05821139,-0.052752431,-0.068811305,-0.0450367,-0.061711602,-0.052780993,-0.062321555,-0.042188548,-0.038745925,-0.070803091,-0.058922119,-0.047239766,-0.075454526,-0.087985322
898.4000244,-0.006080202,-0.023209104,-0.008366112,-0.033510003,-0.014105681,-0.038090583,-0.014907421,-0.033415191,-0.018263055,-0.023927305,-0.026172109,-0.01084602,-0.033936873,-0.041752547,-0.054203823,-0.035567917,-0.028102225,-0.063238598,-0.025079012,-0.018263403,-0.041265551,-0.036549684,-0.071160182,-0.017673777,-0.059998393,-0.041802488,-0.023805873,-0.045507271,-0.062981755,-0.032727938,-0.046713144,-0.021233112,-0.044749431,-0.013201725,-0.051711347,-0.016772743
897.5999756,0.007853615,0.009799285,-0.018612629,-0.024304904,-0.027125811,-0.021685168,-0.033839952,-0.021494528,-0.020616846,-0.027956324,-0.028881418,-0.037673,0.014451391,-0.031867351,-0.047445383,-0.011982285,-0.001592223,-0.004730278,-0.023853019,-0.034096863,-0.025490813,-0.028482324,-0.031815678,-0.014422007,-0.008214342,-0.002962822,-0.022041792,-0.02130124,-0.012779305,-0.033532336,-0.063399248,-0.047695018,-0.007940027,-0.026798554,-0.033959378,-0.023591155
896.7999878,0.010648401,0.016803907,-0.002474933,-0.012894359,-0.003256742,-0.021548823,-0.004054226,0.011040271,0.003445463,-0.020291416,-0.017960444,-0.020331483,-0.004827926,-0.017024064,-0.006384571,-0.013472236,-0.013741124,-0.018613223,0.000305588,0.003323265,-0.045390282,-0.005181981,0.002884167,-0.021469004,-0.037732333,0.004087282,-0.002139684,-0.011538914,-0.016461017,-0.017797779,-0.020118797,-0.012608199,0.004425886,-0.004419161,-0.021164477,-0.017139442
896,0.024736226,0.02892966,0.012777697,0.018271886,-0.004864891,0.002934384,-0.001517577,0.04196576,-0.015156774,0.003763591,0.016949069,0.010002409,0.00235381,-0.001067673,4.50E-05,0.012642131,0.001939222,0.024782129,0.001928275,0.004954696,-0.01572486,0.012312855,0.005228159,0.016019948,-0.002607365,-0.004136284,-0.007260862,0.012286891,-0.004761311,0.002827936,0.010202659,0.010095607,0.001461935,0.004231313,0.001361767,0.016831649
895.2000122,-0.017692368,-0.043641623,-0.026216317,-0.046197701,-0.024670389,-0.041547511,-0.046552435,-0.03764442,-0.021245386,-0.036137473,-0.040301241,-0.053773783,-0.049650107,-0.042004161,-0.032064937,-0.040263966,-0.029000662,-0.031721264,-0.028862283,-0.033871226,-0.03464593,-0.050703969,-0.042368203,-0.033601198,-0.057549428,-0.037935954,-0.068962835,-0.069849223,-0.048221335,-0.046986107,-0.054774664,-0.03805672,-0.033544317,-0.059249811,-0.036868535,-0.051162556
894.4000244,0.009045936,-0.017559038,-0.018186703,-0.003890988,-0.028085627,-0.034080636,-0.029326702,-0.024126969,-0.039828487,-0.020987174,-0.040557377,-0.021132918,-0.002412538,-0.031255838,-0.01549207,-0.038346887,-0.032938667,-0.028205236,-0.025334803,-0.033042841,-0.01062424,-0.009666978,-0.011214074,-0.015330476,-0.017684067,-0.024460746,-0.012736974,-0.046990521,-0.039081577,-0.025348136,-0.029036595,-0.011540276,-0.033501521,-0.04923277,-0.031527806,-0.024138624
893.5999756,0.00515423,0.001560358,0.004310627,0.013672812,0.007198051,0.007508063,0.00735873,-0.005882636,0.008626655,-0.005515505,0.010350615,0.006928712,-0.004052944,-0.006826913,-0.002812136,-0.005962868,-0.006777576,0.010638665,-0.012200655,-0.013293521,-0.008681976,0.006988685,-0.012994209,-0.012860434,-0.015176621,-0.016549634,-0.00478932,-0.020150034,0.003611728,-0.024479244,-0.00433972,-0.010661219,0.019196616,-0.004325368,-0.016503882,-0.013000892
892.7999878,0.015298667,-0.004944543,-0.008286221,-0.009945417,-0.014920877,-0.01274542,0.006040105,-0.005398376,-0.008388659,-0.003247544,-0.015160623,-0.001906865,-0.019482881,-0.005290831,-0.016062362,-0.024197975,-0.006961693,-0.001338053,-0.021491177,-0.021223003,-0.00167779,-0.00594714,-0.008590215,-0.013568491,-0.009849065,-0.02761502,-0.001553895,-0.028394459,-0.023368627,-0.019457834,-0.016502336,-0.019083969,-0.012612273,-0.019516541,-0.024588257,-0.003469578
892,0.012394192,0.023128694,0.022771295,0.02812231,0.010434687,0.01407908,0.015685285,-0.00131173,0.015239492,0.01536391,0.00373876,0.001587274,0.001922035,0.012831472,0.006257655,0.012259012,-0.001745911,0.015230994,-0.005148676,0.036439035,-0.002349618,-0.004688795,0.007554209,-0.001690734,-0.010770069,0.004335439,0.023527812,-0.004154488,-0.000141625,-0.003059944,0.002158706,-0.004660523,0.005837698,0.01866205,0.010599539,0.017450025
891.2000122,-0.01947313,-0.01314703,-0.002313984,-0.007010499,-0.016600613,-0.024349352,-0.025346525,-0.018576618,-0.034735218,-0.030344291,-0.018833391,-0.015003358,-0.023793718,-0.017221902,-0.029888161,-0.025994107,-0.011822555,-0.033340883,-0.018739834,-0.004623336,-0.021144457,-0.031882167,-0.026120486,-0.017163182,-0.016458724,-0.033269726,-0.013721962,-0.033279505,-0.031714674,-0.035527989,-0.023175435,-0.035965227,-0.027027942,-0.028788788,-0.033954687,-0.022042776
890.4000244,0.00083713,-0.008329545,-0.01169502,-0.022630828,-0.009113519,-0.026039846,-0.026685275,-0.011414373,-0.032971829,-0.01779758,-0.022046024,-0.023425827,-0.021525372,-0.024774611,-0.025655894,-0.029544601,-0.033441078,-0.016444666,-0.005386104,-0.02969664,-0.036236502,-0.017733373,-0.021158757,-0.021375718,-0.022149105,-0.014184308,-0.015678572,-0.00657278,-0.031648878,-0.020471966,-0.009689003,-0.014657974,-0.027924478,-0.011301145,-0.023519509,-0.024879588
