Baseline 100%T,,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3,,Sample 4 Rack 1 Tube 4,,Sample 5 Rack 1 Tube 5,,Sample 6 Rack 1 Tube 6,,Sample 7 Rack 1 Tube 7,,Sample 8 Rack 1 Tube 8,,Sample 9 Rack 1 Tube 9,,Sample 10 Rack 1 Tube 10,,Sample 11 Rack 1 Tube 11,,Sample 12 Rack 1 Tube 12,,Sample 13 Rack 1 Tube 13,,Sample 14 Rack 1 Tube 14,,Sample 15 Rack 1 Tube 15,,Sample 16 Rack 1 Tube 16,,Sample 17 Rack 1 Tube 17,,Sample 18 Rack 1 Tube 18,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
900,0.8445773125,900,0.005610419437,900,-0.004834531341,900,0.002467665821,900,-0.01931801252,900,-0.005900103599,900,-0.02631154284,900,-0.02130774781,900,-0.03554478288,900,-0.002027257811,900,-0.02362023108,900,-0.004399328027,900,0.007206446957,900,-0.04080789164,900,-0.01996657997,900,0.007594537456,900,-0.02906467952,900,-0.03472909704,900,-0.02162956074,
899.2000122,0.841838479,899.2000122,0.007903171703,899.2000122,0.0303104911,899.2000122,0.009018580429,899.2000122,-0.006465934217,899.2000122,-0.0006172521389,899.2000122,-0.01501656137,899.2000122,-0.03279424086,899.2000122,-0.006667058449,899.2000122,-0.02431112155,899.2000122,-0.01058796421,899.2000122,-0.001045930432,899.2000122,0.01288047992,899.2000122,-0.009720797651,899.2000122,-0.0279768575,899.2000122,-0.01363070868,899.2000122,-0.006036141887,899.2000122,-0.0168243926,899.2000122,-0.04134958237,
898.4000244,0.8686287403,898.4000244,-0.02667446807,898.4000244,-0.03243774176,898.4000244,-0.01270640641,898.4000244,-0.01400653739,898.4000244,-0.04093394056,898.4000244,-0.04356660694,898.4000244,-0.0306199193,898.4000244,-0.03663829342,898.4000244,-0.03869331256,898.4000244,-0.04802081361,898.4000244,-0.03520280495,898.4000244,-0.03797162697,898.4000244,-0.02146762423,898.4000244,-0.02478580922,898.4000244,-0.04194141179,898.4000244,-0.01798115857,898.4000244,-0.02323310263,898.4000244,-0.03250293434,
897.5999756,0.8580890894,897.5999756,0.008036396466,897.5999756,0.009445726871,897.5999756,-0.01851421036,897.5999756,0.00438765483,897.5999756,-0.002910576528,897.5999756,-0.01217231434,897.5999756,-0.02073083073,897.5999756,-0.01416251063,897.5999756,0.007306444924,897.5999756,-0.01870294102,897.5999756,-0.04845672473,897.5999756,-0.03871296346,897.5999756,-0.0382983014,897.5999756,-0.03044836596,897.5999756,-0.0318150036,897.5999756,-0.03515553847,897.5999756,-0.03304773569,897.5999756,-0.03152236715,
896.7999878,0.8659491539,896.7999878,-0.007254599594,896.7999878,-0.01604340225,896.7999878,-0.0238666907,896.7999878,-0.03034994006,896.7999878,-0.02140129544,896.7999878,-0.004182126839,896.7999878,-0.01993621886,896.7999878,-0.02572372369,896.7999878,-0.01905726269,896.7999878,-0.01707712747,896.7999878,-0.008217288181,896.7999878,-0.01481821667,896.7999878,-0.03812747821,896.7999878,-0.03743705526,896.7999878,-0.007476681843,896.7999878,-0.04333065823,896.7999878,-0.02617883496,896.7999878,-0.02860594355,
896,0.8872737885,896,-0.02866090648,896,-0.03804202005,896,-0.026600115,896,-0.03764280677,896,-0.03010867909,896,-0.05330984294,896,-0.06765519083,896,-0.05117281526,896,-0.02942995541,896,-0.04521084577,896,-0.04351228103,896,-0.03744916618,896,-0.03386365995,896,-0.04753945395,896,-0.04668194428,896,-0.06195434183,896,-0.03699278831,896,-0.06173747033,
895.2000122,0.8579978943,895.2000122,0.003432443598,895.2000122,-0.01216184348,895.2000122,-0.004454162437,895.2000122,0.00788564235,895.2000122,0.03583012149,895.2000122,-0.03172261268,895.2000122,-0.01957103238,895.2000122,-0.006654312368,895.2000122,-0.02949768305,895.2000122,-0.01825417019,895.2000122,-1.258039811E-5,895.2000122,-0.03371072561,895.2000122,-0.02417349257,895.2000122,-0.02470272034,895.2000122,-0.02488726377,895.2000122,-0.01825441793,895.2000122,-0.01828142256,895.2000122,-0.01604724303,
894.4000244,0.874591887,894.4000244,0.007828707807,894.4000244,-0.02347443625,894.4000244,-0.01842599362,894.4000244,-0.03005162627,894.4000244,-0.02097390406,894.4000244,-0.04174276814,894.4000244,-0.02212829329,894.4000244,-0.04271256551,894.4000244,-0.03126339987,894.4000244,-0.02887817286,894.4000244,-0.04095057398,894.4000244,-0.01706841774,894.4000244,-0.05731718987,894.4000244,-0.0307593327,894.4000244,-0.0319869332,894.4000244,-0.0299245026,894.4000244,-0.04515676945,894.4000244,-0.03547116742,
893.5999756,0.8703732491,893.5999756,-0.02469396405,893.5999756,-0.03620692343,893.5999756,-0.02262267098,893.5999756,-0.00688704662,893.5999756,-0.02650115266,893.5999756,-0.01100626122,893.5999756,-0.01477408316,893.5999756,-0.02193085849,893.5999756,-0.0342891328,893.5999756,-0.02691496722,893.5999756,-0.02947668731,893.5999756,-0.0259029083,893.5999756,-0.02243706211,893.5999756,-0.0307562463,893.5999756,-0.01022762153,893.5999756,-0.03257220238,893.5999756,-0.03961304203,893.5999756,-0.03693844005,
