wavelength (nm),DOMBlank1,DOMSTD28,DOM12273,DOM12702,DOM12704,DOM12710,DOM12841,DOM13050,DOMBlank2,DOM13070,DOM13089,DOM13094,DOM13131,DOM13144,DOM13437,DOM13494,DOMBlank3
900,0.005610419,-0.004834531,0.002467666,-0.019318013,-0.005900104,-0.026311543,-0.021307748,-0.002027258,-0.023620231,-0.004399328,0.007206447,-0.040807892,-0.01996658,0.007594537,-0.02906468,-0.034729097,-0.021629561
899.2000122,0.007903172,0.030310491,0.00901858,-0.006465934,-0.000617252,-0.015016561,-0.032794241,-0.024311122,-0.010587964,-0.00104593,0.01288048,-0.009720798,-0.027976858,-0.013630709,-0.006036142,-0.016824393,-0.041349582
898.4000244,-0.026674468,-0.032437742,-0.012706406,-0.014006537,-0.040933941,-0.043566607,-0.030619919,-0.038693313,-0.048020814,-0.035202805,-0.037971627,-0.021467624,-0.024785809,-0.041941412,-0.017981159,-0.023233103,-0.032502934
897.5999756,0.008036396,0.009445727,-0.01851421,0.004387655,-0.002910577,-0.012172314,-0.020730831,0.007306445,-0.018702941,-0.048456725,-0.038712963,-0.038298301,-0.030448366,-0.031815004,-0.035155538,-0.033047736,-0.031522367
896.7999878,-0.0072546,-0.016043402,-0.023866691,-0.03034994,-0.021401295,-0.004182127,-0.019936219,-0.019057263,-0.017077127,-0.008217288,-0.014818217,-0.038127478,-0.037437055,-0.007476682,-0.043330658,-0.026178835,-0.028605944
896,-0.028660906,-0.03804202,-0.026600115,-0.037642807,-0.030108679,-0.053309843,-0.067655191,-0.029429955,-0.045210846,-0.043512281,-0.037449166,-0.03386366,-0.047539454,-0.046681944,-0.061954342,-0.036992788,-0.06173747
895.2000122,0.003432444,-0.012161843,-0.004454162,0.007885642,0.035830121,-0.031722613,-0.019571032,-0.029497683,-0.01825417,-1.26E-05,-0.033710726,-0.024173493,-0.02470272,-0.024887264,-0.018254418,-0.018281423,-0.016047243
894.4000244,0.007828708,-0.023474436,-0.018425994,-0.030051626,-0.020973904,-0.041742768,-0.022128293,-0.0312634,-0.028878173,-0.040950574,-0.017068418,-0.05731719,-0.030759333,-0.031986933,-0.029924503,-0.045156769,-0.035471167
893.5999756,-0.024693964,-0.036206923,-0.022622671,-0.006887047,-0.026501153,-0.011006261,-0.014774083,-0.034289133,-0.026914967,-0.029476687,-0.025902908,-0.022437062,-0.030756246,-0.010227622,-0.032572202,-0.039613042,-0.03693844
892.7999878,-0.026516154,-0.004680805,-0.011851624,-0.02831196,-0.03634651,-0.034355674,-0.059406072,-0.032854147,-0.034907568,-0.035024598,-0.034914784,-0.036491662,-0.039396401,-0.028279413,-0.030868033,-0.040828861,-0.049401362
892,0.003446351,-0.023111969,0.000336415,-0.016906016,-0.015261004,-0.022129426,-0.014082476,-0.02943939,-0.037402619,-0.043600511,-0.020468757,-0.013883303,-0.021095833,-0.026739655,-0.024707953,-0.01608975,-0.027689734
891.2000122,-0.012051479,-0.013179275,-0.012019401,-0.02332766,-0.021842297,-0.020457052,-0.031226063,-0.037531231,-0.036455248,-0.037271738,-0.044434071,-0.04016085,-0.031582642,-0.023177251,-0.01578013,-0.044830404,-0.044396494
890.4000244,0.006356567,-0.003827205,-0.021736238,-0.001918514,-0.01428802,-0.016278589,-0.023431664,-0.025801007,-0.039935507,-0.024783658,-0.020848487,-0.018335376,-0.030395703,-0.0234531,-0.012262264,-0.037509337,-0.017529204
889.5999756,-0.002397503,-0.013076203,-0.010846626,-0.011741685,-0.007927471,-0.021368077,-0.029882796,-0.012112908,-0.021509014,-0.028094022,-0.030997725,-0.024947099,-0.037667114,-0.025211763,-0.01956252,-0.029311506,-0.037937377
888.7999878,0.008465058,-0.020255741,-0.004387438,-0.005346269,-0.02752528,-0.004797308,-0.015747977,-0.027697992,-0.03349318,-0.029323604,-0.023017118,-0.026559744,-0.027458703,-0.028323794,-0.03752178,-0.022785848,-0.029413797
888,-0.003922543,-0.01392151,-0.02008375,-0.023074659,-0.019533072,-0.017630778,-0.03315457,-0.037650831,-0.024174863,-0.029570911,-0.029755333,-0.019926626,-0.034883585,-0.026805222,-0.018705916,-0.036356032,-0.029263256
887.2000122,-0.02288782,-0.007882784,-0.026451128,-0.02198121,-0.020269675,-0.037223272,-0.018421032,-0.029201156,-0.037448406,-0.044550989,-0.039821167,-0.03661041,-0.041382812,-0.040883571,-0.02884184,-0.02788491,-0.043827608
