wavelength (nm),DOMBlank1,DOMSTD29,DOM13163,DOM12719,DOM13123,DOM13010,DOM11895,DOM12258,DOM12660,DOMBlank2,DOM12940,DOM12994,DOM12998,DOM12999,DOM13000,DOM13023,DOM13071,DOM13439,DOM13440,DOM13449,DOM13459,DOM11931,DOM12157,DOMBlank3
900,-0.007867023,-0.009626217,-0.026265493,-0.01822364,-0.019577961,-0.014714081,0.003009891,-0.034936138,-0.017915387,-0.014376531,0.005436782,-0.022327853,-0.021616312,-0.019723883,0.012529841,-0.032829717,-0.004172384,-0.026919736,-0.006360235,-0.043182336,-0.02897393,-0.00738492,-0.001284682,-0.008432887
899.2000122,-0.006130639,-0.018079648,0.006431699,0.009826742,-0.01002551,-0.015974991,0.001145176,0.015182256,-0.004989278,0.00568141,-0.000951044,-0.001606202,0.005414031,-0.002720412,-0.005037436,0.003825035,0.039562657,0.004336877,0.001770399,-0.010997731,0.011769775,0.007235004,-0.023497783,-0.006104911
898.4000244,-0.00934879,-0.015831249,-0.014819768,-0.026170548,0.005462445,-0.026442261,-0.027282687,-0.024496615,-0.003357394,-0.030638156,-0.025546221,-0.005813884,-0.003579783,-0.006169993,-0.003009561,-0.020303421,-0.008068973,-0.020654615,0.000307712,-0.030254001,-0.025283618,-0.03437452,0.000859539,-0.021408638
897.5999756,-0.016334189,-0.00180433,0.022677273,-0.014648865,0.013060774,-0.00394445,-0.010699458,-0.007580583,-0.023727793,0.012455724,-0.019023469,-0.006880677,0.023275549,-0.014039571,-0.003255971,-0.002742638,-0.004569599,-0.007881004,-0.003572954,0.013364936,0.013736529,-0.01453112,-0.029183777,0.005283495
896.7999878,0.008868331,-0.01110362,-0.029691322,-0.002628721,-0.006472667,-0.003232745,-0.00996338,2.39E-05,-0.014995956,-0.028148953,-0.020251146,-0.014599508,-0.009033461,-0.005775007,-0.00652061,0.006091818,0.017345591,-0.003238757,-0.01929553,-0.014234664,-0.025588786,-0.030978298,0.006154695,-0.019928901
896,0.001412121,-0.000914416,-0.023574287,-0.024475574,-0.000261939,-0.018406838,-0.013819015,-0.006985383,-0.01686782,-0.005593044,-0.0057442,-0.008964039,-0.017403733,-0.046874907,-0.007380238,-0.017239267,-0.015042567,-0.000812008,-0.011384871,-0.019214703,-0.017184531,-0.000791441,-0.001345434,-0.018792193
895.2000122,-0.006901926,-0.000392875,-0.010601252,-0.018178014,-0.020491177,-0.017026205,-0.009214394,0.002822074,-0.019118998,-0.015104874,0.004261923,-0.011046691,-0.007233826,-0.02264218,-0.012853397,-0.022537004,-0.006365388,-0.009216826,0.001957423,-0.014412742,-0.034786541,-0.023744753,-0.031239361,-0.004295432
894.4000244,0.008435206,-3.94E-05,0.003230543,0.012799345,-0.00214535,-0.007665792,5.90E-05,-0.022656381,-0.013812495,-0.009912172,-0.038357597,-0.016515296,0.000449872,0.006466669,-0.007007086,-0.003330628,-0.026350768,-0.036347557,-0.003408199,-0.026398515,-0.023350034,-0.018885691,-0.002395187,-0.022506135
893.5999756,-0.009699635,-0.004976636,-0.019603746,-0.011326164,-0.02096389,-0.020696081,-0.017986622,-0.019399267,-0.016500842,-0.019687073,-0.027600544,-0.016838288,-0.031242397,-0.025209222,-0.024114529,-0.018317707,-0.017671442,-0.021725601,-0.021486793,-0.018004404,-0.029048119,-0.014345878,-0.017485296,-0.033425115
892.7999878,-0.005277329,-0.006769115,-0.013031791,-0.001962943,0.003219095,-0.0147952,-0.018016374,-0.016443918,-0.022167603,-0.010750826,-0.00897195,-0.018856345,-0.032391805,-0.014161558,-0.028516648,-0.009628243,-0.027450878,-0.012996471,-0.013162551,-0.027588494,0.002179441,-0.011115378,-0.029919913,-0.009058662
