wavelength (nm),DOMBlank1,DOMSTD32,DOM12918,DOM12924,DOM12957,DOM13090,DOM13109,DOM13111,DOM13143,DOMBlank2,DOM13262,DOM13313,DOM13335,DOM13476,DOM13531,DOM13589,DOMBlank3
900,-0.000837742,0.027851272,0.009133272,-0.018907748,0.006141094,-0.009426155,0.000962704,0.017570119,-0.017576886,0.004604875,-0.00513742,0.0012441,0.018020362,0.020630885,-0.008548744,0.008103538,-0.001899855
899.2000122,-0.003009303,0.000893441,-0.015789216,0.004137116,-0.007669607,-0.004859413,-0.004813437,-0.014000973,0.015739366,0.004946998,0.01982948,-0.000694017,-0.021305084,-0.002368103,0.02014051,-0.016903674,0.010594897
898.4000244,0.022866974,0.027851354,0.014549565,0.008429426,0.012998195,0.020890988,0.0284502,0.018467126,0.030264722,0.037027691,0.03522161,0.049790103,0.019294433,0.0169193,0.013773134,0.026491543,0.029690921
897.5999756,-0.010272422,-0.024314696,-0.010766685,-0.013225329,-0.016486436,-0.015633227,-0.019952241,-0.004308657,-0.018417507,-0.005139467,-0.01650737,-0.025483442,0.008566217,-0.021028757,-0.005528846,-0.019483179,-0.03108092
896.7999878,-0.010066536,-0.005445978,-0.020262906,0.015326179,-0.00871978,0.029436078,0.006043491,0.01587899,0.022020068,-0.000327748,0.015056577,-0.009735529,-0.011060268,0.027921714,0.001864629,0.012217849,0.001875132
896,0.004383105,0.021698438,-0.010664958,0.027799662,-0.019081492,0.023416797,0.000480684,0.022731142,0.002184852,0.005139744,0.008767445,-0.009801234,0.026877711,0.016746599,0.010742933,-0.007074784,-0.010621107
895.2000122,-0.014126579,-0.027812367,-0.017491363,-0.002117891,0.004382817,0.000396184,-0.02611327,-0.011047903,-0.012989486,-0.008984121,-0.011652534,-0.027402129,-0.023834838,-0.013044452,-0.029206675,-0.004387899,-0.022926029
894.4000244,0.002892792,0.000616783,0.016987372,-0.000994383,0.015217615,-0.01930177,-0.006917569,-0.013297337,0.005659721,0.017875353,0.003688606,0.002426483,-0.010973299,0.014310968,0.002886903,-0.007145629,-0.00189037
893.5999756,0.017688494,-0.005106619,0.014472507,0.006812418,0.000326104,0.017185431,-0.004899191,0.004857201,-0.010585691,0.01479298,0.001661533,0.008692937,0.004247441,0.001906981,-0.000576047,0.018564051,0.017586455
892.7999878,0.001334866,0.007916906,-0.003209825,0.004238972,0.008264974,0.003408701,0.005666933,0.013212962,0.018491302,0.00069111,-0.004116951,0.012579374,-0.003578037,0.00947385,0.011332101,0.01122052,-0.003017375
892,-0.013826788,-0.004642083,0.004443957,-0.010034767,-0.012500866,-0.014160656,-0.00999485,-0.001907123,-0.013315362,-0.012234078,-0.007826194,-0.003837828,-0.00194846,-0.027246075,-0.023088062,-0.000977441,-0.001198418
891.2000122,-0.000620664,1.00E-04,-0.011130819,-0.01303169,0.01156795,0.010576542,0.000422069,0.015460172,-0.002286535,0.001395734,0.001125555,-0.011970601,-0.012432197,0.008605425,0.005822743,-0.00946116,-0.005196714
890.4000244,0.012869307,-0.004404504,0.01108212,0.011095133,-0.004645566,-0.006967195,-0.001434197,-0.000633227,0.002494012,-2.71E-05,0.008390656,0.010929509,0.006411313,0.011707091,-0.003387395,0.002210011,-0.00999485
889.5999756,-0.004094334,0.004230633,-0.002638447,-0.007875361,0.002194114,-0.009026413,-0.006126044,0.00321813,-0.000822653,-0.007667166,-0.002262432,-0.006966074,-0.027340444,-0.002581479,0.000352477,0.004854165,-0.006680365
888.7999878,-0.00853057,0.006720316,0.003191609,0.00208933,-0.002263411,0.010915705,0.002202414,-0.006130639,-0.003492895,-0.005004887,-0.00456258,0.004180187,-0.013567136,-0.005424555,0.011877241,-0.008907387,0.008784376
888,0.005071173,0.00254796,0.016632004,0.002905196,0.004250212,-0.012238609,0.007482754,0.005064233,-0.001316685,0.005650909,-0.004052944,0.005501033,0.000618882,-0.00152547,-0.005220603,0.001640563,0.005088276
887.2000122,-0.018474272,-0.002085432,0.000234409,-0.001330053,0.000742034,-0.000121388,0.006454845,-0.010076855,-0.001805206,0.006130724,-0.000296397,0.005955488,0.00446229,-0.014276247,0.006780208,-0.001807423,0.001681178
886.4000244,0.009144904,-0.00878701,-0.00343532,0.002533197,0.007446043,-0.009321681,-0.015316732,-0.002529753,-0.002525172,0.005528193,0.002111466,0.009457024,-0.003004008,0.006643741,-0.005055245,-0.002095479,-0.010534809
885.5999756,0.004503091,0.006691793,0.003996592,-0.007088995,-0.013756473,0.005681725,0.004305294,0.001811104,0.020230675,-0.006601183,0.004596085,0.010563943,-0.003363456,0.0048171,-0.000449717,-0.002890005,-0.0051784
884.7999878,0.008391632,-0.000723324,-0.006147229,0.001304461,0.006739744,0.009374013,0.001257755,0.001565087,0.009839267,0.013723678,-0.003755867,0.01547192,0.016852155,-0.003597754,0.00510221,0.002638375,-0.003269999
884,0.004326392,-0.004846665,0.005446088,-0.015225213,0.003672081,0.006039816,-0.009027529,0.003916943,-0.000128168,-0.001561891,0.008925507,-0.000176817,0.006279006,-0.003174518,0.001763901,0.000868877,-0.00201185
883.2000122,0.002973087,0.001944214,0.001581974,0.006362871,-0.003595392,-0.005176354,0.006452244,0.008191555,-0.002534489,0.005243537,0.003656418,0.004594332,0.00506494,-0.005425629,0.003632532,0.01122849,-0.006669455
882.4000244,0.000176785,-0.005655854,0.002899489,-0.00389145,-0.006352684,0.002343972,-0.004185357,-0.002331492,-0.001799844,-0.002445641,-0.000115436,0.003054362,0.007523524,-0.002463608,-0.002363057,-0.003949272,-0.007293751
881.5999756,-0.004840061,-0.002474264,0.011331331,-0.01276357,-0.003890424,-0.005308271,-0.00448501,-0.003566022,-0.00414895,0.009163383,-0.004482346,-0.001885216,-0.012489699,-0.008590165,-0.001386412,-0.000741414,-0.007610498
880.7999878,0.00573586,0.002665669,0.006190719,-0.007414085,0.002267384,0.003485412,0.0028363,0.005037808,0.005689252,0.000813451,0.003871966,0.005092754,0.002311181,-0.00205261,0.006257313,-0.000464094,-0.005810307
880,-0.005708945,-0.007460346,0.001471493,0.002819468,-0.007501006,-0.007628303,-0.004510066,0.004252225,-0.003271849,-0.008523565,-0.004419571,0.002672754,-0.001732298,-0.004071973,-0.004915008,-0.002787188,-0.004184691
879.2000122,-0.010698398,-0.013288098,-0.013031289,-0.013213728,-0.00298704,-0.006264563,-0.012130177,-0.015661642,-0.014668535,-0.017573457,-0.009210998,-0.003906176,-0.002788165,-0.008230802,-0.007736846,-0.013437051,-0.009302982
878.4000244,0.011346158,0.013990797,0.005026496,0.000475967,0.015111759,0.006075385,0.01527003,0.011372809,0.005337267,0.007108525,0.008597055,-0.000735884,0.006587232,0.00454094,0.005135213,0.010398867,0.001723902
877.5999756,0.007562164,-0.000458354,0.003302763,0.004933383,-0.00255204,0.002267567,0.003531654,0.002507915,0.007634053,0.001213442,-0.001620695,-0.002977785,0.002463891,0.003700772,0.001373271,0.001636848,-0.001447665
876.7999878,-0.006480114,-0.008325584,0.003303493,-0.002019477,-0.007185656,-0.006069073,0.002285548,-0.000369908,-0.001459584,-0.007550209,-0.006004383,-0.003789177,-0.007317271,-0.007674439,-0.006477666,-0.00349685,-0.012860987
876,0.001551681,0.006857175,0.009870646,0.00744204,-0.000863267,0.004870447,0.013311042,0.004221145,0.005547988,0.008498793,0.002804096,0.004657385,0.006990579,0.010379486,0.005088302,0.001428664,0.00966888
875.2000122,0.006119068,0.000364835,-0.009681965,0.00151804,0.002551814,-0.000506448,0.001273669,0.002216021,-0.005967158,-0.001084509,0.000875958,-0.004286922,0.006405296,-0.009985895,0.004267073,-0.001720593,-0.001900061
874.4000244,0.007541697,0.002996467,0.003248017,-0.006528005,0.00551713,0.004995805,-0.005051304,0.002990707,0.007503691,0.001294907,0.008750857,0.005289836,-0.004353303,0.003860892,0.009191673,0.002358807,0.00393899
873.5999756,-0.006006272,0.002499922,-0.000232601,-0.003939679,0.000529821,0.005074447,-0.010734816,-0.000202899,0.001003411,-0.008899779,0.001903782,-0.005704347,0.001731075,-0.000244605,-0.000255575,-0.000725754,-0.000361735
872.7999878,0.005042365,0.006081422,0.000668709,0.006787044,0.006543502,0.000177044,0.005254725,0.004850395,0.004814064,0.006352601,0.007080502,0.007760396,0.007630549,0.007245059,0.001980982,0.00605071,0.005474084
872,0.004834009,0.009108977,0.009273935,0.007487231,0.006113134,0.013923006,0.007724979,0.010204753,0.001070383,0.004965064,0.0012799,0.005983097,0.00339383,0.008142916,0.005417045,0.008009949,0.010707431
871.2000122,-0.006704173,-0.00418628,-0.00496471,0.002857536,-0.005628411,-0.007724183,-0.008726479,-0.006156671,-0.001545022,-0.000858978,-0.003378611,-0.000108242,-0.000309951,-0.002979122,-0.003492433,-0.004474711,-0.000901552
870.4000244,-0.005438411,-0.003685802,-0.00225378,-0.003373114,0.001311809,0.001887429,-0.001742044,-0.002660625,0.000361026,-0.003008635,-0.004057868,-0.005043168,-0.002889234,-0.003074595,-0.001481925,-0.007325874,-0.002287874
869.5999756,0.004186486,0.00854346,0.0035844,0.004715816,0.004671802,0.006173862,0.004730941,0.007451152,0.00400456,0.004772658,0.006296917,0.001901157,0.004502856,0.009456045,0.00518205,0.010765992,0.003883929
868.7999878,0.002469072,-5.98E-05,0.003440219,-0.003966613,0.005145586,0.001663586,-0.000278237,0.002777158,0.001127839,0.001962104,-0.004722699,0.001620193,0.001804605,0.002462147,-0.000727924,0.001402538,-0.001752305
868,-0.002966165,0.002840625,-0.003099629,-0.007131421,-0.00117503,0.000345016,-0.001288502,0.000690695,-0.001197696,-0.002747576,-0.004992553,-0.005094544,5.66E-05,-0.003811245,-0.005199016,-0.002916799,-0.002832607
867.2000122,-0.006654058,-0.003904431,-0.00442198,-0.006936727,-0.00339885,-0.000322575,-0.004153976,-0.000710713,-0.002590382,-0.001581236,-0.004310964,-0.002486567,-0.005058263,-0.003561349,-0.004711995,-0.005852296,-0.002877405
866.4000244,0.000350793,0.002256846,0.001980358,0.005681489,-0.000322523,0.002156547,-0.000656903,0.00410547,-0.004309272,0.001544122,-0.004789576,-0.001432184,-0.000914623,0.003146472,0.003954114,0.001894111,-0.002962359
865.5999756,0.002663456,0.001025699,0.003330438,-0.001149161,-0.00392752,0.002195701,0.002828014,0.002808004,-0.000593367,-0.001009104,-0.002413928,0.000472132,0.000232829,0.004564797,0.001917303,0.001081697,-0.002536908
864.7999878,0.000277431,0.002081059,0.00030595,0.005403232,0.002346627,0.003902682,-0.001308633,0.00464221,0.001759274,-0.004462413,0.001325207,0.002383169,0.00092213,-0.000975219,0.000610458,-0.000671687,0.002991984
864,0.003187358,0.003524112,0.004609663,0.001525314,0.000965636,0.009400729,0.006190876,0.007319607,0.000362969,0.007682926,0.008076769,0.009298317,0.005876529,0.001611696,0.007699736,0.004004691,0.003575448
863.2000122,-0.000946704,0.001332347,0.003915037,-0.000380667,-6.26E-06,0.003910779,0.00148887,2.82E-05,0.002459439,0.003306623,0.005116353,0.000633892,0.002998474,0.000359316,-0.000189599,0.002893548,0.001662105
862.4000244,0.004239677,0.003477036,0.005231721,0.004794041,0.004079966,0.003401683,0.00319213,0.005064574,0.001984961,0.000539125,0.005942891,0.002789845,-0.000581062,0.006960381,0.005908725,0.002082489,0.000511497
861.5999756,0.002550408,0.000966414,-0.001838202,-0.000574444,-0.002165854,0.000273079,0.000347062,0.002564964,0.002646032,-0.000705958,0.001259079,0.00048851,-0.00070451,0.003318074,0.002860871,0.003013358,9.55E-05
860.7999878,-0.002190786,0.00033543,0.003639737,0.001435339,-2.17E-05,0.0007139,-0.000186184,0.003870425,0.000280125,0.001275539,0.000728835,0.000949006,0.00146635,0.002140626,-0.000899795,0.004027604,-0.001494721
860,-0.003958558,-0.002008861,0.001356132,-0.000271252,-0.005086561,-0.004525949,-0.003132578,-0.003477847,-0.005287302,0.000231974,-0.004870778,-0.002627229,-0.003877339,-0.003031771,-0.003521295,-0.002836208,-0.004535837
859.2000122,-0.003600578,-0.001797112,0.003861519,-0.000538612,-0.005420056,0.00028515,-0.004913319,5.71E-05,0.002279302,-0.00206745,-0.00151283,-0.002157766,-0.000152856,-0.003161052,-0.004552949,-0.006044311,-0.001989999
858.4000244,0.001819474,-0.00254643,0.000917331,-0.001874442,-0.000328265,-0.002170129,-0.002955932,-0.000240259,-0.004681932,-0.002903017,-0.0008349,0.000233477,-0.005981098,-0.001140951,0.000367918,-0.001495959,-0.000710041
857.5999756,0.00355115,0.000536611,0.002811496,0.000858113,0.001608215,0.005177858,0.003851412,0.004666935,0.004679259,0.003813205,0.00133954,0.003262179,0.003348385,0.003680356,0.003598834,0.003167619,0.002685569
856.7999878,-0.006434513,-0.000900622,0.000439714,-0.002722728,0.000522175,-0.002895354,-0.00369535,-0.002259909,-0.00873683,-0.005968843,-0.006451652,-0.004443196,-0.005104163,0.002038638,0.003628721,-0.002080434,-0.006407884
856,0.004137744,0.002891672,0.005294107,0.006286832,0.001973363,0.001246514,0.002445824,0.002970741,0.001828962,-0.000662796,-0.000168123,0.002082645,0.002803471,0.004109703,0.00056056,0.003964407,0.000459149
855.2000122,0.000639621,0.003504931,0.001376984,0.00258728,0.004546695,0.001312978,0.002911816,0.002152905,0.00109924,-0.000741569,0.002316568,0.003561432,0.002236706,0.000674672,0.001977342,0.002478053,-0.002146072
854.4000244,0.000761067,-0.001189383,0.003792941,-0.00357737,0.001187796,0.001145696,0.002329736,-0.000813455,0.002232257,0.001408978,0.001677774,0.002042279,-0.00335164,0.002089564,0.001963638,-0.002639167,0.000395796
853.5999756,-0.001294077,-0.002027052,0.001107259,0.001941302,0.001558852,0.002471284,0.002402535,0.003319952,-0.002201964,-0.002739757,0.002580015,0.001361975,0.002379083,0.001511702,0.000320483,0.00340891,-0.001714301
852.7999878,0.002643844,0.00172294,0.003881525,0.001837644,-0.000688693,0.002249742,0.000336078,0.000906099,0.000666298,0.000178495,0.001643318,0.003842297,0.002260723,0.006273858,-6.38E-05,0.002469202,0.003094483
852,-0.006699279,-0.001085749,0.002030836,-0.002584001,-0.00016864,-0.002266553,0.000482005,0.000305329,-0.004790191,-0.001908978,-0.000210143,-0.002972489,0.001438559,-0.00136902,-0.000506862,-0.004239757,-0.003335868
