wavelength (nm),DOMBlank1,DOMSTD33,DOM13474F,DOM12725,DOM12778,DOM12865,DOM12925,DOM12956,DOM12966,DOMBlank2,DOM12967,DOM13115,DOM13211,DOM13212,DOM13491,DOM13511,DOM13512,DOM13513,DOMBlank3
900,-0.015859453,0.003481107,-0.009500367,0.011157941,-0.015340621,0.003090051,-0.020641286,-0.00448542,-0.030387545,-0.01676796,-0.012635959,-0.013086099,-0.003959636,-0.025964506,0.001105728,-0.016689401,-0.015945198,-0.022054389,-0.00793047
899.2000122,-0.01304194,-0.03693302,-0.001155409,-0.002998198,-0.017779194,-0.047820479,-0.002009634,-0.011212409,-0.035770264,-0.037066143,-0.036837384,-0.033140086,-0.042712986,-0.043693032,-0.015354364,-0.020966899,-0.011108868,-0.003205251,-0.045251198
898.4000244,-0.006865236,0.010857416,0.009847688,-0.020765381,-0.007470219,-0.009062313,-0.026306963,-0.01758156,-0.008463403,-0.026746325,-0.008347017,0.001160334,0.015333822,-0.00727303,-0.026300043,-0.031280264,-0.018355029,0.011704644,-0.014307607
897.5999756,0.011939152,0.006731332,0.031107463,0.005306161,0.015683513,0.01915103,0.008565029,0.026596274,-0.01258235,0.026837753,0.008906245,0.000694791,-0.008947354,0.005749999,-0.008520722,-0.002070232,0.00052386,0.005548591,0.03230698
896.7999878,0.003317761,0.004965509,-0.002176259,-0.014178545,-0.018921675,-0.015779231,-0.019182803,-0.021466492,-0.016608587,0.001551993,-0.027923701,-0.022090901,-0.025832277,-0.00796951,-0.006878231,-0.018018957,-0.014116857,-0.010386828,-0.044282101
896,-0.008145398,0.008235083,-0.029018,-0.022643704,-0.017039446,-0.022216501,-0.032205425,-0.037482791,-0.01488806,-0.014466577,-0.009750108,-0.017522292,-0.029362364,-0.018603899,-0.032197107,-0.026836373,-0.02300887,-0.029024005,-0.013190776
895.2000122,-0.008439336,0.004968599,-0.021342497,-0.020298529,-0.001637252,-0.009351982,-0.029413167,-0.017324293,-0.016120033,-0.008756923,-0.003328162,-0.023230845,-0.021816352,-0.026349502,-0.025495451,-0.021112058,-0.022136018,-0.017168058,-0.018761801
894.4000244,-0.029646015,-0.029186102,-0.027029645,-0.016586659,-0.026065882,-0.022879913,-0.015217015,-0.030854627,-0.045246534,-0.033345483,-0.016956804,-0.042825773,-0.041502956,-0.054288767,-0.027932635,-0.036298748,-0.041236691,-0.026065199,-0.032080084
893.5999756,0.003802394,-0.008081526,0.018464291,-0.00139921,0.019677285,-0.019786166,-0.003624042,0.002006623,-0.007566592,-0.012605232,-0.008746471,-0.012047652,-0.020323876,-0.018330066,-0.022214139,-0.002641277,-0.006552178,-0.036270175,-0.021084243
892.7999878,-0.03658,-0.037900653,-0.054898873,-0.032195907,-0.033993084,-0.040240891,-0.032966644,-0.044488423,-0.071265511,-0.043667797,-0.042516105,-0.047912057,-0.042002518,-0.04890807,-0.042646211,-0.030450055,-0.032321166,-0.048476543,-0.056459107
892,-0.016827829,-0.004021553,-0.007211575,-0.015937913,-0.007995331,-0.021577543,-0.022549685,-0.024016665,-0.024902664,-0.011195153,-0.019649567,-0.01518887,-0.030649688,-0.020734878,-0.020884458,-0.034227699,-0.018318748,-0.022799505,-0.022299871
891.2000122,-0.005249709,0.003215574,-0.000269752,-0.006034508,-0.002805654,-0.033080552,-0.008995379,-0.013655845,-0.000113107,-0.0210109,-0.012319336,-0.018975152,-0.012751554,-0.011198433,-0.019425951,-0.020220706,-0.026568754,-0.016937485,-0.01110902
890.4000244,-0.021220341,-0.019980228,-0.020399112,-0.021390947,-0.024979604,-0.025443602,0.000324291,-0.045860242,-0.027803091,-0.036093026,-0.032947451,-0.03803993,-0.036982328,-0.037342671,-0.029794345,-0.031848732,-0.030695083,-0.03625679,-0.045925684
889.5999756,4.91E-05,-0.017702607,-0.019940471,-0.025318345,-0.016509762,-0.021820143,-0.003633078,-0.019247144,-0.033857051,-0.023863554,-0.019607853,-0.020179886,-0.024979899,-0.023247579,-0.035976857,-0.034179226,-0.032029495,-0.004184486,-0.011726164
888.7999878,-0.010493018,-0.002663146,-0.015964013,-0.007899002,-0.020741394,-0.005046289,-0.018003808,-0.016068848,-0.014037566,-0.024049632,-0.023464773,-0.010868035,-0.004904668,-0.022195201,-0.023940828,-0.032278921,-0.01577374,-0.017164027,-0.019649914
888,-0.017503845,-0.001084922,0.003199067,-0.011272594,-0.017007785,-0.004210943,0.001536848,-0.021275459,-0.018543035,-0.018825362,-0.012626807,-0.016425872,-0.017035166,-0.031810578,-0.019717155,-0.022319542,-0.00299285,-0.034232434,-0.017148551
887.2000122,0.003595598,-0.010508734,-0.00985863,0.005257319,-0.015004158,-0.014556354,-0.022869157,-0.026231231,-0.009808219,-0.016717698,-0.007789634,-0.015313234,-0.011077074,-0.024446554,-0.030306101,-0.007982725,-0.02064795,-0.018137399,-0.017782176
886.4000244,-0.009603126,-0.002429167,-0.015546519,-0.013455823,-0.012740494,-0.00344965,-0.021559611,-0.014854341,-0.017484004,-0.02863488,-0.012051278,-0.019436793,-0.025230277,-0.029231166,-0.028813304,-0.025832083,-0.019742336,-0.013761237,-0.022273459
885.5999756,-0.00919417,-0.006942281,0.002197965,-0.020632053,-0.021364529,-0.024087641,-0.020836348,-0.014034408,-0.034164149,-0.0255841,-0.015927931,-0.022566495,-0.013416521,-0.016163681,-0.018805977,-0.03207393,-0.029842101,-0.037597612,-0.014655923
884.7999878,0.002304154,-0.012782874,-0.028315792,-0.020362411,-0.01222381,-0.018865168,-0.033221718,-0.018829426,-0.027787065,-0.018084513,-0.026210956,-0.023742743,-0.028748088,-0.032452922,-0.032249458,-0.044359051,-0.029501116,-0.027662532,-0.029053882
