wavelength (nm),DOMBlank1,DOMSTD34,DOM12929,DOM13266,DOM13331,DOM13342,DOM13394,DOM13422,DOM13482,DOMBlank2,DOM13484,DOM13492,DOM13523,DOM13536,DOM13537,DOM13547,DOM13548,DOMBlank3
900,0.023930253,0.029306926,0.010942358,0.013919825,0.029655499,0.03320324,0.0491319,0.066598743,0.009192123,0.042373762,0.030702489,0.027155332,0.017342277,0.01980645,0.013915815,0.021429094,0.032616057,0.036652733
899.2000122,0.0198307,0.010180001,0.022579808,0.028618302,0.024628544,0.015847497,0.021813996,0.012315252,0.026839351,0.014810095,0.048099555,0.030181883,0.029595446,0.02149638,0.010189091,0.022422422,-0.005886365,0.024481259
898.4000244,-0.016424028,-0.022917828,-0.013173299,-0.012159628,-0.004776109,-0.003446774,-0.022888754,-0.02009166,-0.03567237,-0.011434241,-0.015641866,-0.004287435,-0.009240597,-0.017864959,-0.024301136,-0.014173284,-0.017828936,-0.010348763
897.5999756,-0.005683039,0.01202143,0.014263242,0.004687712,0.026729494,0.011381499,0.007817769,0.009427579,-0.010131433,0.05190165,0.003810959,0.044173241,0.007304576,0.025877586,0.032513298,0.007020779,-0.00241403,-0.000883056
896.7999878,0.001415679,-0.001097575,0.001810454,0.022851668,-0.001510612,0.00775834,0.007288781,0.000661942,0.009659273,-0.00523866,-0.004267903,0.012591871,0.023279591,-0.002332831,-0.008739164,0.039322671,0.001558384,0.016691396
896,-0.002589096,0.034701254,0.018230878,0.037234429,0.00389657,0.020454314,0.00343247,0.029212918,0.019344555,0.034715358,0.022261469,0.016947024,0.048693497,0.011296632,0.017400527,0.023417288,0.033170324,0.01923888
895.2000122,-0.012687953,-0.011692047,0.018373519,0.003865829,-0.006515663,0.004138084,-0.006835169,0.002307225,0.024479644,0.012342149,0.000640788,0.000872819,-0.011104326,-0.007879784,-0.006769472,0.000619219,-0.005895865,0.005958138
894.4000244,-0.0099651,0.009013982,0.006481225,-0.011843312,0.00501513,0.013578255,-0.014402526,0.001926533,-0.022757992,-0.006918894,-0.029166108,-0.013912586,-0.013208957,0.004385589,-0.008752814,-0.001592893,0.005245607,0.003247652
893.5999756,0.003569602,-0.001943409,0.007291413,-0.001603571,0.022424629,0.002276726,0.012473626,0.010128065,0.004649771,0.017591683,0.0083616,0.008041855,0.025220023,0.014301283,-0.020927383,0.013366165,0.000205506,0.012697302
892.7999878,0.006757517,0.021459743,0.020741571,0.018962538,0.016241023,-0.000721515,0.020093441,0.004496081,0.026201695,0.00846197,0.01654269,0.016196338,0.020196505,0.001769021,0.007054639,0.017302973,0.015619053,0.016229523
892,-0.015756514,-0.019491939,-0.007057669,-0.025221728,-0.010345781,-0.015873678,-0.017190702,-0.00175411,-0.030472353,-0.023422688,-0.002477919,-0.016856914,-0.015674178,-0.016057571,-0.019372728,-0.021635473,-0.022773812,-0.024890441
891.2000122,0.014320412,-0.000493572,0.004265583,0.008460782,0.025018103,-0.011265835,-0.007522326,0.003075817,-0.006005302,0.01070584,0.005541617,-0.002334685,0.012382872,0.004057756,0.019421671,0.013799587,-0.003939525,0.009135466
890.4000244,0.006628759,0.023938758,0.011900972,0.003509342,0.000711255,0.008173882,0.024712605,0.017848246,0.001094309,0.015662713,0.008024372,0.010667608,0.020438602,0.024749544,-0.005896886,-0.002845518,0.013080995,0.021389009
889.5999756,0.002722686,-0.004455136,-0.0014214,-0.007103816,0.011820871,0.001554253,-0.010286781,-0.01234344,0.005978452,-0.008037312,0.007003916,0.005401214,0.005788166,-0.013351862,-0.00038853,-0.008984933,0.001388229,0.007137233
888.7999878,-0.004080948,0.009349414,-0.008918546,-0.003678923,0.00047392,-0.015359512,-0.001500396,-0.000519635,-0.00050407,-0.006887658,0.007756469,-0.00340861,-0.010397292,-0.000270579,0.007982131,0.015763979,0.003751241,0.00798511
888,0.001272631,0.002664367,-0.004329007,0.002246672,0.000373229,-1.17E-05,-0.006060904,-0.000630021,-0.012045839,0.002553376,-0.002973517,0.005199471,-0.007009327,-0.00899467,-0.004866785,-0.008444718,-0.003530436,-0.004983085
887.2000122,-0.011226989,0.011244641,-0.004620314,0.017328402,-0.000133137,-0.000164862,-0.006997559,-0.005710785,-0.004551002,-1.89E-05,-0.006118439,-0.005637456,0.00179322,-0.003905303,-0.004285538,-0.00755601,0.002223176,-0.009237049
886.4000244,0.010409737,0.009181229,-0.001418871,-0.00194042,-0.004450678,0.005055302,0.003929795,0.002541711,0.005809022,0.002805321,0.012480259,-0.001098246,0.009284592,0.000887916,0.020403331,0.005683508,0.005760884,-0.001964901
885.5999756,-0.003948092,-0.005075406,-0.002535467,-0.006613727,-0.00590848,-0.017128991,-0.002968119,-0.004784763,0.004427664,0.001897101,-0.00746223,0.006435719,-0.002385661,-0.006926537,-0.00016626,-0.0035177,-0.008753625,-0.005105749
884.7999878,0.011210533,0.020252617,0.008946964,0.019312132,0.014784597,0.007886986,0.007384743,0.0176745,-0.000906977,0.010327498,0.005468107,0.018181801,0.019316409,0.007033197,0.009674042,0.010684376,0.020532766,0.007941714
884,0.000919043,0.003802603,0.004237769,0.001226161,0.001928639,-0.001077538,0.007709854,0.004777107,-0.001132018,0.012045169,0.006821227,-0.000985344,-0.00398503,-0.009779368,0.002194036,0.004900396,0.002517809,-0.00013381
883.2000122,0.007904964,0.010079579,0.014804496,0.002728808,0.003433696,-0.00289124,-0.000170038,0.005021284,-0.004094693,-0.001146321,0.001378387,0.003992229,0.00750535,0.019225594,0.005978872,0.014816201,-8.95E-05,0.001907579
882.4000244,0.002510831,0.005778959,-0.001787883,-0.005154866,-0.004435561,0.001696848,-0.00331393,0.002066389,-0.00507469,-0.007090013,-0.01483758,-0.004030734,-7.87E-06,-0.002671482,-0.002391943,-0.006287884,-0.005654831,-0.004522004
881.5999756,0.012161727,0.012622517,-0.003670658,0.017287025,0.013676205,0.004509473,0.009844536,0.009372452,0.013057919,0.01358974,0.008864262,0.012241518,0.009592525,0.00317299,0.000863612,0.016382879,0.015758934,0.001789945
880.7999878,-0.00590281,-0.006994247,0.00569754,-0.003381128,0.008389389,-0.001815672,-0.000117558,0.008712797,-0.00108642,-0.005253238,-0.00031378,-0.006017199,-0.007841296,0.000499368,0.001414328,0.013903467,-0.000320764,1.46E-05
880,0.000520076,-7.46E-06,0.007949729,0.002499376,-0.000843529,0.010427926,-0.008249089,0.002565328,-0.005424044,-0.000581424,0.004253794,0.002511404,-0.00390125,0.00337069,0.001666184,0.00099638,-0.00069195,-0.001897793
879.2000122,0.003829187,0.008753524,-0.001337692,-0.004744668,0.000262071,0.008412376,0.011185617,0.002580536,0.006130646,0.002177776,0.002714221,0.006325336,0.003384882,0.003939486,0.011685657,0.005600272,0.000430516,0.014663986
878.4000244,-0.002758483,-0.001647619,0.004842516,-0.001727915,0.002517757,0.006864592,0.003716489,0.003481002,0.00512408,0.004967473,0.011438156,-0.003976411,0.005975512,0.007359335,0.002403992,0.005797715,0.000820869,0.006151098
877.5999756,-0.0129123,0.003328952,-0.004415984,-0.007430829,-0.003049662,-0.005853676,0.001389761,-0.001175288,-0.004165411,-0.000788185,-0.005520003,-0.001274926,-0.000786428,-0.001445343,-0.007695548,-0.002084711,-0.006036499,0.000643795
876.7999878,-0.000347716,-0.00106881,-0.006196432,-0.006635448,-0.005196612,-0.002399924,0.000206904,-0.003395717,-0.007458463,-0.012779959,-0.004622055,-0.001105941,-0.000916379,-0.001843615,0.00223707,-0.001914081,0.001759872,-0.006617704
876,-0.007799346,-0.003567306,-0.007158616,-0.006766515,-0.001026666,-0.00430635,-0.014171581,-0.007989993,-0.003672608,-0.00992791,-0.005567796,-0.008990613,-0.009906403,-0.013089163,-0.000990613,-0.009190368,-0.01036585,-0.01014342
875.2000122,-0.004329007,0.001668445,0.001133731,-0.002009582,-0.001775405,-0.008516864,-0.008639296,-0.003266351,-0.001438273,-0.008371393,-0.006194084,-0.000568343,-0.008224198,0.001794831,-0.005876814,0.000217574,-0.004721162,-0.005050127
874.4000244,0.000888201,0.010913582,-0.002803751,-0.001419387,-0.003109858,0.003727115,-0.009004761,0.01196137,-0.000596107,0.005419981,-0.009577806,0.001722291,0.002516742,-0.002002471,-0.004405427,-0.001078261,0.005695599,-0.004837398
873.5999756,0.005836648,0.005033907,0.000392116,0.00737658,0.003149105,0.002153868,0.00211516,0.000655772,0.002174732,0.007532347,-0.000162482,0.001561917,0.007482332,0.006300778,-0.000676908,0.005343635,0.00741713,0.006558507
872.7999878,0.010016501,0.009368459,0.003541806,0.004728822,0.000656965,0.004022117,0.005209112,0.009148791,0.003269064,0.002329242,0.005543531,0.00123722,0.006749393,0.000535445,0.003369229,-0.001476972,0.005875716,0.007909841
872,0.012074392,0.010101198,0.009383562,0.003983321,0.008006732,0.003570567,0.008603815,0.01102049,0.000834355,0.007389798,0.008976825,0.007656526,0.006793618,0.007404149,0.008885478,0.007710487,0.010105225,0.007523524
871.2000122,0.005055564,0.006589624,0.001840556,0.003030927,0.004448455,0.007386402,-0.001431514,0.005376525,0.004383706,0.005111167,0.006231288,0.006247912,0.001665093,-0.000118335,0.001576206,0.009838472,-0.000161395,0.006389403
870.4000244,-0.002177599,-0.002569384,-0.001143688,-0.003580759,-0.001270952,-0.00891601,-0.003891655,-0.007382325,0.001926377,-0.004408245,-0.011406002,0.002207955,-0.007257094,-0.004887263,0.000842162,0.005579452,-0.00786077,-0.005228686
869.5999756,-0.00126166,0.001424717,0.003209811,-0.001136046,0.000442073,-0.001832324,0.00177947,0.002834997,0.003218495,0.002215683,0.001473727,0.003311214,0.00534809,-0.002324644,0.004719924,-0.000172936,-0.001548995,0.002821136
868.7999878,0.002645146,0.008787598,0.003143291,0.007753017,0.001809804,0.00442973,0.004318706,0.003847364,0.002052526,-7.94E-05,0.001302384,0.004784592,0.00047405,0.001750931,0.002725265,0.002797036,-0.000239897,0.00478946
868,0.003415145,0.001706412,0.006735564,0.005322618,-0.002575972,0.004053836,0.001452377,0.005203479,0.001640745,0.004564875,-6.96E-05,0.00368315,0.001080296,0.000780801,0.00363188,-0.001477746,0.003777326,0.005572897
867.2000122,-0.003505324,0.002864519,-0.006640597,-0.000246623,-0.004947461,-0.003757099,-0.005075457,-0.005336655,0.00206808,-0.000667397,-0.003230072,0.004508322,-0.003023237,0.001415964,0.000696632,-0.001111724,-0.004636552,-0.003443692
866.4000244,0.000843899,0.002596967,-0.002286072,0.003156485,0.002124862,-0.001224232,-0.000598227,-0.002517915,0.001157064,0.006902305,0.003830467,0.00952174,0.001625311,0.002138831,0.0038821,0.001710778,0.002952549,0.003685891
865.5999756,0.001980462,0.008129437,0.002711095,0.001448455,0.007746666,0.003773931,0.007029435,0.006016167,0.005274324,0.001222657,0.005158316,0.005311219,0.005616162,0.007640481,0.002086287,0.001942706,0.007596882,0.004349479
864.7999878,-0.006133906,-0.002709454,-0.004262622,-0.004420648,-0.007458158,-0.004050636,-0.005846984,-0.003263628,-0.001209725,-0.004117771,-0.001684752,-0.004600336,-0.002274072,-0.005185818,-0.006093476,-0.008213225,-0.008332339,-0.006073259
864,-0.004257342,0.000553769,-0.002898182,-0.001406022,0.000483767,0.000232855,-0.00327858,-0.005247049,0.000912532,-0.006908295,-0.003053878,0.000144261,-0.006924652,0.004099878,-0.001997627,-0.006533054,0.000188646,-0.002925747
