,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3
wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
900,0.000786065,900,-0.018421577,900,-0.017172886
899.2000122,-0.015743483,899.2000122,-0.029116536,899.2000122,-0.006853464
898.4000244,0.017160062,898.4000244,-0.011125723,898.4000244,0.02478254
897.5999756,-0.013327713,897.5999756,-0.005844481,897.5999756,-0.012255721
896.7999878,-0.039069511,896.7999878,-0.048600066,896.7999878,-0.016322222
896,-0.013070425,896,-0.015071671,896,-0.008515595
895.2000122,-0.014449601,895.2000122,0.006245679,895.2000122,0.019164123
894.4000244,0.0027286,894.4000244,-0.030311171,894.4000244,-0.02664832
893.5999756,0.012485614,893.5999756,0.011590389,893.5999756,0.01856805
892.7999878,-0.008172734,892.7999878,-0.006777831,892.7999878,-4.71E-06
892,-0.018342622,892,-0.004794236,892,-0.029831275
891.2000122,-0.00411372,891.2000122,-0.007988418,891.2000122,-0.0266844
890.4000244,-0.015309835,890.4000244,-0.002395444,890.4000244,-0.018009122
889.5999756,0.021556441,889.5999756,0.01852723,889.5999756,-0.001917483
888.7999878,-0.007164166,888.7999878,-0.010076653,888.7999878,-0.007803923
888,-0.006163664,888,-0.009313421,888,0.006737536
887.2000122,-0.016843617,887.2000122,-0.006885925,887.2000122,-0.012963307
886.4000244,-0.013330877,886.4000244,-0.000658247,886.4000244,-0.011916154
885.5999756,-0.017038053,885.5999756,-0.023973897,885.5999756,-0.019888844
884.7999878,0.014563003,884.7999878,0.006487163,884.7999878,-0.002266553
884,-0.000643204,884,-0.002211338,884,-0.013792986
883.2000122,-0.00046125,883.2000122,-0.008430501,883.2000122,-0.015060971
882.4000244,-0.013422645,882.4000244,-0.005984622,882.4000244,-0.0166901
881.5999756,-0.007333866,881.5999756,-0.005527415,881.5999756,-0.016993996
880.7999878,-0.003212086,880.7999878,-0.016549684,880.7999878,-0.011028673
880,-0.005377667,880,-0.018590804,880,-0.013461244
879.2000122,-0.004188178,879.2000122,-0.007320019,879.2000122,-0.009111643
878.4000244,-0.001849079,878.4000244,-0.003562736,878.4000244,-0.01323472
877.5999756,-0.006252571,877.5999756,-0.007582059,877.5999756,-0.013211267
876.7999878,-0.006057483,876.7999878,-0.010043317,876.7999878,-0.01919286
876,-0.008016576,876,-0.004310246,876,-0.018263603
875.2000122,-0.012480343,875.2000122,-0.007287183,875.2000122,-0.007930927
874.4000244,-0.010509846,874.4000244,-0.01682768,874.4000244,-0.019353814
873.5999756,-0.0025349,873.5999756,-0.004346896,873.5999756,-0.006740876
872.7999878,-0.00353023,872.7999878,-0.009756031,872.7999878,-0.012072376
872,-0.005794165,872,-0.013402817,872,-0.013480116
871.2000122,-0.01150322,871.2000122,-0.012396274,871.2000122,-0.016678391
870.4000244,-0.004947512,870.4000244,-0.017945293,870.4000244,-0.012997274
869.5999756,-0.007949837,869.5999756,-0.004796182,869.5999756,-0.013238486
868.7999878,-0.000604948,868.7999878,-0.005794522,868.7999878,-0.005523223
868,-0.002430711,868,-0.003987184,868,-0.005198249
867.2000122,-0.006407119,867.2000122,-0.011009997,867.2000122,-0.012499911
866.4000244,0.000501157,866.4000244,-0.00230971,866.4000244,-0.014630093
865.5999756,-0.002263359,865.5999756,-0.006350745,865.5999756,-0.00366999
864.7999878,-0.002381388,864.7999878,-0.006582775,864.7999878,-0.011819784
864,-0.003781119,864,-0.005536769,864,-0.008121924
863.2000122,-0.000958276,863.2000122,-0.005544845,863.2000122,-0.005902147
862.4000244,-0.00564318,862.4000244,-0.006647787,862.4000244,-0.009882922
861.5999756,-0.002318258,861.5999756,-0.008565902,861.5999756,-0.012300866
860.7999878,-0.006240987,860.7999878,-0.010143673,860.7999878,-0.014861295
860,-0.006124207,860,-0.009137447,860,-0.011452496
859.2000122,-0.004305428,859.2000122,-0.007702618,859.2000122,-0.007289016
858.4000244,-0.009252862,858.4000244,-0.012983054,858.4000244,-0.013484382
857.5999756,-0.004932924,857.5999756,-0.009241154,857.5999756,-0.009821785
