wavelength (nm),DOMBlank1,DOMSTD36,DOM11560
900,0.030359458,0.006824199,0.029943142
899.2000122,0.008124479,0.011934576,-0.010914082
898.4000244,0.005764216,-0.017278971,-0.03719319
897.5999756,0.010414218,0.002739488,0.00322332
896.7999878,0.008434467,-0.01220136,0.006881212
896,-0.010082825,-0.012778752,0.01075015
895.2000122,0.014093011,-0.006202353,0.001281873
894.4000244,-0.013668287,-0.006485265,-0.006958534
893.5999756,-0.013652082,-0.040651914,-0.040374983
892.7999878,-0.02809179,-0.023038084,-0.025084484
892,-0.038124017,-0.028861072,-0.037464887
891.2000122,-0.012100371,-0.032937996,-0.018581975
890.4000244,-0.033807293,-0.025864033,-0.018013792
889.5999756,-0.003430903,0.000177433,-0.001220257
888.7999878,-0.013646413,-0.007948719,-0.019794624
888,-0.018542686,-0.003603915,-0.011209835
887.2000122,0.004608904,-0.002272578,2.01E-05
886.4000244,-0.016087256,-0.023404978,-0.022357112
885.5999756,0.00182605,-0.006795364,-0.013402164
884.7999878,-0.0078747,0.003019275,-0.007661825
884,-0.018318402,-0.015656549,-0.025238533
883.2000122,-0.005079346,-0.013609135,-0.017615765
882.4000244,0.002496043,-0.000840118,-0.014174888
881.5999756,-0.008010884,-0.012084611,-0.007316507
880.7999878,-0.006150444,-0.012532506,-0.015573992
880,0.000643899,0.00137257,-0.008892171
879.2000122,-0.017470278,-0.015256105,-0.0226353
878.4000244,-0.014744358,-0.013063242,-0.020057254
877.5999756,-0.011028723,-0.024707317,-0.017656429
876.7999878,-0.009589048,-0.002474573,-0.00827017
876,-0.011686402,-0.008923262,-0.015077623
875.2000122,-0.011643209,-0.009472962,-0.020877846
874.4000244,-0.016925784,-0.011310376,-0.018909184
873.5999756,-0.001144721,-0.016113298,-0.011120525
872.7999878,-0.013680878,-0.012119805,-0.014106182
872,-0.013673253,-0.018255064,-0.012256828
871.2000122,-0.011935193,-0.009008666,-0.017983096
870.4000244,-0.004947256,-0.014905419,-0.021664631
869.5999756,-0.004803657,-0.004390308,-0.010496201
868.7999878,-0.004187613,-0.009478535,-0.016362708
868,-0.011029328,-0.009773242,-0.014882308
867.2000122,-0.002182544,-0.005334251,-0.005865373
866.4000244,-0.006929237,-0.008662235,-0.009246882
865.5999756,-0.006564774,-0.009782658,-0.014334607
864.7999878,-0.004862024,-0.007635424,-0.013195849
864,-0.008533414,-0.007605664,-0.011885377
863.2000122,-0.010543854,-0.006876193,-0.01414893
862.4000244,-0.00830862,-0.009376707,-0.014937835
