wavelength (nm),DOMBlank1,DOMSTD37,DOM12686,DOM12685
900,-0.022905108,-0.019794872,-0.017583003,-0.020042175
899.2000122,-0.031652536,-0.024960542,-0.005130922,-0.008231157
898.4000244,-0.024959808,-0.033478178,-0.028828371,-0.002549621
897.5999756,0.014399449,0.021381397,0.013741472,-0.002284527
896.7999878,0.009678356,-0.000858978,0.00530527,-0.001921091
896,0.011890782,-0.01421332,-0.005217125,0.017417097
895.2000122,-0.028118189,-0.010224133,-0.013169632,-0.003894888
894.4000244,-0.03980742,-0.048045982,-0.025458835,-0.03714538
893.5999756,-0.018305397,-0.014121919,-0.024257416,-0.014432274
892.7999878,0.013926908,-0.006090617,0.000659117,-0.016882662
892,0.000462025,-0.009993232,-0.005674659,-0.018553948
891.2000122,-0.013934245,-0.011053,-0.009167052,-0.023089632
890.4000244,-0.003185722,-0.025877789,-0.014415196,-0.005683754
889.5999756,-0.02525861,-0.024706192,0.000618779,-0.020369869
888.7999878,-0.00187104,0.000868799,-0.012165015,-0.0244698
888,-0.025110481,-0.025996789,-0.027620463,-0.025078963
887.2000122,-0.007015083,-0.004539987,-0.020281039,-0.030735215
886.4000244,-0.004170334,-0.009945822,-0.014196133,-0.009396366
885.5999756,-0.010424536,-0.019403772,-0.012709876,-0.030014668
884.7999878,0.007205473,0.003354307,-0.011176636,-0.013135277
884,-0.014470282,-0.025149228,-0.011513858,-0.023654552
883.2000122,-0.008211396,-0.016822102,-0.02030357,-0.027576299
882.4000244,0.006332717,-0.001093702,-0.00466334,-0.004366937
881.5999756,-0.009765144,-0.021955419,-0.019436497,-0.029743101
880.7999878,-0.010219025,-0.008823943,-0.019978298,-0.020701462
880,0.000240392,-0.008482341,-0.003675175,-0.013455573
879.2000122,-0.012612022,-0.011792123,-0.016134249,-0.018251142
878.4000244,-0.00594714,-0.01764942,-0.023510925,-0.02050229
877.5999756,-0.006382173,-0.022104628,-0.021249428,-0.021388678
876.7999878,0.006042494,-0.013494571,-0.009573907,-0.013721411
876,-0.001232079,-0.006085869,-0.009039698,-0.015108325
875.2000122,-0.006249713,-0.010635101,-0.002915565,-0.015199418
874.4000244,-0.003724506,-0.006589812,-0.015641967,-0.01442381
873.5999756,-0.009349854,-0.011730498,-0.018325597,-0.01379113
872.7999878,-0.009377772,-0.01210168,-0.02203008,-0.017199112
872,-0.007837279,-0.005695865,-0.014256057,-0.018843554
871.2000122,0.00021716,-0.010404621,-0.012785488,-0.017906247
870.4000244,-0.00747658,-0.010673091,-0.013266456,-0.015077872
869.5999756,-0.000564155,-0.006046149,-0.010965222,-0.011163568
868.7999878,0.000883428,-0.002651723,-0.010517274,-0.007865548
868,-0.006833895,-0.006618571,-0.01654475,-0.01356001
867.2000122,-0.001970931,-0.016198546,-0.020760791,-0.020789811
866.4000244,-0.003754841,-0.005865832,-0.008590165,-0.011712407
865.5999756,-0.006447163,-0.00818828,-0.01554527,-0.01706996
864.7999878,-0.004711842,-0.010993743,-0.012297142,-0.012588234
864,0.001077415,-0.010015138,-0.009284891,-0.01172954
863.2000122,-0.003505375,-0.006504902,-0.014192676,-0.021057857
862.4000244,-0.001542546,-0.010470124,-0.0134629,-0.018158253
861.5999756,-0.008024403,-0.012287227,-0.018863482,-0.019629676
860.7999878,-0.005131229,-0.010575889,-0.010425294,-0.012163756
860,-0.00401868,-0.007182652,-0.010659452,-0.010795269
859.2000122,-0.00572785,-0.009027072,-0.016064007,-0.019545842
858.4000244,-0.003655924,-0.007289067,-0.011236675,-0.01635124
857.5999756,-0.003436142,-0.007315591,-0.009114178,-0.010784714
856.7999878,4.53E-06,-0.010622269,-0.008759105,-0.013384193
856,0.001677098,-0.001708474,-0.004521287,-0.015352065
855.2000122,-0.003100297,-0.007079113,-0.014140361,-0.017248821
854.4000244,-0.004996852,-0.009179876,-0.010046201,-0.01497605
853.5999756,-0.007914914,-0.009773698,-0.017518563,-0.016752867
852.7999878,-0.003061897,-0.006601999,-0.010683951,-0.013122116
852,-0.004607251,-0.008652694,-0.010240871,-0.015477731
851.2000122,-0.004351663,-0.011773128,-0.014000973,-0.017890597
850.4000244,-0.002598771,-0.006429157,-0.014282209,-0.015112825
849.5999756,-0.0039977,-0.00700194,-0.009166189,-0.013252094
848.7999878,-0.003349123,-0.005439689,-0.009242372,-0.011486531
848,-0.004925246,-0.003645862,-0.011079395,-0.0143589
847.2000122,-0.005109484,-0.010903126,-0.010755625,-0.014992154
846.4000244,-0.007076108,-0.009692648,-0.012630025,-0.017783469
845.5999756,-0.004767661,-0.008785538,-0.008856917,-0.013574111
844.7999878,-0.004522465,-0.011181783,-0.012062154,-0.013468372
844,-0.006381203,-0.012186057,-0.011894393,-0.014727494
