wavelength,DOMBlank1,DOM11188,DOM11392,DOM11339,DOM11372,DOM11381,DOM11382,DOM11385,DOMBlank2,DOM11389,DOM11393,DOM11394,DOMBlank3
900,-0.003305555,-0.009690421,-0.005535185,-0.014539081,-8.73E-05,-0.011250297,0.002792398,-0.010967746,-0.003429002,-0.009186465,-0.001198986,-0.009172475,-0.008017745
899.2000122,0.012689145,0.019228624,0.006052731,0.021112356,0.015046205,0.010815961,0.013172802,0.004516169,0.015830528,0.008297795,0.009404909,0.003801454,0.027104026
898.4000244,-0.00027001,-0.003663162,-0.000292413,0.000633633,-0.000812008,0.002570406,0.002220496,0.016222456,0.004075837,0.003307301,-0.002976654,0.001851396,0.008578178
897.5999756,0.000356337,0.001056552,-0.004575388,0.005428709,0.002851256,0.002719092,0.001127087,0.000413959,0.000383437,-0.00026018,-0.01474626,-0.002246621,-0.000937457
896.7999878,0.012714067,0.01315279,0.016404573,0.015607299,0.008125376,0.019229192,0.009810088,0.007623305,0.010567842,0.014760359,0.008631355,0.008811743,0.010975595
896,-0.003429105,-0.006813508,-0.007376064,-0.002494751,-0.007970272,-0.012259597,-0.007532655,0.003998552,-0.00397241,-0.00451232,-0.001305588,-0.006685718,-0.012051831
895.2000122,0.003854912,-0.018856443,-0.016899642,-0.013789977,-0.00427749,-0.012320191,-0.009135977,-0.009285601,-0.006671086,-0.008305319,-0.000361477,-0.01326485,-0.01596491
894.4000244,-0.003553441,0.000171347,-0.002450377,-0.003443025,-0.001478985,-0.001675005,-0.003415185,-0.007612532,-0.00750411,0.002180924,-0.000960084,-0.000415737,0.009174752
893.5999756,0.002782056,0.000877073,0.005452956,0.00335895,0.006473553,0.003821928,0.004413412,0.005671103,0.002533822,0.004699487,0.00303296,0.011566674,0.007457709
892.7999878,0.010631052,-0.00047692,0.004407162,0.004977738,0.001022456,0.00129514,0.008101982,0.003047089,0.002149029,0.005438381,-0.002807301,0.003712233,0.003412276
892,-0.014728294,-0.017002758,0.000404009,-0.014244935,-0.012919788,-0.00860996,-0.009996925,-0.00641722,-0.005882994,-0.00446231,-0.007888021,-0.006944828,-0.009294469
891.2000122,0.004294967,-0.001416549,-0.004584046,-0.000853811,0.001590261,0.002845081,0.000528732,0.003174111,-0.000744463,0.008195882,-0.000851228,0.008740318,0.003403222
890.4000244,-0.008930515,-0.007275372,-0.005694383,-0.009297458,-0.006828085,-0.005616963,-0.000294793,0.000868955,-0.005821392,-0.00237593,-0.008719933,-0.01258582,-0.007440397
889.5999756,-0.002455114,0.002268399,-0.001365304,-0.009152503,-0.010527583,0.001053853,-0.002158538,-0.000212368,-0.002003656,-0.002260269,-0.003194561,-0.003103022,-0.003458485
888.7999878,-0.002561098,0.002439993,-0.004052328,0.002171792,0.00069938,-0.00447261,-0.003974102,0.00254356,-0.002255582,0.00180107,-0.002885274,-0.000305347,-0.004284871
888,0.001914651,-0.004337721,-0.005086459,-0.003337769,-0.001509889,-0.003546406,-0.008099921,-0.001854905,-0.002635668,-0.000686988,-0.003218921,-0.003262446,-0.002686301
887.2000122,0.000148663,0.000932429,0.001693054,0.001712233,-0.002443325,0.001894657,0.000626711,0.00115779,0.000929576,0.001471831,0.005695074,-0.002867222,-0.005273032
886.4000244,-0.00041584,-0.002946265,-0.002510503,-0.003648942,-0.006696832,-0.004952682,-0.002957423,-0.002861513,-0.006085103,-0.000825237,-0.006451397,-0.005161313,0.000769417
885.5999756,-0.003645862,-0.003655616,-0.00430066,-0.004490851,-0.001435281,0.002685933,-0.000672049,-0.007413983,-0.003799133,0.001391735,0.000698706,-0.001948254,-0.001589334
884.7999878,-0.001223819,0.002583999,0.002496902,0.003168818,0.001683153,-0.000568136,-0.00112954,-0.004131925,-0.000633795,0.00160585,0.002078926,0.003297703,-7.98E-05
884,-0.004131207,-0.00096277,-0.004050995,-0.005780831,-0.004334902,-0.002327476,-0.00219228,-0.004547826,-0.004888747,-0.001594492,0.000331286,-0.004589732,-0.003135456
883.2000122,-0.003967587,0.005583595,-0.000703476,-0.003143166,-0.000921804,0.004871206,-0.003239682,0.002662857,0.001078764,0.002887163,-0.000436684,-0.004641827,0.003631619
882.4000244,0.007780951,0.004357951,0.004942757,0.004142056,0.00130672,0.004147884,0.002959274,0.002741728,0.006017532,0.001517287,0.001884309,0.005345207,0.00349358
881.5999756,0.005403494,0.002971784,0.004195216,0.00854647,0.002837863,0.001266738,0.004462185,0.008197965,0.000413751,0.004985488,0.005557453,0.004925189,0.002698644
880.7999878,0.004300588,0.002645615,0.005440164,0.001141647,0.007363364,0.005151925,-0.000690192,0.003912843,0.001161424,-0.002914639,0.005352676,0.005064835,0.002426092
880,0.000861147,0.001113825,0.00129566,0.000821828,0.002526011,-0.002632272,-0.000434253,-0.002073118,0.001678735,0.000548171,0.002837837,0.000964183,-0.001210861
879.2000122,0.001481623,0.003863557,0.000212058,0.00130228,0.002741572,0.001977238,-0.000822136,-0.001169505,0.00223426,0.000790137,0.001121663,-0.000117662,-0.005475119
878.4000244,-0.007613194,-0.00211887,-0.004807753,-0.002473698,-0.001758854,-0.005381144,-0.001641791,-0.003504399,-0.006097968,-0.003174775,-0.00266752,-0.000495278,-0.001476353
877.5999756,0.000624871,-0.001338724,0.003806442,-0.001080068,0.003028294,-0.001768444,0.000940938,0.001251654,-0.000990871,0.002015544,-0.000499829,0.001097942,0.001494636
876.7999878,0.0037191,0.001518014,0.002981714,0.001414069,0.000295977,-0.001816549,0.000471821,0.001813859,0.00028401,-0.001026821,-0.00045913,0.000359705,0.001934047
876,-0.002408522,-0.001858204,-0.00225208,-0.003880829,-0.005048234,-0.000388944,-0.004055765,-0.002315632,-0.001527224,-0.000317608,-0.005962511,-0.002178475,-0.004838832
875.2000122,0.006668686,-0.001334492,0.004913616,0.000630029,0.004212833,-0.002637006,0.000830283,0.001528431,-0.000880679,0.001978954,0.000179427,0.000496207,0.000236844
874.4000244,0.001162385,-0.00326928,-0.001234816,-0.001493896,0.002376272,-4.06E-05,0.000527125,0.001042695,-0.001065298,-0.001849388,0.000817082,0.002313054,0.00054506
873.5999756,-0.001459378,-0.003652998,-0.003763823,-0.000885432,-0.001701358,-0.001901762,0.000405615,-0.000163672,-0.002578391,-0.000411495,-0.001784944,-0.001107955,-0.002121961
872.7999878,-0.001366233,-0.003525968,0.000306728,-0.00128747,0.00092929,0.000247696,-0.002079404,0.001156674,-0.002753544,-0.004692482,-0.004012063,0.000456687,-0.001946347
872,0.0001765,-0.001187266,-0.002475396,0.000328747,0.00262715,-0.000981625,0.001155688,-0.000345389,-0.000578735,-0.001082082,-0.000867504,-0.001395752,-0.0011157
871.2000122,-0.002446928,-0.000240569,-0.001029661,-0.000715158,-0.004152745,-0.002434933,-0.002444148,-0.003922697,-0.004785685,-0.003770033,-0.00222983,-0.004621697,-0.004638293
870.4000244,-0.001417271,-0.00230147,-0.000746427,-0.002121961,-0.003477488,-0.002017467,0.00146274,-0.000362615,-0.001768083,-0.002294363,-0.002583846,-0.000732214,-0.001043348
869.5999756,-0.00154884,-0.002449502,0.002622566,-0.00062268,-0.002839088,0.000787129,-0.000836191,-0.000552521,-0.001914133,0.000619453,-0.00304303,-0.002039883,-0.002058536
868.7999878,-0.00034425,-0.000353096,0.001650619,0.001569893,-0.000205434,-0.000251539,0.000475889,0.001062935,0.001175103,0.002102882,0.001004267,0.002595743,0.001631729
868,-0.001863307,-0.000429184,-0.00026137,-0.000443924,-0.0021182,0.001505806,-0.00041884,-0.002074457,-0.001468768,-0.000232083,0.000372944,-0.004416138,-0.000567619
867.2000122,-0.00294755,-0.00165453,-0.003313776,-0.003599294,-0.003242354,-0.002577825,-0.002899828,-0.002547047,-0.005652174,-0.00480934,-0.003520114,-0.003331039,-0.003512667
866.4000244,-0.004523695,-0.003981541,-0.003124765,-0.001250664,-0.002586831,-0.00122129,-0.002755036,-0.002453003,-0.003928648,-0.003679077,-0.002758483,-0.004029555,-0.004295791
865.5999756,0.00021703,0.001409965,0.001106013,0.002251199,0.000347606,0.001617334,0.00122354,0.000709441,0.000765449,0.000998274,0.001647215,0.003136277,0.001885427
864.7999878,0.00359779,0.003432861,0.005002823,0.002600978,0.001756233,0.003875597,0.003942986,0.001539394,0.003071932,0.003792027,7.86E-05,0.003898947,0.0020834
864,0.003290452,0.001564775,0.002970324,-3.89E-05,0.00336555,0.004355623,0.002615405,0.004329451,0.003246974,0.000899848,0.000811895,0.002195207,0.004154914
863.2000122,0.003063981,0.003237454,0.001370674,0.000175672,0.002098668,0.002935062,0.001402174,0.003667016,0.002296556,0.001101549,0.000689684,0.001237298,0.002608946
862.4000244,0.003173851,0.001885375,0.003044534,0.00235204,0.004169184,0.004993029,0.002541269,0.002339756,0.002021135,0.001120546,0.00151643,0.001270216,0.00225963
861.5999756,-0.000169416,-0.001028577,-0.00035439,0.001349978,-0.00060107,0.000414554,0.000505329,-0.000237775,-0.000455716,-0.00032035,0.00088597,-0.000561828,0.000249846
860.7999878,0.000576812,0.000492993,0.001360858,0.000226121,0.000643121,0.001199087,0.001506793,-0.000224632,-0.000930535,-0.000148094,0.00088597,-0.000357028,-0.001098349
860,0.000456791,0.00065948,0.001353094,0.002567307,0.003572316,0.001782823,0.001553136,-0.000407823,0.000762778,0.002042825,-0.000186442,-0.000155443,0.000741567
859.2000122,-0.001105476,-0.000265819,0.000478274,0.00146461,0.000305303,0.001491571,0.000105317,-0.000839292,-0.000879542,0.000342088,-3.06E-05,0.000794442,-0.0011141
858.4000244,0.002409563,0.003337716,0.001897751,0.002567359,0.001151198,0.002347148,0.001092207,0.001575401,0.001309836,0.001653919,0.004137482,0.002691429,0.001411809
857.5999756,-0.000638086,-0.000918239,0.000799317,-0.00040984,0.000678535,-0.000196378,0.001273514,0.000190329,-0.002759769,-0.000839653,-0.000347923,0.001720134,-0.000236326
856.7999878,-0.000572169,-0.000941074,-0.000567981,-0.001351318,0.001044952,0.000482601,0.000212679,0.000580337,-0.00273559,-0.001191552,-0.000265716,-0.001550697,-0.001113118
856,0.001051024,0.001018123,0.000119066,0.001337567,-5.00E-05,0.000134239,-1.08E-05,0.000514115,-0.001290773,0.00112213,-0.000433994,-8.55E-05,0.000638247
855.2000122,-0.00350558,-0.000905375,-0.003830233,-0.00135782,-0.000992937,-0.000875667,0.001377478,-0.002166214,-0.002420775,-0.001741013,-0.002048539,-0.001161244,-0.000802293
854.4000244,0.000746753,-5.69E-05,0.000416005,-8.48E-05,0.000697851,7.18E-05,0.000291703,-0.000511413,-0.0001645,-0.001953666,0.000165054,0.000713096,-0.000323402
853.5999756,-0.000116937,-0.000773715,0.000226924,0.001696043,0.001537783,0.001716027,0.000503593,0.001785084,-0.001253658,4.92E-06,0.000305018,8.96E-05,5.63E-05
852.7999878,0.001150886,0.000756788,0.000946438,-0.000350562,7.94E-05,6.46E-05,0.000162931,0.002041733,-0.000651579,-7.72E-05,5.31E-06,0.000513078,0.001008263
852,0.001119093,9.64E-05,0.001464688,0.000251011,0.001599901,-0.000469525,0.001961064,0.001160516,0.000782564,0.000296832,0.000408103,-0.000877062,-0.000538095
851.2000122,0.000287429,-0.000550866,-0.000556502,-0.000205072,0.000184011,0.001072407,0.000364394,0.000387997,0.000208976,0.002521949,0.00056494,0.000622097,-0.000938387
850.4000244,-0.003210185,-0.001699037,-0.001512985,0.000356052,-0.001173326,0.000377037,-0.000294896,0.000109589,-0.001840212,-0.000882022,-0.000546937,-0.001157423,-0.001583351
849.5999756,0.001274682,0.000256658,0.001147279,0.000755543,0.0008633,0.001678788,0.001428846,0.00145461,-0.000352631,0.002660252,0.002084232,0.000767498,0.000825278
848.7999878,0.001061222,-0.000642997,-0.000823945,-0.001673612,-0.000865644,-0.001293612,0.000553614,2.52E-05,-0.001156493,0.001123894,-0.001449006,-0.001458655,0.000145296
848,5.00E-06,0.000486255,-7.77E-07,0.000237336,0.000176656,-0.000626092,-0.000413823,0.000886256,-0.000474645,0.000458294,-0.00087019,-0.000672773,0.000509709
847.2000122,-8.80E-07,0.001198646,0.001086653,0.001688662,0.001333464,0.001594289,0.001642382,0.000463736,0.000480891,0.000354549,0.000313903,0.000524145,0.000590213
846.4000244,0.000642628,-0.00061141,0.001225746,-0.000613426,0.000289294,0.00040077,0.00044868,0.000426111,-0.000206262,0.000440803,0.000266837,5.13E-05,-0.001611979
845.5999756,-0.001166614,-1.54E-05,0.000434247,0.001167783,-0.000351751,0.000777508,0.000714471,0.001269178,-0.000725443,-0.000951767,0.001066646,0.000671665,0.000923116
