wavelength	v2
200	10
205	10
210	10
215	10
220	10
225	10
230	10
235	10
240	10
245	10
250	10
255	10
260	10
265	10
270	10
275	10
280	10
285	10
290	10
295	10
300	10
305	10
310	10
315	10
320	10
325	10
330	10
335	10
340	10
345	10
350	10
355	10
360	10
365	10
370	10
375	10
380	10
385	10
390	10
395	10
400	10
405	10
410	10
415	10
420	10
425	10
430	10
435	10
440	10
445	10
450	10
455	10
460	10
465	10
470	10
475	10
480	10
485	10
490	10
495	10
500	10
505	10
510	10
515	10
520	10
525	10
530	10
535	10
540	10
545	10
550	10
555	10
560	10
565	10
570	10
575	10
580	10
