Wavelength (nm)	ave
210	12.55446211
210.9299927	11.09410381
212.0299988	7.710696538
212.9600067	11.56701644
214.0599976	11.34898154
215	8.754656474
215.9299927	9.943046251
217.0299988	11.00873248
217.9600067	10.02098433
219.0599976	11.18826167
220	10.42899593
220.9299927	10.50847689
222.0299988	8.568797429
222.9600067	10.26768494
224.0599976	10.4067208
225	10.0441815
225.9299927	9.565463066
227.0299988	10.43354289
227.9600067	9.873257321
229.0599976	9.47314612
230	9.560903231
230.9299927	9.730915069
232.0299988	9.75668494
232.9600067	10.19329739
234.0599976	10.41813914
235	9.326128008
235.9299927	9.573399545
237.0299988	9.455112775
237.9600067	9.709345182
239.0599976	9.527161598
240	9.901486397
240.9299927	9.807515144
242.0299988	9.963427227
242.9600067	10.05240536
244.0599976	9.741448083
245	9.734972637
245.9299927	9.790963491
247.0299988	9.781407355
247.9600067	9.999568305
249.0599976	9.693587621
250	9.845678964
250.9299927	10.0341123
252.0299988	10.05367565
252.9600067	10.23784924
254.0599976	10.05643082
255	10.45944913
255.9299927	9.744261742
257.0299988	9.945145607
257.9599915	10.0529356
259.0599976	10.10469882
260	9.851118087
261.0700073	9.865894317
262	9.914060912
263.0700073	9.342450142
264	9.715345064
265.0700073	9.899056751
266	10.30603345
267.0700073	9.942772865
268	9.592860222
269.0700073	10.0039711
270	10.06328424
270.9299927	10.20234553
272.0299988	9.817218464
272.9599915	9.966720898
274.0599976	9.920858385
275	9.774470329
275.9299927	10.03664748
277.0299988	10.04828549
277.9599915	10.24793752
279.0599976	9.966886519
280	9.610016505
280.9299927	9.933420817
282.0299988	9.855567615
282.9599915	9.798361778
284.0599976	9.966914493
285	9.601642608
285.9299927	9.896139144
287.0299988	10.235617
287.9599915	10.21962833
289.0599976	10.24524021
290	10.08855883
291.0700073	9.798577944
292	10.13981756
293.0700073	9.995223364
294	9.817912101
295.0700073	10.04888407
296	9.987631483
297.0700073	10.27433141
298	9.975368182
299.0700073	10.56136131
300	9.889146486
300.9299927	10.18618043
302.0299988	10.18709564
302.9599915	9.914572397
304.0599976	10.04306857
305	10.42685509
305.9299927	10.24330966
307.0299988	9.692542712
307.9599915	10.34250323
309.0599976	10.74022166
310	10.27609603
311.0700073	9.974915821
312	10.48254045
313.0700073	10.36935902
314	10.41250292
315.0700073	10.31671238
316	10.45848815
317.0700073	10.28308106
318	9.919621469
319.0700073	10.7366457
320	10.51656373
321.0700073	10.65256627
322	10.04011758
323.0700073	10.42459361
324	10.76104578
325.0700073	10.2771279
326	10.44336764
327.0700073	10.31663831
328	11.38867156
329.0700073	10.36155192
330	10.592549
330.9299927	10.45412
332.0299988	10.36539205
332.9599915	10.80095482
334.0599976	10.35844866
335	10.55219873
335.9299927	10.96975803
337.0299988	11.07643
337.9599915	11.08473269
339.0599976	10.93550237
340	10.93898869
341.0700073	11.0116787
342	10.94720936
343.0700073	11.53154373
344	11.08821869
345.0700073	10.91342036
346	10.69104608
347.0700073	10.78347588
348	10.83330568
349.0700073	11.0558246
350	11.1255614
351.0700073	10.57980474
352	10.77384408
353.0700073	10.8363568
354	10.72871081
355.0700073	10.45717462
356	10.4896183
357.0700073	10.43500106
358	10.78396861
359.0700073	10.56082185
360	10.30094211
361.0700073	10.24210962
362	10.49597899
363.0700073	10.35806847
364	10.54402479
365.0700073	10.59307639
366	10.77671814
367.0700073	10.71271197
368	10.41756026
369.0700073	10.55917072
370	10.46235021
371.0700073	10.85418161
372	10.09300868
373.0700073	10.41241042
374	10.87641239
375.0700073	10.70416641
376	10.79112307
377.0700073	10.93492571
378	10.89109611
379.0700073	10.14204534
380	10.85402075
381.0599976	10.76781336
381.9599915	11.13502375
383.0299988	10.6572361
383.9299927	10.49755033
385	10.85411803
386.0599976	10.5582339
386.9599915	10.46126747
388.0299988	10.77156258
388.9299927	10.4057827
390	10.47514216
391.0700073	10.55051581
392	10.70669556
393.0700073	10.34590657
394	10.67611694
395.0700073	10.60254447
396	10.50362492
397.0700073	10.25215181
398	10.45936267
399.0700073	10.73911349
400	10.30945079
401.0700073	10.77963638
402	10.74895477
403.0700073	10.38668315
404	10.40503375
405.0700073	10.6354173
406	10.22011343
407.0700073	10.6528689
408	10.34134642
409.0700073	10.52967326
410	10.35972023
411.0599976	10.21323204
411.9599915	10.64990234
413.0299988	10.50311406
413.9299927	10.6854442
415	10.65182622
416.0599976	10.68590546
416.9599915	10.63867315
418.0299988	10.66071002
418.9299927	10.72186979
420	10.40791702
421.0599976	10.73479017
421.9599915	10.57922586
423.0299988	10.83125559
423.9299927	10.51957798
425	10.59156068
426.0599976	10.52546183
426.9599915	10.66519292
428.0299988	10.49690787
428.9299927	10.89654446
430	10.71025848
431.0700073	10.86905606
432	10.82007599
433.0700073	11.14208253
434	10.86234283
435.0700073	10.96726863
436	11.54043261
437.0700073	10.89419365
438	11.41778088
439.0700073	11.39216042
440	11.62705135
441.0599976	11.56328456
441.9599915	11.50899919
443.0299988	11.57998689
443.9299927	11.54287275
445	11.93665059
446.0599976	11.71835741
446.9599915	11.73448594
448.0299988	11.69717503
448.9299927	11.89804014
450	11.77135277
451.0599976	11.91745249
451.9599915	11.84963258
453.0299988	11.81149737
453.9299927	11.75957457
455	11.50487041
456.0599976	11.86487643
456.9599915	11.55916151
458.0299988	11.51863035
458.9299927	11.53912131
460	11.69511382
461.0400085	11.08003044
461.9400024	11.44879277
462.980011	11.37498061
464.019989	11.60390472
465.0700073	11.33065574
465.9700012	11.31552633
467.0100098	11.08851242
468.0499878	11.25907675
468.9500122	11.55378469
470	11.34839757
471.0599976	11.29358609
471.9599915	11.25521692
473.0299988	11.5684185
473.9299927	10.93921216
475	11.05488841
476.0599976	10.88276736
476.9599915	11.19329262
478.0299988	11.00899442
478.9299927	11.14195124
480	11.062898
