Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-7806	DOM11173	2012-1-53 HOH 230	2012-1-53	HOH 230
930-7806	DOM11174	2012-1-62 HOH 359	2012-1-62	HOH 359
930-7806	DOM11175	2012-1-56 HOH 392	2012-1-56	HOH 392
930-7806	DOM11176	2012-1-54 HOH 459	2012-1-54	HOH 459
930-7806	DOM11177	2012-2-1 HOH 479	2012-2-1	HOH 479
930-7806	DOM11178	2012-1-26 HOH 542	2012-1-26	HOH 542
930-7806	DOM11179	2012-2-42 HOH 719	2012-2-42	HOH 719
930-7806	DOM11180	2012-1-33 HOH 745	2012-1-33	HOH 745
930-7806	DOM11181	2012-2-26 Ninnasjuhanajavri	2012-2-26	Ninnasjuhanajavri
930-7806	DOM11182	2012-1-38 Tørrelvvatna	2012-1-38	Tørrelvvatna
930-7806	DOM11183	2012-2-46 Øvre Sørelvvatnet	2012-2-46	Øvre Sørelvvatnet
930-7807	DOM11185	2012-1-53 HOH 230	2012-1-53	HOH 230
930-7807	DOM11186	2012-1-62 HOH 359	2012-1-62	HOH 359
930-7807	DOM11187	2012-1-56 HOH 392	2012-1-56	HOH 392
930-7807	DOM11188	2012-1-54 HOH 459	2012-1-54	HOH 459
930-7807	DOM11189	2012-2-1 HOH 479	2012-2-1	HOH 479
930-7807	DOM11190	2012-1-26 HOH 542	2012-1-26	HOH 542
930-7807	DOM11191	2012-2-42 HOH 719	2012-2-42	HOH 719
930-7807	DOM11192	2012-1-33 HOH 745	2012-1-33	HOH 745
930-7807	DOM11193	2012-2-26 Ninnasjuhanajavri	2012-2-26	Ninnasjuhanajavri
930-7807	DOM11194	2012-1-38 Tørrelvvatna	2012-1-38	Tørrelvvatna
930-7807	DOM11195	2012-2-46 Øvre Sørelvvatnet	2012-2-46	Øvre Sørelvvatnet
930-7808	DOM11184	2028-2-17 Prestelvvatnet	2028-2-17	Prestelvvatnet
930-7809	DOM11196	2028-2-17 Prestelvvatnet	2028-2-17	Prestelvvatnet
930-7810	DOM11197	2025-1-1 Gistuladdut	2025-1-1	Gistuladdut
930-7810	DOM11198	2025-1-47 Hannujavrit	2025-1-47	Hannujavrit
930-7810	DOM11199	2025-1-15 HOH 185	2025-1-15	HOH 185
930-7810	DOM11200	2025-1-52 HOH 299	2025-1-52	HOH 299
930-7810	DOM11201	2025-1-11 HOH 368	2025-1-11	HOH 368
930-7810	DOM11202	2025-1-57 HOH 450	2025-1-57	HOH 450
930-7810	DOM11203	2025-3-9 Nissujavri	2025-3-9	Nissujavri
930-7810	DOM11204	2025-2-9 Sammutjavri	2025-2-9	Sammutjavri
930-7813	DOM11311	2025-1-1 Gistuladdut	2025-1-1	Gistuladdut
930-7813	DOM11312	2025-1-47 Hannujavrit	2025-1-47	Hannujavrit
930-7813	DOM11313	2025-1-15 HOH 185	2025-1-15	HOH 185
930-7813	DOM11314	2025-1-52 HOH 299	2025-1-52	HOH 299
930-7813	DOM11315	2025-1-11 HOH 368	2025-1-11	HOH 368
930-7813	DOM11316	2025-1-57 HOH 450	2025-1-57	HOH 450
930-7813	DOM11317	2025-3-9 Nissujavri	2025-3-9	Nissujavri
930-7813	DOM11318	2025-2-9 Sammutjavri	2025-2-9	Sammutjavri
930-7814	DOM11319	2023-2-19 HOH 257	2023-2-19	HOH 257
930-7814	DOM11321	2023-1-63 HOH 323	2023-1-63	HOH 323
930-7814	DOM11322	2023-2-2 Holmevatnet	2023-2-2	Holmevatnet
930-7814	DOM11323	2023-2-23 Middagsvatna	2023-2-23	Middagsvatna
930-7814	DOM11324	2023-1-18 Nerdalsvatnet	2023-1-18	Nerdalsvatnet
930-7816	DOM11340	2011-1-6 Amasjavri	2011-1-6	Amasjavri
930-7816	DOM11341	2011-2-12 Cuolbmajavri	2011-2-12	Cuolbmajavri
930-7816	DOM11342	2011-2-4 Cuorvoncåkkavuoljavri	2011-2-4	Cuorvoncåkkavuoljavri
930-7816	DOM11343	2011-2-5 Gakkesjavri	2011-2-5	Gakkesjavri
930-7816	DOM11344	2011-2-34 Guolehisjavri	2011-2-34	Guolehisjavri
930-7816	DOM11345	2011-2-15 HOH 356	2011-2-15	HOH 356
930-7816	DOM11346	2011-1-67 HOH 358	2011-1-67	HOH 358
930-7816	DOM11347	2011-1-34 HOH 366	2011-1-34	HOH 366
930-7816	DOM11348	2011-1-58 HOH 370	2011-1-58	HOH 370
930-7816	DOM11349	2011-2-43 HOH 376	2011-2-43	HOH 376
930-7816	DOM11350	2011-1-51 HOH 376	2011-1-51	HOH 376
930-7816	DOM11351	2011-1-66 HOH 381	2011-1-66	HOH 381
930-7816	DOM11352	2011-2-13 HOH 385	2011-2-13	HOH 385
930-7816	DOM11353	2011-1-10 HOH 390	2011-1-10	HOH 390
930-7816	DOM11354	2011-1-29 HOH 407	2011-1-29	HOH 407
930-7816	DOM11355	2011-1-12 HOH 407	2011-1-12	HOH 407
930-7816	DOM11356	2011-1-60 HOH 414	2011-1-60	HOH 414
930-7816	DOM11357	2011-2-18 HOH 424	2011-2-18	HOH 424
930-7816	DOM11358	2011-2-14 HOH 446	2011-2-14	HOH 446
930-7816	DOM11359	2011-1-13 HOH 510	2011-1-13	HOH 510
930-7816	DOM11360	2011-1-16 HOH 537	2011-1-16	HOH 537
930-7816	DOM11361	2011-3-13 Jårgajavri	2011-3-13	Jårgajavri
930-7816	DOM11362	2011-1-41 Madiijavrit	2011-1-41	Madiijavrit
930-7816	DOM11363	2011-3-11 Mollejusgåbejavri	2011-3-11	Mollejusgåbejavri
930-7816	DOM11364	2011-1-9 Njargajavri	2011-1-9	Njargajavri
930-7816	DOM11365	2011-2-44 Rebmesluobbalat	2011-2-44	Rebmesluobbalat
930-7816	DOM11366	2011-3-5 Saiva	2011-3-5	Saiva
930-7816	DOM11367	2011-2-31 Vuovdeluobbal	2011-2-31	Vuovdeluobbal
930-7816	DOM11368	2011-2-20 Vuovdevuonjaljavri	2011-2-20	Vuovdevuonjaljavri
930-7817	DOM11334	2023-2-19 HOH 257	2023-2-19	HOH 257
930-7817	DOM11336	2023-1-63 HOH 323	2023-1-63	HOH 323
930-7817	DOM11337	2023-2-2 Holmevatnet	2023-2-2	Holmevatnet
930-7817	DOM11338	2023-2-23 Middagsvatna	2023-2-23	Middagsvatna
930-7817	DOM11339	2023-1-18 Nerdalsvatnet	2023-1-18	Nerdalsvatnet
930-7819	DOM11373	2011-1-6 Amasjavri	2011-1-6	Amasjavri
930-7819	DOM11374	2011-2-12 Cuolbmajavri	2011-2-12	Cuolbmajavri
930-7819	DOM11375	2011-2-4 Cuorvoncåkkavuoljavri	2011-2-4	Cuorvoncåkkavuoljavri
930-7819	DOM11376	2011-2-5 Gakkesjavri	2011-2-5	Gakkesjavri
930-7819	DOM11377	2011-2-34 Guolehisjavri	2011-2-34	Guolehisjavri
930-7819	DOM11378	2011-2-15 HOH 356	2011-2-15	HOH 356
930-7819	DOM11379	2011-1-67 HOH 358	2011-1-67	HOH 358
930-7819	DOM11380	2011-1-34 HOH 366	2011-1-34	HOH 366
930-7819	DOM11381	2011-1-58 HOH 370	2011-1-58	HOH 370
930-7819	DOM11382	2011-2-43 HOH 376	2011-2-43	HOH 376
930-7819	DOM11383	2011-1-51 HOH 376	2011-1-51	HOH 376
930-7819	DOM11384	2011-1-66 HOH 381	2011-1-66	HOH 381
930-7819	DOM11385	2011-2-13 HOH 385	2011-2-13	HOH 385
930-7819	DOM11386	2011-1-10 HOH 390	2011-1-10	HOH 390
930-7819	DOM11387	2011-1-29 HOH 407	2011-1-29	HOH 407
930-7819	DOM11388	2011-1-12 HOH 407	2011-1-12	HOH 407
930-7819	DOM11389	2011-1-60 HOH 414	2011-1-60	HOH 414
930-7819	DOM11390	2011-2-18 HOH 424	2011-2-18	HOH 424
930-7819	DOM11391	2011-2-14 HOH 446	2011-2-14	HOH 446
930-7819	DOM11392	2011-1-13 HOH 510	2011-1-13	HOH 510
930-7819	DOM11393	2011-1-16 HOH 537	2011-1-16	HOH 537
930-7819	DOM11394	2011-3-13 Jårgajavri	2011-3-13	Jårgajavri
930-7819	DOM11395	2011-1-41 Madiijavrit	2011-1-41	Madiijavrit
930-7819	DOM11396	2011-3-11 Mollejusgåbejavri	2011-3-11	Mollejusgåbejavri
930-7819	DOM11397	2011-1-9 Njargajavri	2011-1-9	Njargajavri
930-7819	DOM11398	2011-2-44 Rebmesluobbalat	2011-2-44	Rebmesluobbalat
930-7819	DOM11399	2011-3-5 Saiva	2011-3-5	Saiva
930-7819	DOM11400	2011-2-31 Vuovdeluobbal	2011-2-31	Vuovdeluobbal
930-7819	DOM11401	2011-2-20 Vuovdevuonjaljavri	2011-2-20	Vuovdevuonjaljavri
930-7820	DOM11369	2004-1-8 Låtrevatnet	2004-1-8	Låtrevatnet
930-7821	DOM11372	2004-1-8 Låtrevatnet	2004-1-8	Låtrevatnet
930-7822	DOM11402	2015-2-10 Langkeilvatn	2015-2-10	Langkeilvatn
930-7823	DOM11404	2021-2-21 Dåggejåkjavrit	2021-2-21	Dåggejåkjavrit
930-7823	DOM11405	2021-1-24 HOH 310	2021-1-24	HOH 310
930-7823	DOM11406	2021-1-17 Hannoailaddut Nord	2021-1-17	Hannoailaddut Nord
930-7823	DOM11407	2021-1-65 HOH 361	2021-1-65	HOH 361
930-7823	DOM11408	2021-1-64 HOH 382	2021-1-64	HOH 382
930-7823	DOM11409	2021-1-35 HOH 415	2021-1-35	HOH 415
930-7823	DOM11410	2021-1-2 HOH 450	2021-1-2	HOH 450
930-7823	DOM11411	2021-4-2 Iddjajavr	2021-4-2	Iddjajavr
930-7823	DOM11412	2021-2-8 Iddjavarjavri	2021-2-8	Iddjavarjavri
930-7823	DOM11413	2021-3-12 Mailejavri	2021-3-12	Mailejavri
930-7823	DOM11414	2021-2-40 Nieidaidjavrit	2021-2-40	Nieidaidjavrit
930-7824	DOM11403	2015-2-10 Langkeilvatn	2015-2-10	Langkeilvatn
930-7826	DOM11415	2021-2-21 Dåggejåkjavrit	2021-2-21	Dåggejåkjavrit
930-7826	DOM11416	2021-1-24 HOH 310	2021-1-24	HOH 310
